Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,14.70,"504,200",15,15,14.55,0,"2,000",0
20/03/2025,14.70,"406,900",14.50,14.70,14.50,0,"2,200",-0.0
19/03/2025,14.60,"398,300",14.50,14.60,14.50,0,"8,900",-0.1
18/03/2025,14.60,"241,700",14.60,14.70,14.60,0,"4,400",-0.1
17/03/2025,14.70,"603,500",14.80,14.80,14.70,0,"8,800",-0.1
14/03/2025,14.80,"136,100",14.85,14.85,14.70,0,"5,100",-0.1
13/03/2025,14.80,"144,100",14.80,14.85,14.80,0,700,-0.0
12/03/2025,14.90,"166,200",14.85,14.90,14.75,0,"3,900",-0.1
11/03/2025,14.85,"208,800",14.85,14.85,14.80,0,"4,000",-0.1
10/03/2025,14.85,"248,800",15.05,15.10,14.85,"3,900","13,500",-0.1
07/03/2025,15.05,"212,200",15,15.05,15,"2,700","6,400",-0.1
06/03/2025,14.90,"214,500",14.95,15,14.90,0,0,0
05/03/2025,14.95,"252,800",15.10,15.10,14.95,"3,900",0,0.1
04/03/2025,15.10,"433,000",15.10,15.15,15.10,"3,800",0,0.1
03/03/2025,15.10,"201,200",15.10,15.10,15.10,0,0,0
28/02/2025,15.10,"211,600",15.25,15.35,15.10,0,0,0
27/02/2025,15.25,"213,700",15.10,15.25,15.10,"2,300",0,0.0
26/02/2025,15.10,"201,700",15.10,15.15,15.10,"2,800",0,0.0
25/02/2025,15.15,"336,200",15.25,15.25,15.15,200,0,0.0
24/02/2025,15.20,"213,400",15.10,15.30,15.10,"2,700",0,0.0
21/02/2025,15.10,"210,700",15.10,15.35,15,"7,500",0,0.1
20/02/2025,15.15,"201,000",15.10,15.15,15.10,"1,800",0,0.0
19/02/2025,15.15,"641,000",15,15.15,15,"7,400","7,087",0.0
18/02/2025,15.20,"492,800",15.20,15.20,15.10,0,105,-0.0
17/02/2025,15.50,"453,400",15.30,15.50,15.20,0,"4,300",-0.1
14/02/2025,15.35,"276,400",16,16,15.35,"7,200","9,800",-0.0
13/02/2025,15.80,"231,000",15.25,15.80,15.20,"8,100",0,0.1
12/02/2025,15.25,"899,300",15.25,15.25,15.15,0,0,0
11/02/2025,15.25,"520,700",15.60,15.80,15.15,"43,700","1,600",0.6
10/02/2025,15.65,"902,400",15.85,15.85,15,800,"5,000",-0.1
07/02/2025,15.80,"271,400",16.10,16.15,15.80,200,"6,900",-0.1
06/02/2025,16.10,"245,800",16.60,16.60,16.10,"1,500",0,0.0
05/02/2025,17,"364,700",16.10,17,16,100,"10,100",-0.2
04/02/2025,16.10,"419,100",16.35,16.70,15.60,"22,600","53,700",-0.5
03/02/2025,15.20,"200,100",15.15,15.20,15.15,0,0,0
24/01/2025,15.30,"1,309,500",15.10,15.30,15.10,"6,700","1,600",0.1
23/01/2025,15.25,"200,800",15.10,15.25,15.10,700,600,0.0
22/01/2025,15.10,"870,600",15.10,15.35,15.10,"22,600","1,100",0.3
21/01/2025,15,"778,200",15.30,15.40,15,"2,300",0,0.0
20/01/2025,15.50,"447,500",15.40,15.50,15.35,"2,000",0,0.0
17/01/2025,15.45,"277,300",15.30,15.45,15.30,"3,800",0,0.1
16/01/2025,15.35,"399,300",15.35,15.35,15.30,"2,900",0,0.0
15/01/2025,15.45,"373,300",15.30,15.70,15.30,"22,900",0,0.4
14/01/2025,15.85,"359,200",15.15,15.85,15.15,"29,500",0,0.5
13/01/2025,15.75,"343,900",14.90,15.85,14.90,"45,900","8,300",0.6
10/01/2025,14.90,"212,000",15.35,15.50,14.90,"5,100",200,0.1
09/01/2025,15.05,"204,900",15.40,15.70,15.05,"1,000",0,0.0
08/01/2025,15.70,"224,400",14.90,15.75,14.90,"47,300",0,0.7
07/01/2025,15.45,"913,300",14.80,15.45,14.80,"6,400",0,0.1
06/01/2025,15.45,"622,500",15.70,15.70,15.40,"4,700",0,0.1
03/01/2025,15.70,"192,900",16,16,15.60,"2,600",400,0.0
02/01/2025,15.75,"626,700",15.90,15.90,15.50,"1,800",500,0.0
31/12/2024,15.75,"503,600",15.80,15.80,15.65,"1,100","39,600",-0.6
30/12/2024,15.80,"560,100",15.90,15.90,15.50,"14,200","1,000",0.2
27/12/2024,15.50,"593,100",14.75,15.50,14.75,0,0,0
26/12/2024,14.80,"289,700",14.55,14.95,14.55,"13,100",0,0.2
25/12/2024,14.80,"713,100",14.75,14.85,14.75,"12,400",0,0.2
24/12/2024,14.75,"512,300",14.60,14.75,14.60,"1,000",0,0.0
23/12/2024,14.85,"620,700",14.60,14.85,14.55,0,0,0
20/12/2024,14.80,"647,500",14.60,14.85,14.60,"1,100",400,0.0
19/12/2024,14.80,"480,700",14.70,14.80,14.60,"3,500",0,0.1
18/12/2024,14.80,"344,400",14.90,14.90,14.70,"2,800",0,0.0
17/12/2024,14.90,"521,300",14.70,14.90,14.70,"2,500",0,0.0
16/12/2024,14.90,"560,500",14.95,14.95,14.70,"1,500",0,0.0
13/12/2024,14.80,"209,300",14.80,14.85,14.75,"6,500",0,0.1
12/12/2024,14.75,"115,500",14.75,14.80,14.75,"1,900",0,0.0
11/12/2024,14.70,"364,600",14.65,14.95,14.65,"4,700",0,0.1
10/12/2024,14.65,"320,700",14.65,14.70,14.60,"10,300",0,0.2
09/12/2024,14.70,"109,300",14.70,15.20,14.65,"6,800",0,0.1
06/12/2024,14.70,"103,800",14.60,14.70,14.60,"1,000",0,0.0
05/12/2024,14.65,"119,200",14.55,14.65,14.55,"14,500",0,0.2
04/12/2024,14.65,"205,800",14.60,14.65,14.60,"4,600",0,0.1
03/12/2024,14.60,"204,200",14.50,14.60,14.50,"1,400",0,0.0
02/12/2024,14.60,"442,400",14.55,14.60,14.55,"4,400",0,0.1
29/11/2024,14.60,"102,300",14.60,14.60,14.55,"1,000",0,0.0
28/11/2024,14.60,"172,900",14.55,14.60,14.55,0,0,0
27/11/2024,14.60,"412,200",14.60,14.60,14.60,0,0,0
26/11/2024,14.60,"270,900",14.60,14.60,14.60,"1,100",9,0.0
25/11/2024,14.60,"888,800",14.60,14.60,14.55,0,0,0
22/11/2024,14.60,"101,700",14.60,14.60,14.55,0,0,0
21/11/2024,14.60,"291,200",14.60,14.60,14.60,0,0,0
20/11/2024,14.60,"912,600",14.65,14.65,14.55,0,0,0
19/11/2024,14.60,"178,400",14.65,14.65,14.60,0,6,-0.0
18/11/2024,14.60,"912,700",14.65,14.65,14.55,0,0,0
15/11/2024,14.60,"269,000",14.60,14.60,14.55,0,0,0
14/11/2024,14.60,"101,300",14.60,14.70,14.60,0,0,0
13/11/2024,14.60,"207,700",14.60,14.60,14.55,0,400,-0.0
12/11/2024,14.60,"847,300",14.55,14.60,14.55,0,0,0
11/11/2024,14.60,"541,000",14.60,14.60,14.60,0,0,0
08/11/2024,14.60,"102,000",14.65,14.65,14.60,0,0,0
07/11/2024,14.70,"104,800",14.65,14.70,14.60,0,0,0
06/11/2024,14.70,"437,600",14.55,14.70,14.55,0,0,0
05/11/2024,14.60,"217,500",14.55,14.60,14.45,0,300,-0.0
04/11/2024,14.65,"145,100",14.55,14.65,14.50,0,"12,700",-0.2
01/11/2024,14.60,"126,500",14.60,14.60,14.55,0,"4,900",-0.1
31/10/2024,14.70,"170,300",14.70,14.70,14.55,0,"3,200",-0.0
30/10/2024,14.65,"175,400",14.75,14.75,14.55,0,"3,200",-0.0
29/10/2024,14.60,"419,200",14.75,14.75,14.60,0,0,0
28/10/2024,14.70,"245,100",14.90,14.90,14.60,0,900,-0.0
25/10/2024,14.65,"112,300",14.60,14.65,14.45,0,"3,900",-0.1
24/10/2024,14.60,"570,400",14.55,14.60,14.45,0,"5,200",-0.1
23/10/2024,14.60,"119,600",14.65,14.65,14.55,0,0,0
22/10/2024,14.60,"416,600",14.60,14.60,14.55,0,0,0
21/10/2024,14.60,"482,100",14.65,14.65,14.60,0,"7,500",-0.1
18/10/2024,14.60,"105,100",14.60,14.60,14.55,0,500,-0.0
17/10/2024,14.70,"435,300",14.60,14.70,14.50,0,"7,200",-0.1
16/10/2024,14.60,"319,000",14.60,14.65,14.55,0,"1,000",-0.0
15/10/2024,14.60,"171,400",14.60,14.65,14.55,0,0,0
