Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,6.10,100,6.10,6.10,6.10,0,0,0
20/03/2025,6,"3,600",6,6,6,0,0,0
19/03/2025,6.20,800,6.80,6.80,6.10,0,0,0
18/03/2025,6.20,"1,600",6.60,6.60,6,0,0,0
17/03/2025,6.10,"4,000",6.60,6.60,6,0,0,0
14/03/2025,6.10,700,6.70,6.70,6,0,0,0
13/03/2025,6.10,"1,100",6.20,6.20,6,0,0,0
12/03/2025,6.20,"3,700",6.80,6.80,6,0,0,0
11/03/2025,6.20,"1,100",6.20,6.20,6,0,0,0
10/03/2025,6.20,500,6.20,6.20,6.20,0,0,0
07/03/2025,6.20,"16,900",6.70,6.70,6,0,0,0
06/03/2025,6.10,"1,100",6.50,6.50,6.10,0,0,0
05/03/2025,6.10,"11,500",7,7,6,100,0,0.0
04/03/2025,6.50,"1,600",6.30,6.50,6.10,0,0,0
03/03/2025,6.60,500,7,7,6.60,0,0,0
28/02/2025,6.60,700,7,7,6.60,0,0,0
27/02/2025,6.50,500,7,7,6.30,0,0,0
26/02/2025,6.60,"1,600",7,7,6.30,0,0,0
25/02/2025,6.50,"1,200",6.60,6.60,6.50,0,0,0
24/02/2025,6,"4,300",6.80,6.80,6,0,0,0
21/02/2025,6.20,500,6.60,6.60,6.20,0,0,0
20/02/2025,6.60,600,6.70,6.70,6.60,0,0,0
19/02/2025,6.70,"1,300",6.30,6.70,6.30,0,0,0
18/02/2025,6.80,100,6.80,6.80,6.80,0,0,0
17/02/2025,6.30,200,6.30,6.30,6.30,0,0,0
14/02/2025,6.60,"1,200",6.90,6.90,6.40,0,0,0
13/02/2025,6.50,"1,500",7,7,6.30,0,0,0
12/02/2025,6.80,140,6.80,6.80,6.80,0,0,0
11/02/2025,6.50,"4,001",6.20,6.60,6.20,0,0,0
10/02/2025,6.20,722,6.20,6.50,6.20,0,0,0
07/02/2025,6.40,304,6.70,6.70,6.30,0,0,0
06/02/2025,6.60,332,6.70,6.70,6.60,0,0,0
05/02/2025,6.60,824,7,7,6.20,0,0,0
04/02/2025,6.80,100,6.80,6.80,6.80,0,0,0
03/02/2025,6.70,600,7.10,7.10,6.20,0,0,0
24/01/2025,6.50,707,7,7,6.30,0,0,0
23/01/2025,6.50,603,6.80,6.80,6,0,0,0
22/01/2025,6.30,352,6.40,6.40,6.30,0,0,0
21/01/2025,6.40,407,7.70,7.70,6.30,0,0,0
20/01/2025,7,100,7,7,7,0,0,0
17/01/2025,6.40,"1,799",6.80,6.80,6,0,0,0
16/01/2025,6.40,"1,003",6.70,6.70,6.10,0,0,0
15/01/2025,6.30,"6,387",6.30,6.30,6.20,0,0,0
14/01/2025,6.30,700,6.30,6.30,6.30,0,0,0
13/01/2025,6.40,"1,900",7.10,7.10,6,0,0,0
10/01/2025,6.50,"2,700",7.20,7.20,6,0,0,0
09/01/2025,6.60,"2,800",6.70,6.70,6,0,0,0
08/01/2025,6.10,800,7.10,7.10,6.10,0,0,0
07/01/2025,6.60,600,6.50,6.60,6.10,0,0,0
06/01/2025,6.60,"1,600",7,7,6,0,0,0
03/01/2025,6.60,"1,700",7.10,7.10,6.10,0,0,0
02/01/2025,6.70,"1,000",6.30,6.70,6.30,0,0,0
31/12/2024,6.80,330,7,7,6.80,0,0,0
30/12/2024,6.70,"1,000",6.30,6.70,6.20,0,0,0
27/12/2024,6.80,411,7.30,7.30,6.60,0,0,0
26/12/2024,7.30,150,7.30,7.30,7.30,0,0,0
25/12/2024,6.80,710,7,7,6.80,0,0,0
24/12/2024,6.70,"5,012",7,7,6.70,0,0,0
23/12/2024,6.90,"30,700",6.70,6.90,6.60,0,0,0
20/12/2024,6.40,900,6.80,6.80,6.30,0,0,0
19/12/2024,6.30,400,6.30,6.30,6.30,0,0,0
18/12/2024,6.30,441,6.90,6.90,6.30,0,0,0
17/12/2024,6.40,400,6,6.40,6,0,0,0
16/12/2024,6.50,"1,201",6.50,6.50,6.50,0,0,0
13/12/2024,6.60,"1,520",6,6.60,6,0,0,0
12/12/2024,6.60,"3,213",7.20,7.20,6.20,0,0,0
11/12/2024,6.80,"1,400",7.40,7.40,6.20,0,0,0
10/12/2024,6.80,"1,082",7.10,7.10,6,0,0,0
09/12/2024,6.50,700,6.90,6.90,6.30,0,100,-0.0
06/12/2024,6.30,100,6.30,6.30,6.30,0,0,0
05/12/2024,6.90,100,6.90,6.90,6.90,0,0,0
04/12/2024,6.80,112,6.80,6.80,6.80,0,0,0
03/12/2024,6.20,100,7,7,7,0,0,0
02/12/2024,6.10,100,6.80,6.80,6.80,0,0,0
29/11/2024,6.20,400,6.10,6.70,6.10,0,0,0
28/11/2024,6.60,600,6.90,6.90,6.30,0,0,0
27/11/2024,6.60,400,7.10,7.10,6.60,0,0,0
26/11/2024,6.60,800,6.20,6.60,6.20,100,0,0.0
25/11/2024,6.40,"1,100",6,6.40,6,0,0,0
22/11/2024,6.40,0,6.40,6.40,6.40,0,0,0
21/11/2024,6.40,900,6.70,6.70,6.10,0,0,0
20/11/2024,6.10,101,6.10,6.10,6.10,0,0,0
19/11/2024,6.50,700,6.30,6.50,6,0,0,0
18/11/2024,6.40,400,6.70,6.70,6.40,0,0,0
15/11/2024,6.20,501,6.70,6.70,6,0,0,0
14/11/2024,6.40,301,6.70,6.70,6.40,0,0,0
13/11/2024,6.30,500,6.80,6.80,6,0,0,0
12/11/2024,6.30,400,6.20,6.30,6.20,0,0,0
11/11/2024,6.40,417,6.90,6.90,6.40,0,0,0
08/11/2024,6.40,700,6.10,6.40,6.10,0,0,0
07/11/2024,6.50,0,6.50,6.50,6.50,0,0,0
06/11/2024,6.50,0,6.50,6.50,6.50,0,0,0
05/11/2024,6.50,9,6.50,6.50,6.50,0,0,0
04/11/2024,6.50,0,6.50,6.50,6.50,0,0,0
01/11/2024,6.50,200,6.50,6.50,6.50,0,0,0
31/10/2024,6.50,700,6.20,6.60,6.10,0,0,0
30/10/2024,6.50,314,7,7,6.50,0,0,0
29/10/2024,6.50,"2,400",7,7,6.40,0,0,0
28/10/2024,6.40,400,6.90,6.90,6.40,0,0,0
25/10/2024,6.30,800,6.70,6.70,6,0,0,0
24/10/2024,6.30,800,6.90,6.90,6.20,0,100,-0.0
23/10/2024,6.40,370,6.80,6.80,6.30,0,0,0
22/10/2024,6.80,100,6.80,6.80,6.80,0,0,0
21/10/2024,6.30,700,6.90,6.90,6.20,0,0,0
18/10/2024,6.40,300,6.80,6.80,6.40,0,0,0
17/10/2024,6.60,10,6.60,6.60,6.60,0,0,0
16/10/2024,6.60,110,6.60,6.60,6.60,0,0,0
15/10/2024,6.20,202,6.90,6.90,6.20,0,0,0
14/10/2024,6.50,"6,310",6.30,6.60,6,0,0,0
11/10/2024,6.60,721,6.90,6.90,6.50,0,0,0
10/10/2024,6.60,500,6.40,6.60,6.40,0,0,0
09/10/2024,6.60,"1,223",7.10,7.10,6.30,0,0,0
08/10/2024,6.60,"1,000",6.30,6.60,6.30,0,0,0
07/10/2024,6.60,678,6.30,6.60,6.30,0,0,0
04/10/2024,6.60,400,6.40,6.60,6.40,0,0,0
03/10/2024,6.60,200,6.60,6.60,6.60,0,0,0
02/10/2024,6.70,"1,400",6.40,6.90,6.40,0,0,0
01/10/2024,6.80,"6,010",6.40,6.80,6.40,0,0,0
30/09/2024,6.80,"1,971",6.40,6.80,6.40,100,0,0.0
27/09/2024,6.80,"1,074",6.90,6.90,6.80,0,0,0
26/09/2024,6.90,300,7.20,7.20,6.90,0,0,0
25/09/2024,6.90,600,6.80,6.90,6.80,0,0,0
24/09/2024,6.80,600,7.20,7.20,6.80,0,0,0
23/09/2024,6.80,"1,413",7.20,7.20,6.40,0,0,0
20/09/2024,6.80,"2,000",7,7,6.20,0,0,0
19/09/2024,6.60,900,7,7,6.40,0,0,0
18/09/2024,6.50,500,6.40,6.50,6.40,0,0,0
17/09/2024,6.50,300,6.50,6.50,6.50,0,0,0
16/09/2024,6.50,600,6.20,6.50,6.20,0,0,0
13/09/2024,6.60,0,6.60,6.60,6.60,0,0,0
12/09/2024,6.60,0,6.60,6.60,6.60,0,0,0
11/09/2024,6.60,700,6.20,6.60,6.20,0,0,0
10/09/2024,6.50,800,6.60,6.60,6.30,0,0,0
09/09/2024,6.50,768,7.10,7.10,6.40,0,0,0
06/09/2024,6.50,400,7,7,6.30,0,0,0
05/09/2024,6.50,400,7.20,7.20,6.50,0,0,0
04/09/2024,6.60,"1,300",6.60,6.60,6.40,0,0,0
30/08/2024,6.80,352,6.80,6.80,6.80,0,0,0
29/08/2024,6.80,"3,784",6.50,6.80,6.30,0,0,0
28/08/2024,6.80,210,7,7,6.80,0,0,0
27/08/2024,6.80,"1,914",7,7,6.60,0,0,0
26/08/2024,7,402,7.30,7.30,7,0,0,0
23/08/2024,7.30,105,7.30,7.30,7.30,0,0,0
22/08/2024,6.90,"1,104",7.20,7.20,6.90,0,0,0
21/08/2024,6.90,"1,818",7.60,7.60,6.50,0,0,0
20/08/2024,7,651,7.40,7.40,6.80,0,0,0
