Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,22.10,200,22.30,22.30,22.10,0,0,0
20/03/2025,22.70,"20,100",21.10,22.70,20,0,0,0
19/03/2025,21,"3,900",21.60,21.60,21,0,0,0
18/03/2025,21.50,"6,900",21.60,21.60,21.10,0,0,0
17/03/2025,21.70,"10,800",22.80,22.80,21.60,0,0,0
14/03/2025,22.90,800,23,23,22.30,0,0,0
13/03/2025,22,"28,400",23.50,23.50,21,0,0,0
12/03/2025,22,"31,100",25.80,25.80,22,0,0,0
11/03/2025,24.90,"1,600",24.90,24.90,24.90,0,0,0
10/03/2025,25,"2,700",25.90,25.90,25,0,0,0
07/03/2025,25.90,"21,900",25.20,27.60,25.20,0,0,0
06/03/2025,25.40,"4,600",24.20,25.40,24.10,0,0,0
05/03/2025,23.60,"25,200",25.70,27.30,23.30,0,0,0
04/03/2025,25.80,"50,800",28.40,28.50,24.30,0,0,0
03/03/2025,27,"33,300",30.70,30.90,26.80,0,0,0
28/02/2025,27.10,"78,300",24.50,27.10,24.50,0,0,0
27/02/2025,23.60,"13,200",23.80,24,23.30,0,0,0
26/02/2025,24,"16,000",24.80,25,23.20,0,0,0
25/02/2025,24.10,"23,400",24,25.80,23,0,0,0
24/02/2025,24,"31,500",25,26,24,0,0,0
21/02/2025,25,"36,500",24,27,24,0,0,0
20/02/2025,24,"58,000",24,24,23.80,0,0,0
19/02/2025,21,"38,000",20,21,20,0,0,0
18/02/2025,18.50,"18,900",18,18.50,18,0,0,0
17/02/2025,18.70,"37,000",18.10,18.70,15.50,0,0,0
14/02/2025,18.20,"2,400",18,18.20,18,0,0,0
13/02/2025,18.50,"1,300",18.20,18.50,18.10,0,0,0
12/02/2025,19,"13,100",18,19.20,18,0,0,0
11/02/2025,18.80,"11,007",18.90,18.90,18.50,0,0,0
10/02/2025,18,"3,800",19,19,18,0,0,0
07/02/2025,18.40,"15,000",18.30,19,18.30,0,0,0
06/02/2025,18.20,"5,600",18.50,18.50,18.20,0,0,0
05/02/2025,18.10,100,18.10,18.10,18.10,0,0,0
04/02/2025,18.10,620,17.90,19,17.60,0,0,0
03/02/2025,17.40,0,17.40,17.40,17.40,0,0,0
24/01/2025,17.40,0,17.40,17.40,17.40,0,0,0
23/01/2025,17.40,0,17.40,17.40,17.40,0,0,0
22/01/2025,17.40,"1,900",17.20,17.50,17.20,0,0,0
