Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,11.80,"281,000",11.65,11.80,11.55,"2,300",0,0
20/03/2025,11.65,"394,900",11.90,11.90,11.60,"4,000","70,000",-0.8
19/03/2025,11.80,"110,300",12,12,11.70,"9,000","2,920",0.1
18/03/2025,11.80,"234,700",12,12,11.75,0,"23,300",-0.3
17/03/2025,11.90,"273,900",12.05,12.05,11.75,0,0,0
14/03/2025,11.85,"497,700",12,12.30,11.50,0,"77,400",-0.9
13/03/2025,11.95,"684,500",12.50,12.50,11.95,0,"130,400",-1.6
12/03/2025,12.45,"585,200",12.60,12.60,12.20,0,"15,100",-0.2
11/03/2025,12.60,"328,900",12.35,12.65,12.35,0,"16,000",-0.2
10/03/2025,12.70,"574,300",12.65,12.80,12.30,"3,000","8,100",-0.1
07/03/2025,12.65,"464,300",12.70,12.75,12.45,"3,600","49,700",-0.6
06/03/2025,12.65,"339,400",12.40,12.65,12.40,"7,100",0,0.1
05/03/2025,12.45,"757,000",12.95,12.95,12.45,0,"73,500",-0.9
04/03/2025,12.85,"843,900",12.70,12.95,12.60,900,"24,100",-0.3
03/03/2025,12.70,"712,100",12.40,12.70,12.25,"8,100",0,0.1
28/02/2025,12.20,"1,089,300",11.95,12.20,11.90,0,"251,500",-3.0
27/02/2025,11.85,"677,300",11.55,11.85,11.40,"11,900",0,0.1
26/02/2025,11.55,"123,000",11.60,11.70,11.45,"3,300",0,0.0
25/02/2025,11.60,"172,800",11.80,11.80,11.50,0,"7,700",-0.1
24/02/2025,11.45,"234,400",11.60,11.60,11.40,0,0,0
21/02/2025,11.60,"145,400",11.45,11.70,11.40,0,"1,200",-0.0
20/02/2025,11.65,"954,600",11.65,11.70,11.20,"7,700","607,500",-6.8
19/02/2025,11.65,"342,000",11.70,11.80,11.55,0,"122,506",-1.4
18/02/2025,11.70,"178,300",12,12,11.65,0,"39,600",-0.5
17/02/2025,11.85,"389,100",11.70,12.05,11.70,"46,500","9,100",0.4
14/02/2025,11.70,"151,200",11.65,11.70,11.50,"6,200",100,0.1
13/02/2025,11.60,"174,500",11.65,11.65,11.45,700,"1,700",-0.0
12/02/2025,11.60,"809,800",11.25,11.65,11.25,"2,000","174,000",-2.0
11/02/2025,11.25,"94,700",11.25,11.25,11.15,0,"39,700",-0.4
10/02/2025,11.25,"117,000",11.20,11.35,11.15,0,"39,000",-0.4
07/02/2025,11.35,"356,400",11.15,11.50,11.15,0,"82,500",-0.9
06/02/2025,11.15,"53,900",11.10,11.20,11.05,0,"5,200",-0.1
05/02/2025,11.15,"78,800",11.35,11.35,11,0,"16,400",-0.2
04/02/2025,11.20,"62,500",11.15,11.25,11.05,"11,100","14,000",-0.0
03/02/2025,11.15,"85,700",11.05,11.30,11,0,"38,600",-0.4
24/01/2025,11.15,"86,100",10.95,11.15,10.90,0,0,0
23/01/2025,11,"36,200",10.85,11.20,10.85,0,200,-0.0
22/01/2025,11,"50,600",11,11.10,10.90,0,0,0
21/01/2025,11.10,"186,400",10.75,11.20,10.75,0,0,0
20/01/2025,11.25,"45,100",11.30,11.30,11.20,0,0,0
17/01/2025,11.25,"69,900",11.10,11.30,11.10,0,0,0
16/01/2025,11.20,"63,200",11.20,11.30,11.10,0,0,0
15/01/2025,11.20,"31,500",11.35,11.35,11.10,0,"2,700",-0.0
14/01/2025,11.15,"59,200",11.10,11.15,10.90,0,0,0
13/01/2025,11.10,"71,300",11,11.10,10.90,10,8,0.0
10/01/2025,11,"110,700",11.10,11.20,11,0,0,0
09/01/2025,11.10,"32,200",11.20,11.20,11.05,0,0,0
08/01/2025,11.15,"93,300",11.10,11.15,10.90,0,0,0
07/01/2025,11.10,"147,600",11.20,11.30,11.10,0,0,0
06/01/2025,11.40,"113,500",11.35,11.40,11.20,"3,700",0,0.0
03/01/2025,11.35,"74,800",11.40,11.45,11.30,0,200,-0.0
02/01/2025,11.45,"49,700",11.35,11.50,11.30,0,"1,800",-0.0
31/12/2024,11.40,"90,200",11.35,11.55,11.30,0,0,0
30/12/2024,11.55,"57,500",11.50,11.55,11.30,"3,600",100,0.0
27/12/2024,11.55,"82,700",11.50,11.60,11.35,0,"3,400",-0.0
26/12/2024,11.55,"693,400",11.05,11.60,11.05,"9,300",300,0.1
25/12/2024,11.05,"97,600",11,11.20,10.85,100,"1,100",-0.0
24/12/2024,11,"163,800",11.05,11.10,10.80,0,900,-0.0
23/12/2024,11.10,"54,300",11.10,11.15,10.95,0,200,-0.0
20/12/2024,11.05,"44,200",10.90,11.15,10.85,"1,400","1,100",0.0
19/12/2024,10.95,"69,600",10.90,11,10.85,0,0,0
18/12/2024,11,"70,600",11,11.15,10.95,0,0,0
17/12/2024,10.95,"55,400",11.25,11.25,10.95,0,"3,000",-0.0
16/12/2024,11.15,"87,700",11.20,11.30,11,"5,400",700,0.1
13/12/2024,11.25,"64,300",11.40,11.40,11.10,"3,100","6,100",-0.0
12/12/2024,11.25,"284,700",11.30,11.50,11.25,"3,200","53,006",-0.6
11/12/2024,11.25,"119,600",11.45,11.45,11.20,0,400,-0.0
10/12/2024,11.15,"301,700",10.85,11.15,10.80,"6,400",100,0.1
09/12/2024,10.85,"59,100",10.90,10.90,10.70,0,"1,200",-0.0
06/12/2024,10.75,"110,300",10.90,10.95,10.75,0,0,0
05/12/2024,10.85,"96,500",10.60,10.85,10.60,0,300,-0.0
04/12/2024,10.65,"99,300",10.80,10.90,10.65,"25,000",71,0.3
03/12/2024,10.80,"52,300",10.70,10.90,10.70,"6,200","7,874",-0.0
02/12/2024,10.85,"62,700",11,11.10,10.80,0,"1,000",-0.0
29/11/2024,10.95,"72,000",10.90,10.95,10.80,"38,600","4,000",0.4
28/11/2024,10.90,"111,600",10.90,11.05,10.80,0,"2,700",-0.0
27/11/2024,10.90,"285,600",10.50,11.05,10.50,"108,900",200,1.2
26/11/2024,10.50,"56,700",10.50,10.60,10.50,"3,000",0,0.0
25/11/2024,10.40,"98,200",10.60,10.60,10.40,"1,900",0,0.0
22/11/2024,10.55,"73,900",10.60,10.70,10.45,"6,000",0,0.1
21/11/2024,10.60,"65,900",10.50,10.65,10.45,"2,400","1,600",0.0
20/11/2024,10.50,"135,000",10.40,10.75,10.30,"12,100","5,600",0.1
19/11/2024,10.40,"48,800",10.55,10.55,10.40,0,"1,500",-0.0
18/11/2024,10.60,"118,800",10.60,10.60,10.35,"2,500","2,100",0.0
15/11/2024,10.60,"95,400",10.70,10.70,10.50,0,0,0
14/11/2024,10.70,"96,500",10.75,10.80,10.65,"32,600",0,0.4
13/11/2024,10.75,"44,600",10.75,10.85,10.70,"16,000",0,0.2
12/11/2024,10.80,"79,100",10.85,10.85,10.65,"21,100",0,0.2
11/11/2024,10.80,"167,500",10.55,10.90,10.55,"2,100","2,700",-0.0
08/11/2024,10.55,"80,000",10.75,10.75,10.55,0,700,-0.0
07/11/2024,10.70,"179,400",10.70,11.15,10.70,0,"56,800",-0.6
06/11/2024,10.60,"164,000",10.55,10.65,10.50,0,0,0
05/11/2024,10.55,"66,000",10.55,10.60,10.45,0,0,0
04/11/2024,10.50,"123,300",10.65,10.75,10.50,0,100,-0.0
01/11/2024,10.60,"89,400",10.60,10.60,10.55,"2,100",0,0.0
31/10/2024,10.60,"154,600",10.70,10.70,10.55,0,"1,000",-0.0
30/10/2024,10.70,"165,200",10.95,11,10.70,0,"8,000",-0.1
29/10/2024,10.90,"296,300",11.40,11.40,10.80,500,300,0.0
28/10/2024,11.20,"216,100",11.45,11.60,11.10,"2,400","11,200",-0.1
25/10/2024,11.45,"102,500",11.70,11.70,11.45,0,"1,300",-0.0
24/10/2024,11.60,"76,500",11.75,11.75,11.55,0,400,-0.0
23/10/2024,11.65,"107,100",11.55,11.70,11.50,0,"8,300",-0.1
22/10/2024,11.55,"204,600",11.60,11.75,11.50,0,"50,000",-0.6
21/10/2024,11.65,"165,400",11.70,11.80,11.60,0,0,0
18/10/2024,11.70,"164,800",11.90,11.90,11.70,500,0,0.0
17/10/2024,11.90,"443,700",12.05,12.05,11.75,"10,400","41,900",-0.4
16/10/2024,12.15,"210,000",12.20,12.20,11.95,100,0,0.0
15/10/2024,12.20,"138,100",12.30,12.35,12.10,0,0,0
14/10/2024,12.30,"186,800",12.30,12.35,12.15,"1,900",0,0.0
11/10/2024,12.25,"69,900",12.20,12.45,12.20,0,0,0
10/10/2024,12.30,"47,400",12.40,12.55,12.30,0,0,0
09/10/2024,12.40,"84,600",12.15,12.45,12.15,"18,900",0,0.2
08/10/2024,12.15,"190,800",12.35,12.35,12.15,0,0,0
07/10/2024,12.25,"108,800",12.30,12.40,12.25,0,0,0
04/10/2024,12.30,"123,400",12.35,12.45,12.30,0,0,0
03/10/2024,12.35,"253,100",12.60,12.70,12.30,"34,000",0,0.4
02/10/2024,12.60,"105,600",12.80,12.85,12.60,0,0,0
01/10/2024,12.90,"525,300",12.85,13.05,12.75,"395,900",400,5.1
30/09/2024,12.85,"143,100",12.75,12.95,12.75,"102,300","5,200",1.2
27/09/2024,12.95,"308,100",13.05,13.05,12.75,"106,500",900,1.4
26/09/2024,12.95,"346,900",12.65,12.95,12.65,"263,300","1,000",3.4
25/09/2024,12.85,"517,100",12.45,12.90,12.40,"248,500","1,700",3.1
24/09/2024,12.45,"129,200",12.50,12.55,12.40,"30,700","1,400",0.4
23/09/2024,12.55,"115,900",12.50,12.65,12.30,"11,900",0,0.1
20/09/2024,12.60,"220,900",12.50,12.65,12.40,"148,800",0,1.9
19/09/2024,12.50,"118,800",12.30,12.50,12.30,"36,600",0,0.5
18/09/2024,12.35,"208,800",12.40,12.40,12.30,0,"5,300",-0.1
17/09/2024,12.40,"164,400",12.40,12.55,12,"7,600",200,0.1
16/09/2024,12.55,"270,700",12.65,12.70,12.35,"23,000",300,0.3
13/09/2024,12.65,"273,400",12.60,12.75,12.40,"23,100",700,0.3
12/09/2024,12.60,"81,300",12.70,12.75,12.50,"14,500","9,600",0.1
11/09/2024,12.60,"232,000",12.50,12.65,12.30,"109,300","25,400",1.1
10/09/2024,12.65,"376,600",12.60,12.80,12.40,"179,800",300,2.3
09/09/2024,12.65,"131,100",12.75,12.75,12.55,0,0,0
06/09/2024,12.65,"555,500",12.20,12.90,12.20,"33,700","27,200",0.1
05/09/2024,12.30,"230,200",12.15,12.35,12.15,"10,000",0,0.1
04/09/2024,12.25,"93,100",12.20,12.35,12.15,"20,800",0,0.3
30/08/2024,12.20,"74,800",12.40,12.45,12.15,"7,000","4,400",0.0
29/08/2024,12.30,"131,600",12.15,12.40,12.15,0,"2,000",-0.0
28/08/2024,12.15,"169,100",12.25,12.40,12.15,"13,000","34,500",-0.3
27/08/2024,12.30,"350,100",12.55,12.55,12.30,"14,700","120,600",-1.3
26/08/2024,12.55,"154,800",12.60,12.70,12.50,"14,700","8,200",0.1
23/08/2024,12.50,"246,600",12.60,12.70,12.50,"6,400",0,0.1
22/08/2024,12.60,"220,100",12.75,12.75,12.55,"1,800",0,0.0
21/08/2024,12.75,"384,100",12.85,12.85,12.55,"35,800",0,0.5
20/08/2024,12.85,"201,000",12.80,12.90,12.70,"1,200","7,500",-0.1
19/08/2024,12.80,"161,400",12.90,13,12.75,600,0,0.0
16/08/2024,12.90,"249,700",12.80,12.95,12.60,"38,300",400,0.5
15/08/2024,12.60,"214,100",13,13,12.50,"16,500","5,600",0.1
14/08/2024,12.90,"164,600",12.85,13.20,12.70,0,0,0
13/08/2024,12.85,"166,500",13.05,13.20,12.80,"5,000","22,000",-0.2
12/08/2024,13.20,"1,142,900",12.70,13.30,12.60,"690,000","23,700",8.8
09/08/2024,12.85,"321,800",12.65,12.90,12.65,"198,000",800,2.5
08/08/2024,12.75,"519,100",12.40,12.75,12.35,"273,500","17,000",3.2
07/08/2024,12.60,"279,100",12.50,12.60,12.25,"162,900",0,2.0
06/08/2024,12.40,"352,800",12.20,12.40,12.05,"147,300",0,1.8
05/08/2024,12.05,"901,800",12,12.40,11.95,"300,800",0,3.6
02/08/2024,12,"415,500",11.75,12,11.65,"34,700","13,000",0.3
01/08/2024,11.85,"347,800",11.95,12,11.80,"13,000","41,100",-0.3
31/07/2024,11.95,"112,300",11.95,12,11.95,0,"4,400",-0.1
30/07/2024,12,"225,600",11.95,12.05,11.90,"25,700",0,0.3
29/07/2024,11.95,"301,000",11.95,12.05,11.90,"25,700",0,0.3
26/07/2024,11.95,"121,900",11.90,12,11.80,"4,700",0,0.1
25/07/2024,11.85,"185,900",11.90,12,11.50,"21,300","16,800",0.1
24/07/2024,11.95,"335,800",12,12,11.70,"1,600","20,800",-0.2
23/07/2024,12,"426,100",12.45,12.50,12,0,0,0
22/07/2024,12.50,"266,600",12.80,12.80,12.35,"2,300","10,200",-0.1
19/07/2024,12.80,"123,600",12.70,12.80,12.55,0,900,-0.0
18/07/2024,12.70,"276,800",12.60,12.80,12.45,0,"4,900",-0.1
17/07/2024,12.50,"436,200",13,13,12.50,0,"11,600",-0.1
16/07/2024,12.95,"276,600",13.05,13.10,12.90,0,0,0
15/07/2024,12.95,"172,900",13,13.10,12.95,0,"1,100",-0.0
12/07/2024,13,"391,300",13,13.10,12.90,200,100,0.0
11/07/2024,13.10,"531,100",13.20,13.30,12.95,0,"6,800",-0.1
10/07/2024,13.20,"705,800",13.30,13.40,13,"1,600",900,0.0
09/07/2024,13.30,"394,500",13.40,13.45,13.25,0,"5,300",-0.1
