Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,2,"18,900",2.10,2.10,2,0,0,0
20/03/2025,2.10,"34,700",2,2.10,2,0,0,0
19/03/2025,2,"8,000",2,2.10,2,0,0,0
18/03/2025,2,"26,600",2,2,2,0,0,0
17/03/2025,2,"2,200",2,2,2,0,0,0
14/03/2025,2,"2,700",2,2,2,0,0,0
13/03/2025,2,"8,500",2.10,2.10,2,0,0,0
12/03/2025,2.10,"3,500",2,2.10,2,0,0,0
11/03/2025,2,"13,500",2,2,2,0,0,0
10/03/2025,2,"62,600",2.20,2.20,2,0,0,0
07/03/2025,2.10,"5,900",2.10,2.20,2.10,0,0,0
06/03/2025,2.10,"10,700",2.10,2.10,2,0,0,0
05/03/2025,2.10,"14,300",2.20,2.20,2.10,0,0,0
04/03/2025,2.20,"31,600",2.10,2.20,2.10,0,0,0
03/03/2025,2.10,"13,300",2.10,2.10,2.10,0,0,0
28/02/2025,2.10,"12,400",2.10,2.20,2.10,0,0,0
27/02/2025,2.20,"35,000",2.10,2.20,2.10,0,0,0
26/02/2025,2.10,"41,100",2.10,2.20,2,0,0,0
25/02/2025,2.20,"49,000",2.20,2.20,2.20,0,0,0
24/02/2025,2.20,"24,800",2.20,2.20,2.10,0,0,0
21/02/2025,2.20,"88,000",2.20,2.30,2.20,0,0,0
20/02/2025,2.20,"69,400",2.20,2.20,2.10,0,0,0
19/02/2025,2.20,"2,800",2.20,2.20,2.20,0,0,0
18/02/2025,2.20,"17,400",2.20,2.20,2.10,0,0,0
17/02/2025,2.20,"6,400",2.20,2.20,2.10,0,0,0
14/02/2025,2.20,"36,800",2,2.30,2,0,0,0
13/02/2025,2.10,"13,300",2.10,2.10,2,0,0,0
12/02/2025,2,"11,105",2,2.10,2,0,0,0
11/02/2025,2,"2,207",2.10,2.10,2,0,0,0
10/02/2025,2.10,"17,415",2.20,2.20,2.10,0,0,0
07/02/2025,2.20,"30,308",2,2.20,2,0,0,0
06/02/2025,2.10,"29,904",2.10,2.10,2,0,0,0
05/02/2025,2.10,"1,104",2.10,2.10,2.10,0,0,0
04/02/2025,2.10,"106,007",2.10,2.10,2,0,0,0
03/02/2025,2.10,"3,200",2.10,2.10,2.10,0,0,0
24/01/2025,2.20,732,2.20,2.20,2.20,0,0,0
