Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
12/02/2025,10.70,0,10.70,10.70,10.70,0,0,0
11/02/2025,10.70,0,10.70,10.70,10.70,0,0,0
10/02/2025,10.70,0,10.70,10.70,10.70,0,0,0
07/02/2025,10.70,0,10.70,10.70,10.70,0,0,0
06/02/2025,10.70,0,10.70,10.70,10.70,0,0,0
05/02/2025,10.70,0,10.70,10.70,10.70,0,0,0
04/02/2025,10.70,0,10.70,10.70,10.70,0,0,0
03/02/2025,10.70,0,10.70,10.70,10.70,0,0,0
24/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
23/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
22/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
21/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
20/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
17/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
16/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
15/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
14/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
13/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
10/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
09/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
08/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
07/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
06/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
03/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
02/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
31/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
30/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
27/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
26/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
25/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
24/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
23/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
20/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
19/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
18/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
17/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
16/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
13/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
12/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
11/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
10/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
09/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
06/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
05/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
04/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
03/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
02/12/2024,10.70,0,10.70,10.70,10.70,0,0,0
29/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
28/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
27/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
26/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
25/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
22/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
21/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
20/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
19/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
18/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
14/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
13/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
12/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
11/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
08/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
07/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
06/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
05/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
04/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
01/11/2024,10.70,0,10.70,10.70,10.70,0,0,0
31/10/2024,10.70,0,10.70,10.70,10.70,0,0,0
30/10/2024,10.90,"69,638",11.60,11.60,10.60,0,0,0
29/10/2024,10.70,"76,466",10.70,11,10.50,0,0,0
28/10/2024,10.60,"127,513",11.80,11.80,10.20,0,0,0
25/10/2024,11.80,"29,501",12,12.10,11,0,0,0
24/10/2024,12,"60,056",12.30,12.30,12,0,0,0
23/10/2024,12.40,"36,500",12.60,12.60,12.10,0,0,0
22/10/2024,12.60,"54,671",12.90,12.90,12.50,0,0,0
21/10/2024,12.80,"51,079",13.20,13.30,12.70,0,0,0
18/10/2024,12.90,"33,745",13.20,14,12.90,0,0,0
17/10/2024,13,"23,408",13,13,12.70,0,0,0
16/10/2024,13,"42,907",13,13.10,12.80,0,0,0
15/10/2024,13.10,"15,578",12.90,13.50,12.90,0,0,0
14/10/2024,13.30,"111,201",13,14,13,0,0,0
11/10/2024,12.90,"37,081",13,13,12.70,0,0,0
10/10/2024,13,"43,262",13,13.10,12.80,0,0,0
09/10/2024,13.10,"69,576",13.20,13.20,12.80,0,0,0
08/10/2024,12.80,"57,505",13,13.20,12.70,0,0,0
07/10/2024,13,"55,742",12.50,13.10,12.50,0,0,0
04/10/2024,12.30,"36,008",12.70,12.70,12.30,0,0,0
03/10/2024,12.40,"95,973",13,13.60,12,0,0,0
02/10/2024,13.30,"126,755",13.60,13.80,13,0,0,0
01/10/2024,13.60,"158,406",12.50,14.20,12.50,0,0,0
30/09/2024,12.50,"120,345",13,13,12.40,0,0,0
27/09/2024,13,"97,692",13.20,13.70,12.40,0,0,0
26/09/2024,12.90,"306,263",13.80,14.30,12.60,0,0,0
25/09/2024,13.40,"273,683",13.40,13.40,13.10,0,0,0
24/09/2024,11.70,"25,295",11.60,11.70,11.60,0,0,0
23/09/2024,10.30,"121,343",9.30,10.30,9.30,0,0,0
20/09/2024,9,"14,341",9.30,9.30,9,0,0,0
19/09/2024,9.10,"60,799",9.10,9.30,8.90,0,0,0
18/09/2024,9.10,"23,896",9.20,9.20,8.80,0,0,0
17/09/2024,9.10,"8,013",9.10,9.10,8.50,0,0,0
16/09/2024,9,"39,709",9.40,9.40,8.90,0,0,0
13/09/2024,9.20,"17,322",9.60,9.60,9.20,0,0,0
12/09/2024,9.50,"19,647",9.50,9.70,9.40,0,0,0
11/09/2024,9.60,"39,987",9,10.20,9,0,0,0
10/09/2024,9,"36,414",9,9.30,8.60,0,0,0
09/09/2024,9,"43,501",9.40,9.70,9,0,0,0
06/09/2024,9.40,"25,304",9.40,9.50,9.30,0,0,0
05/09/2024,9.50,"20,024",9.70,9.80,9.30,0,0,0
04/09/2024,9.80,"41,083",10,10,9.50,0,0,0
30/08/2024,10,"33,001",9.80,10.20,9.80,0,0,0
29/08/2024,10,"43,820",9.70,10.20,9.70,0,0,0
28/08/2024,9.80,"51,987",9.90,10,9.50,0,0,0
27/08/2024,9.90,"27,809",9.90,10.20,9.50,0,0,0
26/08/2024,10,"33,923",10,10.10,9.80,0,0,0
23/08/2024,10.20,"26,607",10.10,10.30,9.90,0,0,0
22/08/2024,10,"61,311",10.80,10.80,9.80,0,0,0
21/08/2024,10.20,"55,816",10.70,10.80,10.20,0,0,0
20/08/2024,10.60,"81,976",10.90,11,10.40,0,0,0
19/08/2024,10.60,"29,945",10.50,10.70,10.40,0,0,0
16/08/2024,10.20,"54,029",10.10,10.60,10.10,0,0,0
15/08/2024,10.10,"54,000",10.30,10.40,10,0,0,0
14/08/2024,10.60,"50,615",10.60,10.70,10.30,0,0,0
13/08/2024,10.60,"22,983",10.70,10.80,10.40,0,0,0
12/08/2024,11,"19,698",10.80,11,10.60,0,0,0
09/08/2024,10.80,"18,001",11.40,11.40,10.80,0,0,0
08/08/2024,10.90,"42,240",11,11.30,10.70,0,0,0
07/08/2024,11.10,"64,920",11.50,11.50,10.50,0,0,0
06/08/2024,10.80,"31,500",10.80,11.40,10.20,0,0,0
05/08/2024,10.40,"72,130",12,12,10,0,0,0
02/08/2024,11.80,"57,985",11.30,11.90,11,0,0,0
01/08/2024,11.40,"47,045",12,12,11,0,0,0
31/07/2024,12.20,"77,966",11.10,12.50,10.80,0,0,0
30/07/2024,11.80,"67,257",12,12.30,11.70,0,0,0
29/07/2024,12,"79,390",12.50,13,11.90,0,0,0
26/07/2024,12.50,"96,588",12.50,13.50,11.80,0,0,0
25/07/2024,12.40,"72,400",11.20,12.70,11.10,0,0,0
24/07/2024,11.20,"182,912",12.10,12.10,10.70,0,0,0
23/07/2024,11.80,"148,204",13.60,13.60,11.80,0,0,0
22/07/2024,13.90,"46,238",14.70,14.70,13.20,0,0,0
19/07/2024,14.20,"81,936",14.30,15.30,14,0,0,0
18/07/2024,14.30,"124,101",14.10,14.70,13.20,0,0,0
17/07/2024,14.10,"208,901",15.50,15.60,13.20,0,0,0
16/07/2024,15.30,"166,720",15.40,16.30,14.70,0,0,0
15/07/2024,14.70,"240,352",16.40,16.60,14.70,0,0,0
12/07/2024,16.30,"339,748",16,16.50,15.50,0,0,0
11/07/2024,14.90,"333,636",13.40,14.90,12.50,0,0,0
10/07/2024,12.80,"140,086",15,15,12.50,0,0,0
09/07/2024,14.20,"247,176",13.30,15,12.90,0,0,0
08/07/2024,13.30,"198,841",11.80,13.30,11.80,0,0,0
05/07/2024,11.80,"424,303",10.50,11.80,10,0,0,0
04/07/2024,10.30,"129,419",10,10.40,9.70,0,0,0
03/07/2024,10.30,"160,402",9.90,11,8.80,0,0,0
02/07/2024,9.90,"45,500",11,11,9.90,0,0,0
01/07/2024,11.10,"42,948",11.60,13,11,0,0,0
28/06/2024,11.20,"377,001",12.80,12.80,10,0,0,0
27/06/2024,11.20,"130,528",11.20,11.20,11.20,0,0,0
26/06/2024,9.80,"37,400",9.80,9.80,9.80,0,0,0
25/06/2024,8.70,"53,427",7.60,8.70,7.60,0,0,0
24/06/2024,7.70,"57,100",7.50,7.90,7,0,0,0
21/06/2024,6.90,400,7,7,6.90,0,0,0
20/06/2024,6.80,"2,600",6.90,6.90,6.80,0,0,0
19/06/2024,6.90,"1,100",6.90,6.90,6.90,0,0,0
18/06/2024,7,"4,100",7.20,7.20,6.90,0,0,0
17/06/2024,6.80,100,6.80,6.80,6.80,0,0,0
14/06/2024,6.80,"9,000",7.20,7.20,6.80,0,0,0
13/06/2024,6.80,"2,100",6.80,6.80,6.80,0,0,0
12/06/2024,6.70,"7,300",7,7,6.70,0,0,0
11/06/2024,6.90,"2,600",6.90,6.90,6.90,0,0,0
10/06/2024,6.80,"7,400",6.80,7,6.80,0,0,0
07/06/2024,7,"9,500",6.90,7,6.80,0,0,0
06/06/2024,7,"2,800",7,7,7,0,0,0
05/06/2024,6.90,"11,800",6.90,7,6.90,0,0,0
04/06/2024,6.80,"3,700",7,7,6.80,0,0,0
03/06/2024,7,"11,800",7,7,7,0,0,0
31/05/2024,7,"5,900",7,7.20,6.10,0,0,0
30/05/2024,7,"44,800",6.60,7.10,6.60,0,0,0
29/05/2024,6.80,"2,200",7,7,6.70,0,0,0
28/05/2024,6.80,"3,900",6.70,6.80,6.70,0,0,0
27/05/2024,6.80,"18,000",6.60,6.80,6.60,0,0,0
24/05/2024,6.30,"3,600",6.30,6.30,6.30,0,0,0
23/05/2024,6.30,"2,100",6.20,6.30,6.20,0,0,0
22/05/2024,6.30,"7,100",6.10,6.40,6,0,0,0
21/05/2024,6.50,100,6.50,6.50,6.50,0,0,0
20/05/2024,6.50,0,6.50,6.50,6.50,0,0,0
17/05/2024,6.50,"1,200",6.50,6.50,6.50,0,0,0
16/05/2024,6.60,"7,700",6.50,6.60,6.40,0,0,0
15/05/2024,6.30,"6,400",6.40,6.40,6.30,0,0,0
14/05/2024,6.50,900,6.50,6.50,6.30,0,0,0
13/05/2024,6.60,"1,000",6.50,6.60,6.50,0,0,0
10/05/2024,6.70,"4,303",6.70,6.70,6.40,0,0,0
09/05/2024,6.80,"14,100",6.60,6.80,6.60,0,0,0
08/05/2024,6.60,"22,900",6.60,6.60,6.60,0,0,0
07/05/2024,6.60,"6,800",6.70,6.70,6.60,0,0,0
06/05/2024,6.60,"21,015",6.40,6.80,6.40,0,0,0
