Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,19.85,"1,985,100",19.80,19.85,19.55,"5,300","62,500",0
20/03/2025,19.85,"2,060,900",19.80,19.85,19.65,"206,600","103,400",2.0
19/03/2025,19.80,"1,732,600",19.70,19.80,19.55,"384,400","216,500",3.3
18/03/2025,19.70,"1,512,100",19.85,19.85,19.60,"24,300","200,204",-3.5
17/03/2025,19.80,"1,791,700",19.90,19.90,19.65,"80,700","179,400",-2.0
14/03/2025,19.80,"1,681,100",19.80,19.80,19.60,"145,000","99,600",0.9
13/03/2025,19.80,"1,847,300",19.85,19.85,19.55,"65,700","176,900",-2.2
12/03/2025,19.85,"1,620,700",19.80,19.90,19.55,"211,900","80,608",2.6
11/03/2025,19.80,"1,855,300",19.80,19.80,19.45,"226,600","144,500",1.6
10/03/2025,19.80,"1,858,800",19.70,19.85,19.65,"182,500","54,400",2.5
07/03/2025,19.65,"1,792,000",19.45,19.65,19.30,"203,100","193,500",0.2
06/03/2025,19.45,"1,879,100",19.50,19.75,19.40,"318,696","74,800",4.8
05/03/2025,19.45,"1,802,100",19.45,19.50,19.30,"151,500","43,400",2.1
04/03/2025,19.45,"1,911,600",19.15,19.45,19.15,"132,400","84,200",0.9
03/03/2025,19.45,"1,711,300",19.40,19.60,19.10,"179,100","150,800",0.5
28/02/2025,19.40,"2,261,100",19.55,19.55,19.05,"34,200","326,800",-5.6
27/02/2025,19.50,"1,773,800",19.30,19.50,19.05,"81,200","170,100",-1.7
26/02/2025,19.30,"1,780,700",19.70,19.70,19.30,"125,000","35,800",1.7
25/02/2025,19.60,"1,774,600",19.65,19.70,19.40,"217,000","39,700",3.5
24/02/2025,19.65,"2,045,600",19.30,19.65,19.15,"165,600","445,200",-5.4
21/02/2025,19.55,"1,843,000",19.50,19.60,19.30,"38,200","174,700",-2.6
20/02/2025,19.60,"2,215,100",19.40,19.75,19.30,"189,200","231,000",-0.8
19/02/2025,19.60,"1,772,200",19.60,19.80,19.50,"85,700","180,500",-1.9
18/02/2025,19.75,"1,975,300",19.90,19.90,19.60,"127,200","170,100",-0.8
17/02/2025,19.85,"2,083,400",19.35,19.90,19.25,"348,500","39,200",6.1
14/02/2025,19.50,"2,370,900",19.20,19.50,19.15,"448,100","57,400",7.6
13/02/2025,19.05,"1,660,800",18.90,19.05,18.65,"424,000","100,900",6.1
12/02/2025,18.95,"2,281,200",18.95,18.95,18.70,"277,100","64,800",4.0
11/02/2025,18.95,"2,694,000",18.65,18.95,18.45,"95,500","254,200",-3.0
10/02/2025,18.70,"2,478,900",18.50,18.70,18.10,"218,500","80,800",2.5
07/02/2025,18.70,"2,242,800",18.20,18.75,18.20,"94,900","366,700",-5.1
06/02/2025,18.65,"2,183,600",18.80,18.80,18.35,"212,000","210,900",-0.0
05/02/2025,18.65,"1,994,200",18.55,18.80,18.50,"71,900","38,900",0.6
04/02/2025,18.80,"1,935,400",18.70,18.80,18.10,"151,500","369,900",-4.0
03/02/2025,17.90,"1,910,600",18.30,18.65,17.60,"418,600","362,600",1.0
24/01/2025,18.75,"2,277,800",18.60,18.80,18.10,"164,600","492,300",-6.0
23/01/2025,18.75,"2,134,900",18.75,18.95,18.60,"116,100","219,400",-1.9
22/01/2025,18.75,"1,963,400",18.60,18.75,18.35,"255,500","162,000",1.7
21/01/2025,18.45,"2,690,900",18,18.45,17.95,"976,000","358,500",11.2
20/01/2025,18,"1,936,100",17.65,18,17.65,"168,200","58,000",2.0
17/01/2025,17.90,"2,076,800",17.60,17.90,17.60,"54,600","155,400",-1.8
16/01/2025,17.80,"2,524,600",17.70,17.80,17.30,"170,500","428,100",-4.5
15/01/2025,17.70,"3,355,300",17.25,17.70,17.10,"42,400","568,600",-9.2
14/01/2025,17.45,"1,885,900",17.15,17.45,17.15,"239,900","79,900",2.8
13/01/2025,17.50,"2,534,200",17.05,17.60,17.05,"156,800","320,800",-2.9
10/01/2025,17.40,"2,155,900",17.05,17.40,16.95,"242,800","342,200",-1.7
09/01/2025,17.05,"1,946,700",17.30,17.30,16.90,"119,000","140,300",-0.4
08/01/2025,17.10,"2,124,100",16.65,17.10,16.60,"414,600","114,400",5.1
07/01/2025,16.80,"3,200,600",16.75,16.80,16.55,"180,300","281,800",-1.7
06/01/2025,16.75,"1,709,400",16.65,16.75,16.60,"201,000","59,400",2.4
03/01/2025,16.80,"1,760,500",16.75,16.80,16.50,"60,800","234,200",-2.9
02/01/2025,16.75,"1,644,600",16.90,16.90,16.45,"19,100","300,100",-4.6
31/12/2024,16.75,"1,631,400",16.85,16.85,16.60,"39,330","94,300",-0.9
30/12/2024,16.70,"1,727,400",16.80,16.95,16.70,"162,100","96,800",1.1
27/12/2024,16.90,"1,741,800",17.05,17.20,16.90,"90,400","86,600",0.1
26/12/2024,16.90,"1,693,500",17.25,17.30,16.90,"38,500","154,000",-2.0
25/12/2024,17.25,"1,924,800",16.85,17.25,16.85,"403,200","23,800",6.5
24/12/2024,17.05,"1,701,000",16.90,17.05,16.75,"124,500","34,000",1.5
23/12/2024,16.95,"1,748,500",16.65,16.95,16.60,"119,700","57,000",1.1
20/12/2024,16.70,"1,581,500",16.80,16.90,16.50,"20,700","243,700",-3.7
19/12/2024,16.50,"2,264,900",17.05,17.10,16.50,"10,800","339,200",-5.6
18/12/2024,17.25,"1,526,600",17.10,17.25,17.10,"68,000","37,100",0.5
17/12/2024,17.30,"2,372,600",17.25,17.30,16.95,"117,100","394,100",-4.7
16/12/2024,17.30,"1,704,900",17.35,17.35,17.10,"38,500","94,300",-1.0
13/12/2024,17.35,"1,793,700",17.25,17.40,17.10,"165,900","322,600",-2.7
12/12/2024,17.40,"1,754,100",17.35,17.40,17.15,"180,900","152,800",0.5
11/12/2024,17.35,"2,086,500",17.35,17.40,17.10,"114,500","157,700",-0.7
10/12/2024,17.35,"2,288,800",17.30,17.45,17.25,"321,600","105,800",3.7
09/12/2024,17.30,"2,470,500",17.10,17.40,17,"114,900","27,100",1.5
06/12/2024,17.25,"1,856,600",17,17.60,17,"270,600","44,600",3.9
05/12/2024,17.20,"2,301,900",16.95,17.20,16.80,"291,800","59,200",4.0
04/12/2024,16.95,"1,748,200",16.80,16.95,16.75,"93,700","143,271",-0.8
03/12/2024,17,"1,829,200",16.95,17,16.75,"65,700","136,920",-1.2
02/12/2024,16.95,"1,740,600",17,17.05,16.85,"23,300","62,600",-0.7
29/11/2024,17,"2,162,800",17,17,16.80,"103,900","114,700",-0.2
28/11/2024,17,"1,942,700",17,17.10,16.80,"209,100","25,600",3.1
