Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,26.60,"21,205,500",26.60,26.85,26.50,"4,141,362","3,889,525",0
20/03/2025,26.55,"19,539,500",26.65,26.85,26.40,"41,220","3,085,647",-80.9
19/03/2025,26.55,"24,310,900",26.70,26.85,26.50,"637,200","4,065,047",-91.2
18/03/2025,26.80,"29,540,500",27.10,27.45,26.80,"1,713,043","5,459,973",-101.8
17/03/2025,27,"18,091,800",27.10,27.15,26.85,"2,081,932","1,561,447",14.2
14/03/2025,26.95,"29,000,300",27,27.20,26.80,"5,142,997","3,821,900",35.7
13/03/2025,26.95,"50,816,000",26.75,27.40,26.45,"7,188,725","2,398,774",129.4
12/03/2025,26.70,"26,789,200",26.85,26.95,26.55,"1,100,128","3,171,860",-55.3
11/03/2025,26.70,"26,426,500",26.35,26.70,26.35,"2,224,865","2,733,972",-13.5
10/03/2025,26.65,"45,642,300",27,27.25,26.50,"1,171,915","5,139,158",-107.0
07/03/2025,26.90,"22,896,800",27.10,27.15,26.80,"2,077,800","2,931,390",-23.0
06/03/2025,26.90,"44,988,800",26.20,26.95,26.20,"1,621,717","3,807,253",-57.7
05/03/2025,26.10,"27,564,200",26.40,26.65,26.10,"2,856,530","2,042,420",21.4
04/03/2025,26.35,"24,072,400",26.45,26.60,26.10,"147,811","2,298,705",-56.6
03/03/2025,26.60,"25,645,100",26.30,26.80,26.15,"1,534,403","784,005",20.0
28/02/2025,26.30,"41,396,500",26.20,26.80,26.20,"1,109,520","2,094,919",-25.9
27/02/2025,26.10,"17,996,300",25.95,26.10,25.60,"221,400","1,022,452",-20.7
26/02/2025,25.85,"25,212,900",25.85,26.10,25.60,"827,419","2,124,250",-33.4
25/02/2025,25.85,"28,069,100",25.90,26.20,25.75,"911,120","1,486,355",-14.9
24/02/2025,25.85,"25,063,000",25.30,25.85,25.25,"2,263,976","1,910,138",8.8
21/02/2025,25.35,"11,577,200",25.20,25.40,25.15,"1,132,301","434,156",17.7
20/02/2025,25.25,"13,806,600",25.45,25.55,25.25,"65,450","2,365,305",-58.3
19/02/2025,25.35,"15,517,000",25.25,25.40,25.05,"423,200","1,525,777",-27.8
18/02/2025,25.15,"9,839,100",25.10,25.30,25,"620,601","717,725",-2.4
17/02/2025,25,"18,463,600",24.90,25.35,24.80,"472,515","1,967,824",-37.5
14/02/2025,24.90,"16,151,100",25,25.30,24.90,"3,043,625","1,554,380",37.4
13/02/2025,24.80,"6,768,300",24.75,24.90,24.70,"140,360","1,274,150",-28.1
12/02/2025,24.75,"6,964,800",24.80,25.05,24.75,"976,600","1,972,390",-24.7
11/02/2025,24.70,"12,930,400",24.95,25,24.65,"643,743","4,110,884",-86.0
10/02/2025,24.90,"15,857,200",24.95,25.15,24.65,"1,696,400","254,860",35.9
07/02/2025,25,"7,845,200",25.05,25.20,24.95,"300,679","684,181",-9.6
06/02/2025,25.05,"9,261,600",25.20,25.40,25.05,"280,140","1,605,695",-33.3
05/02/2025,25.05,"9,632,200",25.45,25.45,25.05,"447,520","2,643,118",-55.2
04/02/2025,25.30,"15,668,800",24.90,25.45,24.80,"758,505","3,275,158",-63.0
03/02/2025,24.85,"12,138,800",24.85,25.05,24.75,"929,082","2,215,225",-32.1
24/01/2025,25.25,"9,711,000",25.10,25.25,25,"2,370,013","891,243",37.2
23/01/2025,25.15,"18,477,200",24.45,25.25,24.45,"2,883,863","903,180",49.6
22/01/2025,24.40,"9,555,200",24.50,24.75,24.40,"196,910","645,878",-11.0
21/01/2025,24.45,"8,023,600",24.55,24.80,24.40,"1,169,726","406,411",18.8
20/01/2025,24.50,"6,981,800",24.65,24.65,24.35,"125,103","765,843",-15.7
17/01/2025,24.55,"7,043,000",24.40,24.60,24.25,"240,690","661,126",-10.2
16/01/2025,24.40,"18,541,100",24.40,25.20,24.30,"78,050","4,850,391",-117.5
15/01/2025,24.15,"9,867,500",24.15,24.35,24,"492,908","2,112,242",-39.1
14/01/2025,23.95,"8,104,900",24.20,24.20,23.90,"365,197","1,678,488",-31.5
13/01/2025,24.15,"10,836,600",23.55,24.30,23.55,"640,340","1,523,459",-21.1
10/01/2025,23.70,"21,372,700",24.30,24.55,23.50,"227,579","1,795,780",-38.1
09/01/2025,24.40,"8,907,600",24.70,24.95,24.40,"241,338","1,894,700",-40.7
08/01/2025,24.70,"9,134,400",24.50,24.80,24.45,"281,020","1,984,080",-41.8
07/01/2025,24.55,"18,563,600",25.35,25.35,24.50,"445,404","2,826,455",-58.8
06/01/2025,24.90,"9,985,000",25.35,25.50,24.85,"306,952","276,945",0.7
03/01/2025,25.35,"16,065,900",25.90,25.95,25.35,"217,723","1,803,103",-40.7
02/01/2025,25.95,"8,938,200",26.05,26.35,25.90,"338,929","1,414,845",-28.0
31/12/2024,26.05,"8,234,000",26.45,26.45,26.05,"88,074","257,540",-4.5
30/12/2024,26.45,"11,494,000",26.60,26.90,26.45,"2,042,043","306,941",46.2
27/12/2024,26.60,"16,346,900",26.40,26.70,26.30,"2,905,557","523,310",63.3
26/12/2024,26.35,"8,764,400",26.50,26.60,26.35,"1,927,174","289,205",43.4
25/12/2024,26.55,"26,221,100",26,26.75,25.90,"4,142,447","626,634",92.9
24/12/2024,25.95,"12,299,200",25.85,25.95,25.50,"1,641,875","435,223",31.1
23/12/2024,25.85,"7,842,600",26.20,26.30,25.85,"414,482","155,320",6.8
20/12/2024,26.25,"12,287,800",26.10,26.25,25.90,"2,218,423","793,731",37.4
19/12/2024,26.20,"30,712,700",25.80,26.20,25.45,"3,622,140","8,919,700",-135.3
18/12/2024,26.20,"7,203,300",26,26.20,25.80,"86,285","287,560",-5.2
