Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,40.90,"7,400",40.90,41.10,40.70,0,0,0
20/03/2025,40.50,"1,000",40.50,40.50,40.50,0,0,0
19/03/2025,40.30,"11,100",40.80,40.80,40.20,0,0,0
18/03/2025,40.60,"5,300",41,41,40.40,0,0,0
17/03/2025,40.50,"4,800",40.90,40.90,40.20,0,0,0
14/03/2025,40.20,"12,000",40.90,41.90,40,0,0,0
13/03/2025,40.90,"5,400",41.30,41.30,40.90,0,0,0
12/03/2025,41.30,"9,700",41.30,41.30,41.30,0,0,0
11/03/2025,41.30,"9,700",41.30,41.60,41.10,0,0,0
10/03/2025,41.30,"6,100",41.20,41.60,41.10,0,0,0
07/03/2025,41.20,"6,500",41.10,41.30,41.10,0,0,0
06/03/2025,41.20,"12,400",41.40,41.40,41.10,0,0,0
05/03/2025,41.30,"15,900",41.70,41.80,41.30,0,0,0
04/03/2025,41.40,"6,300",41.70,41.70,41.40,0,0,0
03/03/2025,41.70,"6,200",41.30,41.70,41.20,0,0,0
28/02/2025,41.70,"25,400",41.70,41.70,41.20,0,0,0
27/02/2025,41.60,"14,200",41.50,41.70,41.50,0,0,0
26/02/2025,41.70,"44,400",41.70,41.90,41.60,0,0,0
25/02/2025,41.70,"53,500",42.10,42.10,41,0,0,0
24/02/2025,41.60,"5,300",41.70,41.70,41.20,0,0,0
21/02/2025,41.70,"2,700",41.60,41.70,41.20,0,0,0
20/02/2025,41.60,"28,500",41.70,41.80,41.60,0,0,0
19/02/2025,41.50,"14,100",41.20,41.60,41.20,0,0,0
18/02/2025,40.80,"30,400",41.30,41.30,40.80,0,0,0
17/02/2025,41.20,"22,800",41,41.50,41,0,0,0
14/02/2025,40.90,"6,700",41,41.10,40.90,0,0,0
13/02/2025,40.90,"5,500",41,41,40.70,0,0,0
12/02/2025,41,"5,000",41.50,41.50,40.70,0,0,0
11/02/2025,41,"3,700",41,41.60,40.80,0,0,0
10/02/2025,40.60,"2,603",40.70,40.70,40.60,0,0,0
07/02/2025,40.50,"14,900",40.50,40.80,40.50,0,0,0
06/02/2025,40.40,"23,800",40.80,40.80,40.10,0,0,0
05/02/2025,40.10,"1,700",40.80,40.90,40.10,0,0,0
04/02/2025,40,"5,000",40.60,40.70,40,0,0,0
03/02/2025,40,"13,000",40,40,40,0,0,0
24/01/2025,40,800,40.30,40.30,40,0,0,0
23/01/2025,40.20,"3,100",40.80,40.80,40.20,0,0,0
22/01/2025,40.50,"3,400",39.80,40.50,39.80,0,0,0
21/01/2025,39.70,"3,400",39.90,39.90,39.70,0,0,0
20/01/2025,39.70,"3,200",39.60,39.70,39.60,0,0,0
17/01/2025,39.90,"1,200",39.90,40,39.90,0,0,0
16/01/2025,39.90,200,39.90,39.90,39.90,0,0,0
15/01/2025,39.90,700,39.90,39.90,39.90,0,0,0
14/01/2025,39.60,300,39.60,39.60,39.60,0,0,0
13/01/2025,39.20,"2,000",39.80,40,39.20,0,0,0
10/01/2025,39.60,"1,200",39.60,39.60,39.60,0,0,0
09/01/2025,39.70,300,39.70,39.70,39.70,0,0,0
08/01/2025,40,"2,600",39.80,40,39.70,0,0,0
07/01/2025,39.90,"4,300",40.10,40.10,39.90,0,0,0
06/01/2025,40.10,"5,001",40.10,40.10,39.60,0,0,0
03/01/2025,40.10,"1,301",40.40,40.40,40.10,0,0,0
02/01/2025,40.40,900,40.50,40.50,40.40,0,0,0
31/12/2024,39.70,"4,402",41,41,39.60,0,0,0
30/12/2024,40.10,"3,300",40.50,40.50,40.10,0,0,0
27/12/2024,40.50,"2,800",40.50,40.50,40.30,0,0,0
26/12/2024,40.20,"1,900",40.50,40.50,40.20,0,0,0
25/12/2024,40.70,"31,400",40.60,40.80,40.60,0,0,0
24/12/2024,40.60,300,40.60,40.60,40.60,0,0,0
23/12/2024,40.40,700,40.10,40.40,40.10,0,0,0
20/12/2024,40.20,"2,900",40.20,40.20,40.20,0,0,0
19/12/2024,40.20,400,40.50,40.50,40.20,0,0,0
18/12/2024,40.70,"1,102",40,40.70,40,0,0,0
17/12/2024,40.60,709,40.40,40.60,40,0,0,0
16/12/2024,40,"5,400",39.60,40.20,39.60,0,0,0
13/12/2024,40,"2,400",40,40,40,0,0,0
12/12/2024,39.90,"11,500",39.60,40,39.60,0,0,0
11/12/2024,40,"10,001",40.30,40.30,40,0,0,0
10/12/2024,40.30,"6,100",40.50,40.50,40.10,0,0,0
09/12/2024,40.90,"28,300",40.30,40.90,40.30,0,0,0
06/12/2024,40.60,300,40.30,40.60,40.30,0,0,0
05/12/2024,40.20,"11,300",40.80,40.80,40.20,0,0,0
04/12/2024,40.20,600,40.20,40.20,40.20,0,0,0
03/12/2024,40.40,"17,300",40.90,40.90,40.40,0,0,0
02/12/2024,40.30,"1,500",40.20,40.30,40.20,0,0,0
29/11/2024,40.60,"1,200",40.90,40.90,40.40,0,0,0
28/11/2024,40.50,"16,241",40.20,41,40.20,0,0,0
27/11/2024,40.50,"1,060",41.80,41.80,40.40,0,0,0
26/11/2024,40,"2,400",40.50,40.50,40,0,0,0
25/11/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  10%,,,,,,,,
25/11/2024,40.30,"1,000",40.70,40.70,40.20,0,0,0
22/11/2024,40.70,902,40.70,40.90,40.70,0,0,0
21/11/2024,40.70,"2,000",40.99,40.99,40.70,0,0,0
20/11/2024,40.21,"28,800",40.21,40.60,40.21,0,0,0
19/11/2024,40.02,901,40.41,40.50,40.02,0,0,0
18/11/2024,40.02,"1,300",39.63,40.02,39.63,0,0,0
15/11/2024,39.63,"38,301",40.31,40.31,39.53,0,0,0
14/11/2024,40.50,"3,716",40.50,40.50,40.50,0,0,0
13/11/2024,40.80,200,40.80,40.80,40.80,0,0,0
12/11/2024,40.70,"3,700",40.70,40.80,40.70,0,0,0
11/11/2024,40.70,"8,900",40.99,40.99,40.60,0,300,-0.0
08/11/2024,41.09,910,40.50,41.09,40.50,0,0,0
07/11/2024,41.09,"1,100",40.99,41.09,40.99,0,0,0
06/11/2024,40.99,"8,900",40.80,40.99,40.80,0,0,0
05/11/2024,40.60,0,40.60,40.60,40.60,0,0,0
04/11/2024,40.60,"6,300",40.60,40.60,40.60,0,0,0
01/11/2024,40.70,"1,000",40.70,40.70,40.70,0,0,0
31/10/2024,40.80,200,40.80,40.80,40.80,0,0,0
30/10/2024,40.80,"3,500",40.80,40.80,40.80,0,0,0
29/10/2024,40.11,300,40.11,40.11,40.11,0,0,0
28/10/2024,40.11,"1,800",40.31,40.31,40.11,0,0,0
25/10/2024,40.11,"2,400",40.02,40.11,40.02,0,0,0
24/10/2024,40.11,500,40.21,40.21,40.11,0,0,0
23/10/2024,40.21,"2,000",40.60,40.70,40.11,0,0,0
22/10/2024,40.70,400,40.60,40.70,40.60,0,0,0
21/10/2024,41.09,"4,100",40.99,41.09,40.99,0,0,0
18/10/2024,40.80,"2,700",39.82,40.80,39.82,0,0,0
17/10/2024,40.90,401,40.90,40.90,40.90,0,0,0
16/10/2024,40.90,400,40.90,40.99,40.90,0,0,0
15/10/2024,40.70,500,40.80,40.80,40.70,0,0,0
14/10/2024,40.80,100,40.80,40.80,40.80,0,0,0
11/10/2024,40.31,910,40.21,40.31,40.21,0,0,0
10/10/2024,40.31,"1,500",40.31,40.41,40.31,0,0,0
09/10/2024,40.21,"4,300",40.21,40.70,40.11,0,0,0
