Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,17,0,17,17,17,0,0,0
20/03/2025,17,0,17,17,17,0,0,0
19/03/2025,17,0,17,17,17,0,0,0
18/03/2025,17,0,17,17,17,0,0,0
17/03/2025,17,0,17,17,17,0,0,0
14/03/2025,17,0,17,17,17,0,0,0
13/03/2025,17,0,17,17,17,0,0,0
12/03/2025,17,0,17,17,17,0,0,0
11/03/2025,17,0,17,17,17,0,0,0
10/03/2025,17,0,17,17,17,0,0,0
07/03/2025,17,0,17,17,17,0,0,0
06/03/2025,17,0,17,17,17,0,0,0
05/03/2025,17,0,17,17,17,0,0,0
04/03/2025,17.10,"69,700",17,17.10,17,0,0,0
03/03/2025,17,0,17,17,17,0,0,0
28/02/2025,17,100,17,17,17,0,0,0
27/02/2025,17.20,0,17.20,17.20,17.20,0,0,0
26/02/2025,17.20,0,17.20,17.20,17.20,0,0,0
25/02/2025,17.20,0,17.20,17.20,17.20,0,0,0
24/02/2025,17.20,0,17.20,17.20,17.20,0,0,0
21/02/2025,17.20,0,17.20,17.20,17.20,0,0,0
20/02/2025,17.20,"6,600",17.20,17.20,17.10,0,0,0
19/02/2025,17.10,"9,300",17.10,17.30,17.10,0,0,0
18/02/2025,17.20,"28,800",17,17.20,17,0,0,0
17/02/2025,16.70,0,16.70,16.70,16.70,0,0,0
14/02/2025,16.70,0,16.70,16.70,16.70,0,0,0
13/02/2025,16.70,0,16.70,16.70,16.70,0,0,0
12/02/2025,16.70,0,16.70,16.70,16.70,0,0,0
11/02/2025,16.70,0,16.70,16.70,16.70,0,0,0
10/02/2025,16.70,0,16.70,16.70,16.70,0,0,0
07/02/2025,16.70,0,16.70,16.70,16.70,0,0,0
06/02/2025,16.70,0,16.70,16.70,16.70,0,0,0
05/02/2025,16.60,"1,100",16.80,16.80,16.60,0,0,0
04/02/2025,17.60,0,17.60,17.60,17.60,0,0,0
24/01/2025,17.70,"172,300",16.60,17.70,16.40,0,0,0
23/01/2025,17.30,0,17.60,17.60,17.60,0,0,0
22/01/2025,17.30,"128,000",17.10,18,17,0,0,0
21/01/2025,17,500,17,17,17,0,0,0
20/01/2025,17,0,17,17,17,0,0,0
17/01/2025,17,500,17,17,17,0,0,0
16/01/2025,17.10,200,17.10,17.10,17.10,0,0,0
15/01/2025,17.30,"6,000",17,17.30,17,0,0,0
14/01/2025,17,0,17,17,17,0,0,0
13/01/2025,17,200,17,17,17,0,0,0
10/01/2025,17,0,17,17,17,0,0,0
09/01/2025,17,0,17,17,17,0,0,0
08/01/2025,17,200,17,17,17,0,0,0
07/01/2025,17,0,17,17,17,0,0,0
06/01/2025,17,500,17,17,17,0,0,0
03/01/2025,17,0,17,17,17,0,0,0
02/01/2025,17,0,17,17,17,0,0,0
31/12/2024,17,200,17,17,17,0,0,0
30/12/2024,17.20,0,17.20,17.20,17.20,0,0,0
27/12/2024,17.20,300,17.20,17.20,17.20,0,0,0
26/12/2024,17,0,17,17,17,0,0,0
25/12/2024,17,0,17,17,17,0,0,0
24/12/2024,17,300,17,17,17,0,0,0
23/12/2024,17.20,500,17.20,17.20,17.20,0,0,0
20/12/2024,17.20,500,17.20,17.20,17.20,0,0,0
19/12/2024,16.90,0,16.90,16.90,16.90,0,0,0
18/12/2024,16.90,"1,200",16.90,16.90,16.90,0,0,0
17/12/2024,17,200,17,17,17,0,0,0
16/12/2024,17,500,17,17,17,0,0,0
13/12/2024,16.90,300,16.90,16.90,16.90,0,0,0
12/12/2024,16.90,200,16.90,16.90,16.90,0,0,0
11/12/2024,16.90,500,16.90,16.90,16.90,0,0,0
10/12/2024,16.80,0,16.80,16.80,16.80,0,0,0
09/12/2024,16.80,200,16.80,16.80,16.80,0,0,0
06/12/2024,17,700,16.90,17,16.90,0,0,0
05/12/2024,17.30,300,16.70,17.30,16.70,0,0,0
04/12/2024,17,500,17,17,17,0,0,0
03/12/2024,17.20,600,17.20,17.20,17.20,0,0,0
02/12/2024,17.30,"1,900",17.10,17.30,17.10,0,0,0
29/11/2024,17.10,500,17.10,17.10,17.10,0,0,0
28/11/2024,17.30,700,17.20,17.30,17.20,0,0,0
27/11/2024,17.30,800,17.30,17.30,17.30,0,0,0
26/11/2024,17.40,700,17.30,17.40,17.30,0,0,0
25/11/2024,17.40,"1,500",17.30,17.40,17.30,0,0,0
22/11/2024,17.30,"5,400",17.30,17.30,17.20,0,0,0
21/11/2024,17.20,"1,000",17.20,17.20,17.20,0,0,0
20/11/2024,17.30,"19,600",17.30,17.40,17.10,0,0,0
19/11/2024,17.20,"14,500",17.20,17.20,17,0,0,0
18/11/2024,17.10,"17,200",17.20,17.20,17,0,0,0
15/11/2024,17,"2,100",17.20,17.20,17,0,0,0
14/11/2024,17.20,"2,200",17.10,17.20,17.10,0,0,0
13/11/2024,17.30,"26,400",17,17.30,16.90,0,0,0
12/11/2024,17.10,"36,400",17.10,17.30,16.90,0,0,0
11/11/2024,17.20,"23,100",16.90,17.20,16.80,0,0,0
08/11/2024,16.70,"32,500",16.80,16.90,16.70,0,0,0
07/11/2024,16.90,"25,600",16.80,17.10,16.70,0,0,0
06/11/2024,16.90,"27,900",17,17.20,16.80,0,0,0
05/11/2024,17.30,"27,200",16.80,17.30,16.80,0,0,0
04/11/2024,17.20,"30,100",16.90,17.20,16.90,0,0,0
01/11/2024,16.80,"23,000",16.90,16.90,16.70,0,0,0
31/10/2024,16.90,"24,800",17.10,17.10,16.80,0,0,0
30/10/2024,17.30,"2,300",17.40,17.40,17.30,0,0,0
29/10/2024,17.30,"1,200",17.40,17.40,17.30,0,0,0
28/10/2024,17.40,"53,100",17.30,17.40,17.20,0,0,0
25/10/2024,17.30,"9,000",17.20,17.30,17.20,0,0,0
24/10/2024,17.20,"3,800",17.20,17.20,17.20,0,0,0
23/10/2024,17.10,"1,700",17.20,17.20,17,0,0,0
22/10/2024,17,"46,300",16.80,17,16.60,0,0,0
21/10/2024,17.20,"52,000",16.90,17.20,16.90,0,0,0
18/10/2024,16.80,"83,800",17,17.10,16.60,0,0,0
17/10/2024,17.10,"55,300",16.70,17.10,16.70,0,0,0
16/10/2024,16.90,"53,200",16.90,16.90,16.60,0,0,0
15/10/2024,17.30,"52,000",16.90,17.30,16.80,0,0,0
14/10/2024,17.30,"21,000",17,17.30,17,0,0,0
11/10/2024,17.40,"6,000",17.30,17.40,17.30,0,0,0
10/10/2024,17.40,300,17.50,17.50,17.40,0,0,0
09/10/2024,17.30,"2,100",17.20,17.30,17.20,0,0,0
08/10/2024,17.30,"123,000",17.20,17.30,17.10,0,0,0
07/10/2024,17.20,"3,600",17.50,17.50,17.20,0,0,0
04/10/2024,17.20,"4,400",17.20,17.20,17.20,0,0,0
03/10/2024,17.10,"1,600",17.50,17.50,17.10,0,0,0
02/10/2024,17,"6,500",17.30,17.30,17,0,0,0
01/10/2024,17.10,"8,900",17.30,17.30,17.10,0,0,0
30/09/2024,17,"8,900",18.70,18.70,17,0,0,0
27/09/2024,16.80,"51,000",12,16.80,12,0,0,0
30/11/-0001,16.70,0,16.70,16.70,16.70,0,0,0
