Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,2.62,"3,977,600",2.75,2.75,2.61,"5,000","221,400",0
20/03/2025,2.80,"1,905,300",2.91,2.91,2.80,200,"207,300",-0.6
19/03/2025,2.89,"823,800",2.91,2.94,2.87,"99,200","4,400",0.3
18/03/2025,2.89,"1,785,000",2.85,2.96,2.81,"223,100",800,0.6
17/03/2025,2.88,"889,900",2.85,2.90,2.82,"205,200","14,400",0.5
14/03/2025,2.85,"1,503,300",2.86,2.87,2.80,"9,200","136,990",-0.4
13/03/2025,2.87,"3,169,900",2.97,2.98,2.80,"1,800","29,700",-0.1
12/03/2025,2.97,"1,478,800",3,3.03,2.93,"3,900",0,0.0
11/03/2025,3,"2,201,800",2.90,3,2.84,"156,500","127,000",0.1
10/03/2025,2.95,"7,132,200",3.10,3.21,2.91,"38,401",0,0.1
07/03/2025,3.12,"4,448,700",3.31,3.43,3.10,"1,700","5,540",-0.0
06/03/2025,3.25,"12,217,500",3.22,3.44,3.22,"115,200","97,540",0.1
05/03/2025,3.46,"1,401,600",3.46,3.46,3.46,0,0,0
04/03/2025,3.72,"1,000,300",3.72,3.72,3.72,0,"7,000",-0.0
03/03/2025,4,"1,311,700",4,4,4,"2,500",68,0.0
28/02/2025,4.30,"2,305,000",4.20,4.39,4.20,"81,700","17,600",0.3
27/02/2025,4.20,"3,738,000",4.40,4.43,4.20,"19,000","93,100",-0.3
26/02/2025,4.45,"2,109,900",4.52,4.56,4.44,"16,400","113,400",-0.4
25/02/2025,4.58,"2,006,200",4.67,4.67,4.53,0,"39,800",-0.2
24/02/2025,4.59,"1,011,300",4.57,4.65,4.55,"44,900",0,0.2
21/02/2025,4.62,"1,037,700",4.68,4.72,4.62,"1,700",0,0.0
20/02/2025,4.68,"1,053,500",4.73,4.78,4.68,"3,700","7,200",-0.0
19/02/2025,4.72,"2,078,000",4.69,4.80,4.65,"43,200",0,0.2
18/02/2025,4.71,"1,755,500",4.68,4.80,4.65,"9,600","4,600",0.0
17/02/2025,4.68,"1,908,800",4.65,4.75,4.63,"14,700","8,800",0.0
14/02/2025,4.69,"4,329,200",4.50,4.79,4.42,"57,600","5,900",0.2
13/02/2025,4.50,"908,000",4.60,4.64,4.50,"1,900","49,900",-0.2
12/02/2025,4.57,"1,573,600",4.43,4.58,4.42,"64,200",0,0.3
11/02/2025,4.39,"451,900",4.36,4.43,4.34,"15,200","19,500",-0.0
10/02/2025,4.36,"446,300",4.37,4.41,4.36,200,"3,700",-0.0
07/02/2025,4.40,"803,200",4.43,4.47,4.40,"45,400",0,0.2
06/02/2025,4.43,"541,800",4.45,4.46,4.39,0,"25,200",-0.1
05/02/2025,4.43,"805,300",4.43,4.45,4.35,"5,600","8,300",-0.0
04/02/2025,4.39,"874,900",4.28,4.39,4.27,"24,700",200,0.1
03/02/2025,4.25,"332,900",4.24,4.28,4.21,0,0,0
24/01/2025,4.21,"620,600",4.26,4.28,4.20,0,0,0
23/01/2025,4.24,"500,800",4.28,4.30,4.24,"4,000",0,0.0
22/01/2025,4.27,"204,400",4.29,4.33,4.27,0,0,0
21/01/2025,4.29,"340,500",4.35,4.35,4.28,500,0,0.0
20/01/2025,4.33,"507,000",4.33,4.36,4.30,"1,300",0,0.0
17/01/2025,4.33,"242,100",4.35,4.37,4.32,"6,300",0,0.0
