Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,40.25,"1,820,700",40,40.40,39.65,0,0,0
20/03/2025,40.15,"1,927,700",40.70,40.80,39.75,"3,100",0,0.1
19/03/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  5%,,,,,,,,
19/03/2025,40.60,"2,138,700",40.50,41.05,40.35,0,"15,800",-0.6
18/03/2025,40.70,"1,824,000",40.90,41.10,40.45,0,"74,000",-3.1
17/03/2025,41.05,"1,934,100",41.24,41.24,40.55,0,"35,900",-1.5
14/03/2025,41.10,"2,440,800",41.19,41.29,40.45,0,"14,900",-0.6
13/03/2025,41.10,"3,112,400",40.70,41.44,40.70,"76,100","5,500",2.9
12/03/2025,40.60,"2,686,600",40.16,40.60,39.86,"12,000","61,600",-2.0
11/03/2025,40.16,"2,199,100",39.71,40.16,39.61,0,"5,400",-0.2
10/03/2025,40.16,"1,798,800",40.16,40.21,39.86,"21,500","74,200",-2.1
07/03/2025,40.16,"2,037,100",40.35,40.35,39.91,0,500,-0.0
06/03/2025,40.21,"1,832,000",40.16,40.26,39.96,"110,000","4,500",4.3
05/03/2025,40.16,"2,161,500",40.16,40.35,39.91,300,"7,300",-0.3
04/03/2025,40.31,"2,229,600",40.21,40.45,39.96,0,"22,300",-0.9
03/03/2025,40.21,"1,200,500",40.55,40.60,40.21,0,"69,400",-2.8
28/02/2025,40.50,"1,894,700",40.65,40.75,40.26,"7,800","27,900",-0.8
27/02/2025,40.70,"1,464,500",40.95,40.95,40.45,0,"1,800",-0.1
26/02/2025,40.90,"1,728,100",40.50,41.10,40.35,"51,500","7,800",1.8
25/02/2025,40.50,"2,113,600",40.50,40.55,40.21,0,"7,400",-0.3
24/02/2025,40.55,"1,875,000",40.65,40.65,40.26,"55,800","3,900",2.1
21/02/2025,40.60,"1,532,900",40.60,40.70,40.21,0,"45,000",-1.8
20/02/2025,40.65,"1,717,800",40.60,40.80,40.31,200,"2,585",-0.1
19/02/2025,40.70,"1,620,100",40.65,40.75,40.35,"55,001","38,300",0.7
18/02/2025,40.70,"1,728,600",40.80,40.80,40.26,0,"10,200",-0.4
17/02/2025,40.85,"1,434,400",41.00,41.05,40.50,0,"12,200",-0.5
14/02/2025,40.85,"1,713,700",40.65,41.29,40.26,"62,100",100,2.6
13/02/2025,40.60,"1,741,100",40.60,40.80,39.91,0,"5,200",-0.2
12/02/2025,40.70,"1,805,700",41.29,41.44,40.45,"37,800",300,1.5
11/02/2025,41.39,"1,625,200",40.80,41.39,40.26,300,"19,100",-0.8
10/02/2025,41.39,"2,367,900",42.38,42.38,40.50,"5,300","15,100",-0.4
07/02/2025,42.53,"1,700,800",42.53,42.73,42.18,"114,400","4,101",4.8
06/02/2025,42.53,"1,847,500",42.63,42.63,41.89,"15,500","16,100",-0.0
05/02/2025,42.48,"2,074,500",42.08,42.48,41.59,"6,358","85,500",-3.3
04/02/2025,42.03,"1,428,700",42.03,42.13,41.54,"2,400","1,700",0.0
03/02/2025,41.94,"1,095,500",41.89,42.08,41.54,"16,100","147,300",-5.5
24/01/2025,41.89,"822,100",41.98,42.13,41.79,0,400,-0.0
23/01/2025,41.98,"1,038,700",41.49,42.03,41.34,"13,100","3,000",0.4
22/01/2025,41.49,"1,301,900",41.98,41.98,41.44,0,"2,900",-0.1
21/01/2025,41.98,"1,323,700",42.13,42.18,41.69,0,"19,500",-0.8
20/01/2025,42.08,"1,251,300",42.33,42.48,41.79,0,400,-0.0
17/01/2025,42.38,"1,113,300",42.18,42.48,41.59,"117,400","3,200",4.9
16/01/2025,42.08,"1,289,200",41.89,42.23,41.64,"17,200",400,0.7
15/01/2025,41.69,"1,360,100",42.68,42.77,41.69,200,"4,000",-0.2
14/01/2025,42.87,"1,480,700",43.27,43.32,42.08,"3,800","20,500",-0.7
13/01/2025,43.27,"1,470,100",43.61,43.81,42.58,"2,900","82,600",-3.5
10/01/2025,44.36,"1,213,200",44.70,45.05,44.06,100,"22,000",-1.0
09/01/2025,45.05,"1,250,600",45.34,45.44,44.60,"20,100","7,300",0.6
08/01/2025,45.34,"1,339,900",45.34,45.34,44.50,"3,800","1,800",0.1
07/01/2025,45.34,"2,043,100",45.64,45.64,44.45,"370,100","2,000",16.9
06/01/2025,45.64,"2,092,000",46.78,47.12,44.01,"13,800","17,702",-0.2
03/01/2025,46.92,"1,789,600",47.22,47.37,46.53,"90,500","16,912",3.5
02/01/2025,47.27,"1,292,400",47.27,47.42,46.63,0,"10,100",-0.5
31/12/2024,47.27,"1,416,400",47.17,47.27,46.87,0,"36,500",-1.7
30/12/2024,47.27,"1,531,100",47.71,47.76,47.07,"1,000","6,800",-0.3
27/12/2024,47.76,"3,028,700",47.76,48.11,47.37,0,"7,500",-0.4
26/12/2024,47.62,"2,180,200",47.42,47.66,47.02,"45,000","223,200",-8.6
25/12/2024,47.57,"4,263,400",47.47,47.86,47.12,0,"128,900",-6.2
24/12/2024,47.32,"2,310,800",47.52,47.57,46.97,0,"61,200",-2.9
23/12/2024,47.57,"2,630,500",47.76,47.76,47.12,"28,100","37,600",-0.5
20/12/2024,47.47,"3,737,500",46.53,47.66,46.43,"356,000","4,200",16.8
19/12/2024,46.53,"2,684,100",46.13,46.97,45.99,"135,500","6,800",6.0
18/12/2024,46.43,"2,580,200",46.48,46.53,45.99,"60,600","6,100",2.5
17/12/2024,46.43,"2,766,400",46.23,46.48,45.84,"43,500","79,327",-1.7
16/12/2024,46.43,"1,829,600",46.87,47.02,46.13,"8,400","14,400",-0.3
13/12/2024,46.87,"1,573,200",46.82,47.22,46.68,"29,200","37,500",-0.4
12/12/2024,47.32,"2,997,100",46.53,47.57,46.53,"58,800","25,000",1.6
11/12/2024,46.92,"2,292,200",47.52,47.57,46.78,"103,000","93,700",0.4
10/12/2024,47.52,"2,212,500",47.62,47.66,47.22,0,"126,300",-6.1
09/12/2024,47.66,"2,586,000",47.81,47.96,47.32,100,"50,300",-2.4
06/12/2024,47.81,"2,632,300",48.16,48.16,47.62,"13,200","63,900",-2.5
05/12/2024,48.01,"3,299,200",47.22,48.11,46.73,"158,400","36,600",5.9
04/12/2024,47.22,"2,236,600",47.37,47.66,46.73,"2,500","125,900",-5.9
03/12/2024,47.66,"2,524,300",47.71,47.76,47.32,"6,500","77,000",-3.4
02/12/2024,47.66,"2,061,300",48.01,48.31,47.27,0,"86,117",-4.2
29/11/2024,47.81,"5,850,100",46.48,48.95,46.48,"9,688","126,500",-5.7
28/11/2024,46.48,"1,867,500",46.43,46.68,46.13,500,"53,600",-2.5
27/11/2024,46.43,"2,019,500",46.78,46.82,46.03,"1,300","5,700",-0.2
26/11/2024,46.73,"3,449,800",46.87,47.52,46.43,"10,400","5,500",0.2
25/11/2024,46.73,"3,568,000",45.64,46.87,45.54,"706,800","4,000",33.0
22/11/2024,45.64,"1,906,800",45.64,45.94,45.39,600,0,0.0
21/11/2024,45.69,"2,189,800",45.15,45.79,45.15,"55,606",0,2.6
20/11/2024,45.05,"2,285,100",45.05,45.34,44.16,"8,900","13,400",-0.2
19/11/2024,45.05,"1,483,500",45.94,45.94,45.05,"78,200","3,111",3.5
18/11/2024,45.94,"1,338,800",45.84,46.13,45.05,0,0,0
15/11/2024,45.94,"1,411,100",46.13,46.23,44.95,"64,700","15,300",2.3
14/11/2024,46.33,"2,194,400",46.03,46.58,45.94,"11,300",0,0.5
13/11/2024,45.94,"1,139,600",46.13,46.13,45.59,"61,100",800,2.8
12/11/2024,46.23,"1,428,900",46.82,46.82,45.99,"19,100","29,000",-0.5
11/11/2024,46.68,"2,480,700",46.23,46.78,46.23,"144,100",700,6.8
08/11/2024,46.23,"2,151,400",45.84,46.43,45.59,"124,800",0,5.8
07/11/2024,45.64,"1,229,800",45.74,45.84,45.49,"132,700",0,6.1
06/11/2024,45.44,"1,680,400",44.60,45.44,44.31,0,0,0
05/11/2024,44.50,"807,300",44.50,44.65,44.26,0,200,-0.0
04/11/2024,44.65,"1,020,600",44.65,44.70,44.11,100,300,-0.0
01/11/2024,44.65,"1,377,600",44.85,44.90,44.26,0,0,0
31/10/2024,44.85,"1,342,200",44.95,44.95,44.60,0,"6,400",-0.3
30/10/2024,44.85,"1,117,300",44.85,44.95,44.36,"108,300","39,900",3.1
29/10/2024,44.85,"1,701,200",44.70,44.85,44.45,"4,600","6,000",-0.1
28/10/2024,44.60,"924,800",44.55,44.75,44.36,0,"6,900",-0.3
25/10/2024,44.55,"1,099,900",44.90,44.95,44.11,0,"8,700",-0.4
24/10/2024,44.90,"866,200",45.10,45.64,44.85,"1,300","8,800",-0.3
23/10/2024,45.39,"1,243,900",45.10,45.39,44.80,0,"21,500",-1.0
22/10/2024,45.29,"1,470,200",45.59,45.59,44.55,"16,500","3,600",0.6
21/10/2024,45.59,"1,026,300",45.94,45.94,45.29,0,"1,100",-0.1
18/10/2024,45.79,"1,887,000",45.54,46.08,45.54,"23,100","2,300",1.0
17/10/2024,45.49,"903,300",46.03,46.13,45.44,0,"9,500",-0.4
16/10/2024,46.03,"1,237,200",46.08,46.13,45.34,"11,800","16,400",-0.2
15/10/2024,46.08,"1,479,300",46.23,46.48,45.74,0,"11,100",-0.5
14/10/2024,46.18,"1,275,600",46.08,46.38,45.79,0,"12,900",-0.6
11/10/2024,46.23,"1,677,400",46.23,46.53,45.89,"6,200","15,900",-0.5
10/10/2024,46.23,"1,062,200",46.38,46.38,45.84,"4,200","1,200",0.1
09/10/2024,46.23,"1,499,900",45.79,46.23,45.54,"12,400",0,0.6
08/10/2024,45.54,"1,277,700",45.49,45.59,44.90,200,"10,500",-0.5
07/10/2024,45.54,"1,179,000",45.54,45.84,45.15,0,"19,500",-0.9
04/10/2024,45.44,"1,269,900",46.33,46.38,45.44,300,"26,200",-1.2
03/10/2024,46.43,"1,842,900",47.42,47.52,46.33,200,"79,900",-3.8
02/10/2024,47.42,"1,825,600",48.01,48.01,46.87,"2,600","178,700",-8.4
01/10/2024,48.26,"2,396,400",48.21,48.55,47.91,300,"98,500",-4.8
30/09/2024,48.21,"2,781,700",47.71,48.21,47.52,"207,700","2,000",10.0
27/09/2024,47.76,"2,763,700",47.71,47.96,47.37,"214,300","34,300",8.7
26/09/2024,47.71,"5,456,600",46.33,47.81,45.89,"377,900","4,600",17.7
25/09/2024,46.28,"1,987,800",46.13,46.58,45.94,"8,600","16,400",-0.4
24/09/2024,46.13,"1,691,600",46.08,46.28,45.89,"34,300","8,400",1.2
23/09/2024,46.08,"989,000",46.43,46.48,45.84,0,"11,100",-0.5
20/09/2024,46.38,"1,788,600",46.73,46.73,46.18,"15,300",600,0.7
19/09/2024,46.38,"1,776,800",46.43,46.68,46.03,"2,000","2,300",-0.0
18/09/2024,46.38,"1,760,200",46.33,46.53,46.03,"14,200",0,0.7
17/09/2024,46.18,"2,370,300",45.29,46.33,44.75,"12,600","30,900",-0.8
16/09/2024,45.24,"1,246,200",45.59,45.59,44.90,0,100,-0.0
13/09/2024,45.39,"816,500",45.39,45.49,45.10,"16,100","10,000",0.3
12/09/2024,45.39,"1,237,700",45.39,45.59,45.15,900,"22,600",-1.0
11/09/2024,45.39,"1,227,100",45.39,45.54,44.55,"17,200","15,000",0.1
10/09/2024,45.44,"1,119,500",45.94,45.94,44.90,400,"10,000",-0.4
09/09/2024,45.94,"741,300",46.23,46.23,45.54,0,0,0
06/09/2024,46.23,"1,523,900",45.44,46.23,45.05,"79,100","1,700",3.6
05/09/2024,45.44,"1,261,200",46.63,46.73,45.34,0,"2,800",-0.1
04/09/2024,46.53,"1,345,300",46.23,46.63,46.13,"25,600","4,300",1.0
30/08/2024,46.92,"1,486,400",47.32,47.47,46.58,"47,400",400,2.2
29/08/2024,47.32,"1,945,600",47.71,47.81,47.07,"10,200",0,0.5
28/08/2024,47.81,"1,142,400",47.91,47.96,47.22,"65,600",0,3.2
27/08/2024,47.91,"2,454,300",47.42,48.01,46.53,"36,100","50,000",-0.7
26/08/2024,47.47,"1,645,200",48.41,48.41,47.42,"54,300","2,300",2.5
23/08/2024,48.11,"1,861,100",48.21,48.45,47.71,"29,900","25,500",0.2
22/08/2024,48.50,"2,666,000",48.60,48.65,47.96,"9,900","39,900",-1.5
21/08/2024,48.55,"3,238,200",48.41,48.75,47.86,"2,000","137,300",-6.6
20/08/2024,48.26,"3,920,600",47.86,48.50,47.62,"25,100","27,400",-0.1
19/08/2024,47.81,"2,719,000",47.71,48.21,47.47,"41,500",200,2.0
16/08/2024,47.52,"3,001,700",46.13,47.62,45.84,"137,000","6,800",6.2
15/08/2024,46.13,"1,417,200",46.73,46.82,45.29,"4,700","22,700",-0.8
14/08/2024,46.73,"1,657,200",47.42,47.47,46.58,"2,800","94,600",-4.4
13/08/2024,47.27,"2,738,600",47.27,47.47,45.79,"1,800","108,200",-5.1
12/08/2024,47.27,"2,425,900",46.82,47.37,46.43,"2,000",800,0.1
09/08/2024,46.33,"1,342,500",47.02,47.07,46.08,"5,100","31,800",-1.3
08/08/2024,46.33,"2,819,800",45.44,47.66,45.00,"220,000","46,800",8.1
07/08/2024,45.44,"1,264,300",45.34,45.74,44.85,"4,400",0,0.2
06/08/2024,45.34,"1,926,400",45.44,45.64,42.73,400,"33,300",-1.5
05/08/2024,44.90,"1,413,600",47.22,47.22,44.90,"1,300","68,600",-3.2
02/08/2024,48.26,"2,422,400",46.43,48.31,45.79,"5,000","170,400",-7.8
01/08/2024,48.41,"5,277,200",48.60,49.00,45.89,"41,200","84,600",-2.1
31/07/2024,49.29,"2,280,900",50.38,50.58,49.10,"23,900",0,1.2
30/07/2024,50.28,"2,284,100",50.18,50.97,49.39,"159,800",500,8.1
29/07/2024,49.89,"2,469,600",49.49,50.38,49.29,"159,800",500,8.1
26/07/2024,49.25,"1,714,100",48.50,49.69,48.50,0,"2,600",-0.1
25/07/2024,48.50,"1,879,200",49.59,50.08,48.50,400,"11,500",-0.6
24/07/2024,50.18,"3,053,700",48.31,50.18,47.66,0,"4,300",-0.2
23/07/2024,49.39,"2,752,900",50.38,50.38,48.50,"2,600",0,0.1
22/07/2024,50.38,"3,488,900",49.39,50.38,47.42,"34,000","5,400",1.4
19/07/2024,49.89,"2,077,600",50.38,50.68,49.29,"20,800","60,500",-2.0
