Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,10.10,"3,400",10.10,10.10,10.10,0,0,0
20/03/2025,8.80,100,8.80,8.80,8.80,0,0,0
19/03/2025,10.10,0,10.10,10.10,10.10,0,0,0
18/03/2025,10.10,0,10.10,10.10,10.10,0,0,0
17/03/2025,10.10,100,10.10,10.10,10.10,0,0,0
14/03/2025,11.70,"5,300",11.70,11.70,11.70,0,0,0
13/03/2025,13.70,100,13.70,13.70,13.70,0,0,0
12/03/2025,12,100,12,12,12,0,0,0
11/03/2025,10.60,"2,800",10.60,10.60,10.60,0,0,0
10/03/2025,10.40,"1,000",10.40,10.40,10.40,0,0,0
07/03/2025,12,100,12,12,12,0,0,0
06/03/2025,10.60,100,10.60,10.60,10.60,0,0,0
05/03/2025,10.40,0,10.40,10.40,10.40,0,0,0
04/03/2025,10.40,0,10.40,10.40,10.40,0,0,0
03/03/2025,10.40,0,10.40,10.40,10.40,0,0,0
28/02/2025,10.40,300,10.40,10.40,10.40,0,0,0
27/02/2025,9.10,100,9.10,9.10,9.10,0,0,0
26/02/2025,10.40,0,10.40,10.40,10.40,0,0,0
25/02/2025,10.40,0,10.40,10.40,10.40,0,0,0
24/02/2025,10.40,100,10.40,10.40,10.40,0,0,0
21/02/2025,12,0,12,12,12,0,0,0
20/02/2025,12,"2,300",12,12,12,0,0,0
19/02/2025,11.20,800,11.20,11.20,11.20,0,0,0
18/02/2025,9.80,100,9.80,9.80,9.80,0,0,0
17/02/2025,11.20,200,11.20,11.20,11.20,0,0,0
14/02/2025,10.70,0,10.70,10.70,10.70,0,0,0
13/02/2025,10.70,300,10.70,10.70,10.70,0,0,0
12/02/2025,10.50,100,10.50,10.50,10.50,0,0,0
11/02/2025,10.60,300,9.70,10.60,9.70,0,0,0
10/02/2025,11,2,11,11,11,0,0,0
07/02/2025,11,0,11,11,11,0,0,0
06/02/2025,11,"3,600",10.40,11,10.40,0,0,0
05/02/2025,10.30,100,10.30,10.30,10.30,0,0,0
04/02/2025,11.90,0,11.90,11.90,11.90,0,0,0
03/02/2025,11.90,100,11.90,11.90,11.90,0,0,0
24/01/2025,12.90,100,12.90,12.90,12.90,0,0,0
23/01/2025,11.30,2,11.30,11.30,11.30,0,0,0
22/01/2025,11.30,0,11.30,11.30,11.30,0,0,0
21/01/2025,11.30,100,11.30,11.30,11.30,0,0,0
20/01/2025,13,700,13,13,13,0,0,0
17/01/2025,14.50,100,14.50,14.50,14.50,0,0,0
16/01/2025,14,0,14,14,14,0,0,0
15/01/2025,14,0,14,14,14,0,0,0
14/01/2025,14,100,14,14,14,0,0,0
13/01/2025,13.10,0,13.10,13.10,13.10,0,0,0
10/01/2025,13.10,0,13.10,13.10,13.10,0,0,0
09/01/2025,13.10,0,13.10,13.10,13.10,0,0,0
08/01/2025,13.10,0,13.10,13.10,13.10,0,0,0
07/01/2025,13.10,0,13.10,13.10,13.10,0,0,0
06/01/2025,13.10,0,13.10,13.10,13.10,0,0,0
03/01/2025,13.10,0,13.10,13.10,13.10,0,0,0
02/01/2025,13.10,0,13.10,13.10,13.10,0,0,0
31/12/2024,13.10,200,13.10,13.10,13.10,0,0,0
30/12/2024,13.10,0,13.10,13.10,13.10,0,0,0
27/12/2024,13.10,0,13.10,13.10,13.10,0,0,0
26/12/2024,13.10,0,13.10,13.10,13.10,0,0,0
25/12/2024,13.10,0,13.10,13.10,13.10,0,0,0
24/12/2024,13,"1,000",13.10,13.10,13,0,0,0
23/12/2024,13.10,100,13.10,13.10,13.10,0,0,0
20/12/2024,13.30,0,13.30,13.30,13.30,0,0,0
19/12/2024,13.30,0,13.30,13.30,13.30,0,0,0
18/12/2024,13.30,0,13.30,13.30,13.30,0,0,0
17/12/2024,13.30,0,13.30,13.30,13.30,0,0,0
16/12/2024,13.30,0,13.30,13.30,13.30,0,0,0
13/12/2024,13.30,0,13.30,13.30,13.30,0,0,0
12/12/2024,13.30,0,13.30,13.30,13.30,0,0,0
11/12/2024,13.30,0,13.30,13.30,13.30,0,0,0
10/12/2024,13.30,0,13.30,13.30,13.30,0,0,0
09/12/2024,13.30,0,13.30,13.30,13.30,0,0,0
06/12/2024,13.30,0,13.30,13.30,13.30,0,0,0
05/12/2024,12,600,15.90,15.90,12,0,0,0
04/12/2024,13.90,0,13.90,13.90,13.90,0,0,0
03/12/2024,13.90,0,13.90,13.90,13.90,0,0,0
02/12/2024,13.90,0,13.90,13.90,13.90,0,0,0
29/11/2024,13.90,100,13.90,13.90,13.90,0,0,0
28/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
27/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
26/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
25/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
22/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
21/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
20/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
19/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
18/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
15/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
14/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
13/11/2024,13.20,50,13.20,13.20,13.20,0,0,0
12/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
11/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
08/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
07/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
06/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
05/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
04/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
01/11/2024,13.20,0,13.20,13.20,13.20,0,0,0
31/10/2024,13.20,0,13.20,13.20,13.20,0,0,0
30/10/2024,13.20,0,13.20,13.20,13.20,0,0,0
29/10/2024,13.20,147,13.20,13.20,13.20,0,0,0
28/10/2024,11.50,0,11.50,11.50,11.50,0,0,0
25/10/2024,11.50,0,11.50,11.50,11.50,0,0,0
24/10/2024,11.50,0,11.50,11.50,11.50,0,0,0
23/10/2024,11.50,"2,000",11.50,11.50,11.50,0,0,0
22/10/2024,11.50,0,11.50,11.50,11.50,0,0,0
21/10/2024,11.50,0,11.50,11.50,11.50,0,0,0
18/10/2024,11.50,0,11.50,11.50,11.50,0,0,0
17/10/2024,11.50,0,11.50,11.50,11.50,0,0,0
16/10/2024,11.50,0,11.50,11.50,11.50,0,0,0
15/10/2024,11.50,100,11.50,11.50,11.50,0,0,0
14/10/2024,11.50,0,11.50,11.50,11.50,0,0,0
