Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,5.90,0,5.90,5.90,5.90,0,0,0
20/03/2025,5.90,0,5.90,5.90,5.90,0,0,0
19/03/2025,5.90,0,5.90,5.90,5.90,0,0,0
18/03/2025,5.90,0,5.90,5.90,5.90,0,0,0
17/03/2025,5.90,100,5.90,5.90,5.90,0,0,0
14/03/2025,5.80,"27,200",6,6,5.80,0,0,0
13/03/2025,6.30,100,6.30,6.30,6.30,0,0,0
12/03/2025,5.40,500,5.80,5.80,5.20,0,0,0
11/03/2025,5.90,0,5.90,5.90,5.90,0,0,0
10/03/2025,5.90,100,5.90,5.90,5.90,0,0,0
07/03/2025,5.50,"1,600",5.30,5.90,5.30,0,0,0
06/03/2025,5.80,0,5.80,5.80,5.80,0,0,0
05/03/2025,5.80,0,5.80,5.80,5.80,0,0,0
04/03/2025,5.80,0,5.80,5.80,5.80,0,0,0
03/03/2025,5.80,0,5.80,5.80,5.80,0,0,0
28/02/2025,5.80,"119,600",5.80,5.80,5.60,0,0,0
27/02/2025,5.90,"62,000",5.90,5.90,5.90,0,0,0
26/02/2025,5.90,0,5.90,5.90,5.90,0,0,0
25/02/2025,5.90,0,5.90,5.90,5.90,0,0,0
24/02/2025,5.90,0,5.90,5.90,5.90,0,0,0
21/02/2025,5.90,400,6,6,5.90,0,0,0
20/02/2025,5.80,0,5.80,5.80,5.80,0,0,0
19/02/2025,5.80,0,5.80,5.80,5.80,0,0,0
18/02/2025,5.80,300,5.80,5.80,5.80,0,0,0
17/02/2025,6,100,6,6,6,0,0,0
14/02/2025,5.90,"3,000",5.90,5.90,5.90,0,0,0
13/02/2025,5.90,0,5.90,5.90,5.90,0,0,0
12/02/2025,5.90,0,5.90,5.90,5.90,0,0,0
11/02/2025,5.90,0,5.90,5.90,5.90,0,0,0
10/02/2025,5.90,100,5.90,5.90,5.90,0,0,0
07/02/2025,5.80,"62,500",5.80,5.90,5.80,0,0,0
06/02/2025,6,"4,300",5.80,6,5.60,0,0,0
05/02/2025,6,0,6,6,6,0,0,0
