Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,13.10,"3,900",13.10,13.10,13.10,0,0,0
20/03/2025,13.10,"2,500",13.10,13.10,13.10,0,0,0
19/03/2025,13.10,300,13.20,13.20,13.10,0,0,0
18/03/2025,13.10,0,13.10,13.10,13.10,0,0,0
17/03/2025,13.10,0,13.10,13.10,13.10,0,0,0
14/03/2025,13.10,0,13.10,13.10,13.10,0,0,0
13/03/2025,13.10,0,13.10,13.10,13.10,0,0,0
12/03/2025,12.80,"2,300",13.30,13.30,12.80,0,0,0
11/03/2025,13.30,"4,900",12.70,13.30,12.70,0,0,0
10/03/2025,13,0,13,13,13,0,0,0
07/03/2025,13,600,13,13,13,0,0,0
06/03/2025,13,"1,100",13.10,13.10,13,0,0,0
05/03/2025,13.10,200,12.80,13.10,12.80,0,0,0
04/03/2025,13.30,"5,100",12.50,13.30,12.50,0,0,0
03/03/2025,13.30,100,13.30,13.30,13.30,0,0,0
28/02/2025,13.20,"2,800",13.20,13.20,13.20,0,0,0
27/02/2025,13.20,0,13.20,13.20,13.20,0,0,0
26/02/2025,13.20,900,13.50,13.50,13.20,0,0,0
25/02/2025,13,"4,600",12.80,13,12.80,0,0,0
24/02/2025,14,0,14,14,14,0,0,0
21/02/2025,14,0,14,14,14,0,0,0
20/02/2025,14,0,14,14,14,0,0,0
19/02/2025,14,100,14,14,14,0,0,0
18/02/2025,14,200,14,14,14,0,0,0
17/02/2025,12.60,"1,000",12.60,12.60,12.60,0,0,0
14/02/2025,12.90,0,12.90,12.90,12.90,0,0,0
13/02/2025,12.90,0,12.90,12.90,12.90,0,0,0
12/02/2025,12.60,"1,807",13.10,13.10,12.60,0,0,0
11/02/2025,13.10,"1,700",13.10,13.10,13.10,0,0,0
10/02/2025,13.20,"5,600",13,13.20,13,0,0,0
07/02/2025,13,"2,800",13,13,13,0,0,0
06/02/2025,13,200,13,13,13,0,0,0
05/02/2025,13,0,13,13,13,0,0,0
04/02/2025,13,0,13,13,13,0,0,0
03/02/2025,13,"2,400",13.90,13.90,13,0,0,0
24/01/2025,13.50,0,13.50,13.50,13.50,0,0,0
23/01/2025,13.50,100,13.50,13.50,13.50,0,0,0
