Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,6.14,"114,600",6.10,6.16,6.10,0,0,0
20/03/2025,6.13,"93,900",6.15,6.17,6.09,0,"9,400",-0.1
19/03/2025,6.15,"247,600",6.22,6.32,6.09,0,"25,800",-0.2
18/03/2025,6.34,"92,400",6.41,6.43,6.30,0,520,-0.0
17/03/2025,6.41,"422,700",6.29,6.49,6.29,"20,800",0,0.1
14/03/2025,6.28,"67,700",6.30,6.33,6.25,0,0,0
13/03/2025,6.30,"85,300",6.29,6.34,6.25,0,0,0
12/03/2025,6.28,"111,100",6.27,6.31,6.23,0,0,0
11/03/2025,6.27,"101,700",6.24,6.29,6.21,0,0,0
10/03/2025,6.29,"105,600",6.29,6.35,6.25,0,"3,600",-0.0
07/03/2025,6.29,"147,200",6.27,6.32,6.25,0,667,-0.0
06/03/2025,6.28,"135,700",6.30,6.35,6.25,0,0,0
05/03/2025,6.30,"251,900",6.39,6.49,6.26,0,"10,400",-0.1
04/03/2025,6.38,"312,500",6.35,6.47,6.25,0,0,0
03/03/2025,6.35,"458,800",6.33,6.40,6.18,0,"3,800",-0.0
28/02/2025,6.26,"621,400",6.01,6.38,6.01,"4,000",0,0.0
27/02/2025,5.98,"122,400",6.02,6.05,5.98,0,"1,700",-0.0
26/02/2025,6.02,"169,100",6.08,6.12,5.99,0,"2,300",-0.0
25/02/2025,6.12,"150,900",6.14,6.20,6.08,0,0,0
24/02/2025,6.14,"206,200",6.09,6.20,6.03,"1,300",400,0.0
21/02/2025,6.09,"169,400",6.08,6.17,6.03,0,"1,100",-0.0
20/02/2025,6.09,"250,200",5.98,6.09,5.97,0,0,0
19/02/2025,5.94,"178,200",5.91,5.98,5.90,"3,700",0,0.0
18/02/2025,5.91,"161,500",5.91,5.92,5.85,0,0,0
17/02/2025,5.91,"139,000",5.92,5.94,5.90,0,0,0
14/02/2025,5.92,"114,600",5.84,5.97,5.84,0,"1,900",-0.0
13/02/2025,5.94,"79,300",5.96,5.97,5.88,0,"4,600",-0.0
12/02/2025,5.96,"96,100",5.98,5.98,5.85,0,"1,100",-0.0
11/02/2025,5.90,"103,400",5.93,5.94,5.84,0,"1,800",-0.0
10/02/2025,5.93,"73,700",5.96,5.97,5.88,0,700,-0.0
07/02/2025,5.96,"77,200",5.90,5.99,5.82,0,0,0
06/02/2025,5.89,"199,600",5.88,5.90,5.85,0,0,0
05/02/2025,5.88,"83,600",5.88,5.89,5.85,0,0,0
04/02/2025,5.87,"78,100",5.89,5.89,5.85,0,0,0
03/02/2025,5.86,"133,700",5.87,5.89,5.85,0,0,0
24/01/2025,5.90,"71,200",5.85,5.99,5.84,0,600,-0.0
23/01/2025,5.90,"160,000",5.91,5.94,5.84,0,0,0
22/01/2025,5.90,"99,800",5.95,5.99,5.90,0,0,0
21/01/2025,5.94,"152,500",5.99,6.02,5.90,0,0,0
20/01/2025,5.99,"129,200",6.02,6.03,5.99,0,0,0
17/01/2025,6.03,"384,900",6.04,6.06,5.95,"17,300",0,0.1
16/01/2025,6.02,"87,200",5.97,6.03,5.97,"1,100",0,0.0
15/01/2025,5.97,"123,100",5.97,5.99,5.92,0,0,0
14/01/2025,5.97,"82,400",5.96,6.01,5.93,0,0,0
13/01/2025,5.93,"128,800",5.93,6,5.89,"2,500",0,0.0
10/01/2025,5.92,"81,000",5.95,6,5.90,0,0,0
09/01/2025,5.95,"105,200",5.96,6.04,5.81,500,0,0.0
08/01/2025,5.95,"63,300",5.95,5.96,5.88,0,0,0
07/01/2025,5.90,"173,400",5.94,5.94,5.80,0,500,-0.0
06/01/2025,5.90,"131,200",5.99,5.99,5.90,0,0,0
03/01/2025,5.94,"106,800",5.96,6.03,5.90,0,0,0
02/01/2025,5.99,"147,100",5.96,6,5.88,0,100,-0.0
31/12/2024,5.93,"128,100",6.01,6.03,5.91,0,0,0
30/12/2024,6,"85,400",6,6.09,5.91,0,"1,000",-0.0
27/12/2024,6,"277,900",6.10,6.15,5.98,0,"8,700",-0.1
26/12/2024,6.08,"195,900",6.15,6.18,6.07,0,700,-0.0
25/12/2024,6.15,"944,200",6.14,6.24,6.12,"1,100",0,0.0
24/12/2024,6.12,"608,500",6.24,6.35,6.12,0,"7,900",-0.0
23/12/2024,6.20,"323,800",6,6.20,5.99,"9,400",200,0.1
20/12/2024,5.99,"132,500",6.04,6.09,5.98,0,0,0
19/12/2024,5.98,"91,700",5.99,6.06,5.96,0,500,-0.0
18/12/2024,6.03,"148,200",6.03,6.09,5.92,0,100,-0.0
17/12/2024,6.03,"118,800",6.02,6.10,5.98,"1,900",0,0.0
16/12/2024,6.02,"99,800",6,6.03,5.97,200,0,0.0
13/12/2024,6,"149,700",6.03,6.10,6,0,0,0
12/12/2024,6.10,"190,300",6.18,6.22,6.02,0,"1,800",-0.0
11/12/2024,6.14,"143,800",6.24,6.28,6.09,0,"12,900",-0.1
10/12/2024,6.22,"962,300",6.05,6.45,6,"6,600","20,600",-0.1
09/12/2024,6.05,"267,400",6.10,6.10,6,"1,800","1,900",-0.0
06/12/2024,6.09,"450,000",5.84,6.10,5.76,0,"4,900",-0.0
05/12/2024,5.83,"99,800",5.88,5.90,5.77,0,"1,600",-0.0
04/12/2024,5.86,"429,600",5.95,6.05,5.86,0,0,0
03/12/2024,5.94,"617,000",5.74,5.94,5.74,"25,100",0,0.1
02/12/2024,5.75,"283,200",5.76,5.84,5.38,"1,600","4,300",-0.0
29/11/2024,5.75,"67,400",5.75,5.78,5.73,0,100,-0.0
28/11/2024,5.77,"195,600",5.75,5.81,5.73,0,200,-0.0
27/11/2024,5.75,"83,700",5.81,5.84,5.73,0,"9,400",-0.1
26/11/2024,5.83,"95,100",5.89,5.89,5.81,0,"3,300",-0.0
25/11/2024,5.89,"180,600",5.74,5.92,5.73,"4,600",400,0.0
22/11/2024,5.80,"135,100",5.78,5.80,5.70,0,500,-0.0
21/11/2024,5.79,"320,600",5.77,5.80,5.69,0,500,-0.0
20/11/2024,5.75,"238,600",5.75,5.80,5.70,0,200,-0.0
19/11/2024,5.75,"274,900",5.84,5.87,5.75,0,0,0
18/11/2024,5.87,"111,200",6.02,6.03,5.83,0,"4,100",-0.0
15/11/2024,6.03,"393,100",5.84,6.11,5.82,"3,100",0,0.0
14/11/2024,5.84,"118,000",5.85,5.85,5.79,0,0,0
13/11/2024,5.83,"197,100",5.77,5.84,5.74,0,0,0
12/11/2024,5.80,"162,400",5.81,5.81,5.72,700,"1,700",-0.0
11/11/2024,5.80,"179,500",5.73,5.88,5.71,500,300,0.0
08/11/2024,5.79,"483,600",5.79,5.81,5.71,0,100,-0.0
07/11/2024,5.79,"298,300",5.81,5.91,5.78,0,0,0
06/11/2024,5.83,"485,800",6.08,6.14,5.81,0,0,0
05/11/2024,6,"1,195,800",6.40,6.55,5.94,"4,800","3,500",0.0
04/11/2024,6.38,"907,100",6.18,6.48,6.18,"9,200",0,0.1
01/11/2024,6.18,"1,241,400",5.98,6.20,5.94,"2,900","10,000",-0.0
31/10/2024,5.94,"823,600",5.75,6.01,5.73,"3,500","2,900",0.0
30/10/2024,5.72,"87,100",5.68,5.73,5.68,0,0,0
29/10/2024,5.68,"144,600",5.63,5.70,5.60,"4,200",0,0.0
28/10/2024,5.62,"123,600",5.59,5.68,5.59,0,0,0
25/10/2024,5.60,"134,200",5.60,5.63,5.58,0,100,-0.0
24/10/2024,5.60,"164,700",5.64,5.66,5.58,0,600,-0.0
23/10/2024,5.61,"68,600",5.64,5.69,5.60,0,"3,100",-0.0
22/10/2024,5.65,"270,000",5.75,5.80,5.61,0,"1,100",-0.0
21/10/2024,5.74,"143,900",5.80,5.85,5.72,0,0,0
18/10/2024,5.82,"571,200",5.71,5.95,5.70,"7,300",0,0.0
17/10/2024,5.70,"128,800",5.73,5.75,5.66,0,0,0
