Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,5.55,"397,200",5.55,5.66,5.54,"12,600","5,600",0
20/03/2025,5.55,"596,300",5.65,5.72,5.55,0,0,0
19/03/2025,5.65,"711,500",5.80,5.85,5.65,"29,000",0,0.2
18/03/2025,5.80,"600,400",5.83,5.96,5.80,"19,500",0,0.1
17/03/2025,5.80,"467,200",5.90,5.97,5.77,0,"5,400",-0.0
14/03/2025,5.89,"1,322,800",5.92,5.92,5.63,"2,000","8,300",-0.0
13/03/2025,5.91,"703,600",5.96,6.25,5.75,"5,600","16,100",-0.1
12/03/2025,5.95,"702,100",6.03,6.10,5.95,0,0,0
11/03/2025,6,"1,135,000",5.82,6.10,5.82,"13,700",0,0.1
10/03/2025,6.10,"1,204,500",6.29,6.29,5.85,"1,500","11,600",-0.1
07/03/2025,6.19,"1,271,500",6.16,6.26,6,"7,100","5,000",0.0
06/03/2025,6.15,"1,310,000",6.10,6.33,6.02,"7,500","36,600",-0.2
05/03/2025,6.05,"720,500",6.20,6.28,6.01,"11,600","16,300",-0.0
04/03/2025,6.20,"1,886,900",6.03,6.43,5.86,"5,000","10,600",-0.0
03/03/2025,6.04,"1,826,600",6.20,6.30,5.95,"15,200","14,200",0.0
28/02/2025,6.20,"2,358,200",6.35,6.35,6.13,"16,300","16,300",-0.0
27/02/2025,5.95,"2,941,800",5.84,5.95,5.70,"7,600","20,000",-0.1
26/02/2025,5.57,"2,495,900",5.39,5.57,5.31,"4,200","11,800",-0.0
25/02/2025,5.21,"3,473,200",5.21,5.21,4.99,"16,300","34,100",-0.1
24/02/2025,4.87,"734,600",4.87,4.87,4.87,0,0,0
21/02/2025,4.56,"447,000",4.56,4.59,4.51,"11,800",0,0.1
20/02/2025,4.56,"229,400",4.60,4.60,4.54,0,"11,800",-0.1
19/02/2025,4.51,"319,700",4.41,4.52,4.41,"13,600",0,0.1
18/02/2025,4.44,"278,400",4.41,4.45,4.40,"20,000",0,0.1
17/02/2025,4.41,"195,300",4.48,4.48,4.38,0,"3,100",-0.0
14/02/2025,4.41,"200,200",4.31,4.45,4.31,"11,800",0,0.1
13/02/2025,4.31,"202,100",4.38,4.39,4.30,"30,000",0,0.1
12/02/2025,4.39,"112,800",4.39,4.42,4.38,500,0,0.0
11/02/2025,4.40,"222,700",4.44,4.45,4.38,0,0,0
10/02/2025,4.40,"230,400",4.53,4.53,4.40,0,"11,100",-0.1
07/02/2025,4.52,"525,500",4.40,4.59,4.39,"2,600","9,800",-0.0
06/02/2025,4.39,"129,600",4.43,4.43,4.37,0,0,0
05/02/2025,4.43,"190,300",4.48,4.48,4.34,0,0,0
04/02/2025,4.40,"319,300",4.21,4.47,4.21,"20,900",0,0.1
03/02/2025,4.31,"619,000",4.06,4.34,4.06,0,"30,400",-0.1
24/01/2025,4.36,"188,700",4.37,4.39,4.36,0,0,0
23/01/2025,4.36,"105,200",4.36,4.38,4.35,0,800,-0.0
22/01/2025,4.37,"143,700",4.38,4.39,4.33,0,0,0
21/01/2025,4.38,"223,900",4.42,4.42,4.35,0,0,0
