Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,42.30,200,42.30,42.30,42.30,0,200,0
20/03/2025,42,500,42.50,42.50,42,0,0,0
19/03/2025,42.10,0,42.10,42.10,42.10,0,0,0
18/03/2025,42.10,700,42.10,42.10,42.10,0,0,0
17/03/2025,42.10,0,42.10,42.10,42.10,0,0,0
14/03/2025,42.10,0,42.10,42.10,42.10,0,0,0
13/03/2025,42.10,300,42.10,42.10,42.10,0,0,0
12/03/2025,42.10,0,42.10,42.10,42.10,0,0,0
11/03/2025,42.10,"2,900",42.10,42.10,42.10,100,0,0.0
10/03/2025,42.10,100,42.10,42.10,42.10,0,0,0
07/03/2025,42.95,500,41.20,42.95,41.20,0,0,0
06/03/2025,42.95,300,41.20,42.95,41.20,0,0,0
05/03/2025,43,300,43,43,43,0,0,0
04/03/2025,43,600,41.40,43,41.40,0,0,0
03/03/2025,43,"2,000",43.50,43.50,43,0,0,0
28/02/2025,43.50,600,43.50,43.50,43.50,0,0,0
27/02/2025,43.50,0,43.50,43.50,43.50,0,0,0
26/02/2025,43.50,0,43.50,43.50,43.50,0,0,0
25/02/2025,43.50,900,43.50,43.50,42.30,0,0,0
24/02/2025,42.20,100,42.20,42.20,42.20,0,0,0
21/02/2025,42.20,"1,700",42.50,42.50,42.10,0,0,0
20/02/2025,42.50,"1,700",42.50,42.50,42.50,0,0,0
19/02/2025,42.50,700,42.50,42.50,42.50,0,1,-0.0
18/02/2025,43,"2,100",43,43,43,0,90,-0.0
17/02/2025,42.30,"6,900",42.40,42.40,42,0,"6,387",-0.3
14/02/2025,42.40,100,42.40,42.40,42.40,0,0,0
13/02/2025,42.50,100,42.50,42.50,42.50,0,0,0
12/02/2025,42.50,200,42.50,42.50,42.50,0,0,0
11/02/2025,42.45,200,46.45,46.45,42.45,100,0,0.0
10/02/2025,44.05,100,44.05,44.05,44.05,0,0,0
07/02/2025,47.10,"1,600",46.40,47.45,46.40,0,0,0
06/02/2025,44.70,"4,000",42.40,44.95,40.50,0,0,0
05/02/2025,42.40,"12,300",42.30,42.40,42.30,0,0,0
04/02/2025,42.45,"1,000",42.40,42.45,42.40,0,0,0
03/02/2025,42.50,0,42.50,42.50,42.50,0,0,0
24/01/2025,42.50,0,42.50,42.50,42.50,0,0,0
23/01/2025,42.50,"7,500",40.45,42.50,40.40,0,"7,000",-0.3
22/01/2025,42,0,42,42,42,0,0,0
21/01/2025,42,0,42,42,42,0,0,0
20/01/2025,42,"2,400",42,42,42,0,400,-0.0
