Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,14,"11,800",14.95,14.95,14,"1,000","1,300",0
20/03/2025,14.50,"9,600",14.50,15.20,14.50,0,"1,300",-0.0
19/03/2025,15.30,"77,100",14.70,15.65,14.70,200,"6,300",-0.1
18/03/2025,14.65,"26,800",13.70,14.65,13.70,600,"3,200",-0.0
17/03/2025,13.70,"24,000",13.95,14.30,13.70,500,"2,400",-0.0
14/03/2025,13.95,"51,900",14.30,14.50,13.95,500,100,0.0
13/03/2025,15,"23,200",15.80,15.80,14.50,500,0,0.0
12/03/2025,14.90,"27,800",14.50,15,14.50,0,"5,100",-0.1
11/03/2025,14.50,"37,200",15,15,14.50,0,"7,000",-0.1
10/03/2025,15,"11,200",15.40,15.40,14.95,0,0,0
07/03/2025,15.40,"25,200",15.60,15.60,14.55,"1,000","1,500",-0.0
06/03/2025,15.55,"23,600",15.70,15.95,15.55,700,0,0.0
05/03/2025,16,"15,200",15.85,16.20,15.80,900,100,0.0
04/03/2025,15.80,"19,300",16,16.05,15.55,600,900,-0.0
03/03/2025,16.20,"23,600",15.85,16.45,15.85,0,100,-0.0
28/02/2025,15.85,"61,400",16.20,16.20,15.70,700,0,0.0
27/02/2025,16.45,"87,300",16.60,17.15,16,"5,100","1,810",0.1
26/02/2025,16.60,"47,900",17.70,17.70,16.60,500,"2,100",-0.0
25/02/2025,16.75,"36,900",18,18,16.65,700,200,0.0
24/02/2025,17.15,"126,600",16,17.15,15.25,"7,800",0,0.1
21/02/2025,16.05,"50,000",16.35,16.35,15.70,"2,300","1,600",0.0
20/02/2025,16.05,"57,800",16.70,16.70,15.50,"3,500","8,100",-0.1
19/02/2025,16.50,"135,700",16.90,16.90,15,0,"3,500",-0.1
18/02/2025,15.80,"21,400",15.80,15.80,15.80,0,100,-0.0
17/02/2025,14.80,"43,300",13.85,14.80,13.85,"1,200",100,0.0
14/02/2025,13.85,"64,700",14.40,14.40,13.75,"2,400",0,0.0
13/02/2025,14.10,"18,000",13.90,14.10,13.60,0,200,-0.0
12/02/2025,14,"75,600",14.50,14.50,13.90,0,"23,300",-0.3
11/02/2025,14.10,"75,200",14.50,14.70,13.50,0,"1,000",-0.0
10/02/2025,14.20,"182,400",13.80,14.35,12.65,"6,200","3,100",0.0
07/02/2025,13.45,"70,700",13.35,13.45,13.30,0,900,-0.0
