Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.10,"1,400",12,12.20,11.90,0,0,0
20/03/2025,12.30,0,12.30,12.30,12.30,0,0,0
19/03/2025,12.30,200,12.30,12.30,12.30,0,0,0
18/03/2025,12.30,100,12.30,12.30,12.30,0,0,0
17/03/2025,12.30,0,12.30,12.30,12.30,0,0,0
14/03/2025,12.30,0,12.30,12.30,12.30,0,0,0
13/03/2025,12.30,200,12.30,12.30,12.30,0,0,0
12/03/2025,12.30,100,12.30,12.30,12.30,0,0,0
11/03/2025,12.30,200,12.30,12.30,12.30,0,0,0
10/03/2025,12.40,800,12.40,12.40,12.40,0,0,0
07/03/2025,12.40,100,12.40,12.40,12.40,0,0,0
06/03/2025,11,"2,700",10,11,10,0,0,0
05/03/2025,9.60,0,9.60,9.60,9.60,0,0,0
04/03/2025,9.60,0,9.60,9.60,9.60,0,0,0
03/03/2025,9.60,100,9.60,9.60,9.60,0,0,0
28/02/2025,9.50,0,9.50,9.50,9.50,0,0,0
27/02/2025,9.50,0,9.50,9.50,9.50,0,0,0
26/02/2025,9.50,"2,400",9.60,9.60,9.50,0,0,0
25/02/2025,9.50,100,9.50,9.50,9.50,0,0,0
24/02/2025,9.50,"2,100",9.50,9.50,9.50,0,0,0
21/02/2025,10.80,0,10.80,10.80,10.80,0,0,0
20/02/2025,10.80,0,10.80,10.80,10.80,0,0,0
19/02/2025,10.80,100,10.80,10.80,10.80,0,0,0
18/02/2025,9.90,0,9.90,9.90,9.90,0,0,0
17/02/2025,9.90,0,9.90,9.90,9.90,0,0,0
14/02/2025,9.50,400,9.50,11.10,9.50,0,0,0
13/02/2025,9.70,0,9.70,9.70,9.70,0,0,0
12/02/2025,9.70,100,9.70,9.70,9.70,0,0,0
11/02/2025,11,"3,300",9.70,11,9.60,0,0,0
10/02/2025,9.60,100,9.60,9.60,9.60,0,0,0
07/02/2025,9.60,"3,000",9.60,9.60,9.60,0,0,0
06/02/2025,10.90,100,10.90,10.90,10.90,0,0,0
05/02/2025,10.90,283,10.40,10.90,10.40,0,0,0
04/02/2025,9.50,"5,000",9.50,9.50,9.50,0,0,0
03/02/2025,9.50,100,9.50,9.50,9.50,0,0,0
24/01/2025,9.50,0,9.50,9.50,9.50,0,0,0
23/01/2025,9.50,0,9.50,9.50,9.50,0,0,0
22/01/2025,9.50,0,9.50,9.50,9.50,0,0,0
21/01/2025,9.50,0,9.50,9.50,9.50,0,0,0
20/01/2025,9.40,"2,500",11,11,9.40,0,0,0
17/01/2025,9.40,"1,300",10,10.90,9.40,0,0,0
16/01/2025,9.50,"1,000",9.50,9.50,9.50,0,0,0
15/01/2025,9.50,300,9.90,9.90,9.50,0,0,0
14/01/2025,10.10,101,10.10,10.10,10.10,0,0,0
13/01/2025,9.40,102,9.40,9.40,9.40,0,0,0
10/01/2025,9.40,400,9.40,9.40,9.40,0,0,0
09/01/2025,9.40,0,9.40,9.40,9.40,0,0,0
08/01/2025,9.40,"1,716",9.40,9.40,9.40,0,0,0
07/01/2025,11,0,11,11,11,0,0,0
06/01/2025,11,200,11,11,11,0,0,0
03/01/2025,10.60,0,10.60,10.60,10.60,0,0,0
02/01/2025,10.60,65,10.60,10.60,10.60,0,0,0
31/12/2024,10.60,100,10.60,10.60,10.60,0,0,0
30/12/2024,9.50,200,9.10,9.50,9.10,0,0,0
27/12/2024,9.80,100,9.80,9.80,9.80,0,0,0
26/12/2024,8.60,0,8.60,8.60,8.60,0,0,0
25/12/2024,8.60,440,8.60,8.60,8.60,0,0,0
24/12/2024,7.50,100,7.50,7.50,7.50,0,0,0
23/12/2024,8.40,0,8.40,8.40,8.40,0,0,0
20/12/2024,8.40,100,8.40,8.40,8.40,0,0,0
19/12/2024,8.60,300,9.60,9.60,8.60,0,0,0
18/12/2024,8.50,200,8.50,8.50,8.50,0,0,0
17/12/2024,7.40,37,7.40,7.40,7.40,0,0,0
16/12/2024,7.40,100,7.40,7.40,7.40,0,0,0
13/12/2024,8.60,581,8.60,8.60,8.60,0,0,0
12/12/2024,8.20,"4,560",7.30,8.20,7.30,0,0,0
11/12/2024,7.20,"1,200",7.20,7.20,7.20,0,0,0
10/12/2024,6.30,200,6.30,6.30,6.30,0,0,0
09/12/2024,10.50,0,10.50,10.50,10.50,0,0,0
06/12/2024,10.50,0,10.50,10.50,10.50,0,0,0
05/12/2024,10.50,0,10.50,10.50,10.50,0,0,0
