Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,21.50,"429,200",21.10,21.60,20.20,0,"69,600",-1.5
20/03/2025,21.50,"972,000",21,21.90,19.60,"4,000",0,0.1
19/03/2025,21.70,"1,077,500",21,22.40,21,400,"16,300",-0.3
18/03/2025,22.30,"859,100",22.30,22.50,22.20,0,"61,500",-1.4
17/03/2025,22.30,"1,000,500",22.50,22.60,22.20,0,"7,200",0
14/03/2025,22.50,"867,900",22.70,22.80,22.40,"16,350","24,700",-0.2
13/03/2025,22.70,"943,900",23,23.30,22.70,700,400,0.0
12/03/2025,22.90,"1,074,700",22.70,23,22.60,"2,600","34,140",-0.7
11/03/2025,22.60,"1,224,200",22.80,22.80,22.40,"83,500",900,1.9
10/03/2025,22.70,"1,022,000",23,23.10,22.70,600,"5,300",-0.1
07/03/2025,23,"715,000",23.20,23.30,23,0,"7,000",-0.2
06/03/2025,23,"999,800",22.90,23.10,22.80,"1,000","3,100",-0.0
05/03/2025,22.90,"1,042,500",20.90,23.30,20.90,500,"34,600",-0.8
04/03/2025,23.20,"1,319,500",23.40,23.50,23.10,"10,000","15,600",-0.1
03/03/2025,23.40,"1,466,600",23.50,23.80,23.30,0,"125,290",-3.0
28/02/2025,23.50,"1,451,000",23.30,23.80,23.20,"34,100","1,600",0.8
27/02/2025,23.30,"911,700",23.30,23.40,23.10,"17,500","4,800",0.3
26/02/2025,23.30,"1,070,600",23.20,23.50,23,"83,300","12,400",1.7
25/02/2025,23.20,"1,109,700",23.10,23.20,22.90,"56,400","27,200",0.7
24/02/2025,23,"1,594,200",23.40,23.40,22.80,"1,100","214,800",-4.9
21/02/2025,23.40,"737,700",23.50,23.50,23.20,"4,000","5,700",-0.0
20/02/2025,23.30,"1,029,500",23.40,23.70,23.30,"40,850","66,700",-0.6
19/02/2025,23.30,"1,125,900",20.90,23.40,20.90,"86,900","110,203",-0.5
18/02/2025,23.20,"957,100",23.10,23.50,23.10,400,"3,600",-0.1
17/02/2025,23.30,"999,500",23.30,23.60,23.20,500,"143,300",-3.3
14/02/2025,23.30,"1,665,100",23.10,23.90,23.10,"94,400","57,800",0.9
13/02/2025,23.10,"1,348,900",22.70,23.20,22.60,"5,000",200,0.1
12/02/2025,22.70,"913,399",23.20,23.20,22.60,"4,800","38,852",-0.8
11/02/2025,23,"2,263,816",20.90,23.40,20.90,"70,900","9,216",1.4
10/02/2025,23.20,"1,686,328",23.90,23.90,23.20,"8,400","69,800",-1.4
07/02/2025,23.90,"717,406",24.10,24.20,23.80,"2,800",900,0.0
06/02/2025,24,"961,369",24.20,24.30,23.90,300,"38,400",-0.9
05/02/2025,24.10,"945,325",24.30,24.40,24.10,"82,700","1,520",2.0
04/02/2025,24.30,"733,269",24.20,24.40,24.10,"53,600",402,1.3
03/02/2025,24.20,"668,000",24,24.20,23.60,"33,900","35,600",0
24/01/2025,24,"752,596",23.80,24.10,23.70,"10,100",150,0.2
23/01/2025,23.80,"722,922",23.60,23.90,23.60,"4,900",100,0.1
22/01/2025,23.60,"1,098,399",23.50,23.80,23.30,"24,800","31,108",-0.1
21/01/2025,23.30,"736,501",23.40,23.70,23.30,"150,000","5,600",3.4
20/01/2025,23.40,"728,371",23.60,23.70,23.30,"20,200","1,500",0.4
17/01/2025,23.60,"604,965",23.30,23.60,23.20,"16,000","2,100",0.3
16/01/2025,23.20,"680,988",21,23.60,21,"10,100","3,391",0.2
15/01/2025,23.30,"896,018",23.20,23.40,22.90,"2,100","50,688",-1.1
14/01/2025,23.10,"585,621",23.10,23.30,23,"1,000","6,380",-0.1
13/01/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  4%,,,,,,,,
13/01/2025,23.20,"1,665,166",23.70,23.70,22.40,"3,700","116,300",-2.6
10/01/2025,23.30,"1,617,981",23.79,23.89,23.30,500,"116,100",-2.8
09/01/2025,23.79,"658,953",23.89,24.09,23.79,0,"171,300",-4.2
08/01/2025,23.89,"969,087",23.79,23.99,23.59,"34,240","115,000",-2.0
07/01/2025,23.79,"2,079,413",23.69,24.09,23.50,"11,900","155,900",-3.5
06/01/2025,23.79,"3,976,583",24.97,25.17,23.50,"87,100","186,100",-2.6
03/01/2025,24.97,"2,234,318",25.07,25.66,24.97,"13,300","66,900",-1.4
02/01/2025,24.97,"685,430",24.77,25.17,24.77,"18,200","19,100",-0.0
31/12/2024,24.77,"1,318,381",24.77,24.97,24.68,"157,600","359,540",-5.1
30/12/2024,24.77,"1,863,260",25.17,25.27,24.77,"35,601","100,700",-1.7
27/12/2024,25.17,"2,536,348",25.56,25.86,25.17,0,"244,500",-6.4
26/12/2024,25.56,"1,398,665",25.86,25.86,25.56,"10,000","168,262",-4.1
25/12/2024,25.86,"2,452,626",25.95,26.25,25.56,"20,000","306,300",-7.5
24/12/2024,26.05,"2,805,252",25.86,26.05,25.56,"200,300","22,400",4.7
23/12/2024,25.86,"2,072,666",25.86,26.15,25.66,"5,000","4,244",0.0
20/12/2024,25.86,"3,585,919",25.56,26.45,25.46,"137,700","30,800",2.8
19/12/2024,25.56,"5,131,646",24.97,25.95,24.68,"193,500","57,972",3.4
18/12/2024,25.17,"1,305,070",24.87,25.46,24.68,0,"123,400",-3.2
17/12/2024,25.17,"1,562,130",24.87,25.17,24.68,"29,700","116,100",-2.2
16/12/2024,24.68,"865,843",24.87,25.07,24.68,300,"34,400",-0.9
13/12/2024,24.87,"1,548,179",25.27,25.36,24.77,0,"176,660",-4.5
12/12/2024,25.27,"4,097,518",24.77,25.66,24.68,"169,600","95,500",1.9
11/12/2024,24.77,"1,738,173",24.87,25.07,24.58,"40,100","49,300",-0.2
10/12/2024,24.87,"1,904,509",24.77,25.27,24.77,"102,600","141,800",-1.0
09/12/2024,25.17,"1,658,398",24.77,25.36,24.77,"33,400","9,800",0.6
06/12/2024,25.17,"3,706,761",24.97,25.56,24.77,"177,700","20,189",4.0
05/12/2024,24.77,"2,094,805",24.18,24.87,23.89,"39,600","70,154",-0.7
04/12/2024,24.09,"1,652,920",24.58,24.58,24.09,"30,000","16,600",0.3
03/12/2024,24.48,"1,198,494",24.77,24.87,24.48,300,"19,000",-0.5
02/12/2024,24.68,"1,594,361",24.68,24.87,24.48,"760,302","797,602",-0.9
29/11/2024,24.58,"3,216,213",24.28,25.07,24.28,"51,600","127,200",-1.9
28/11/2024,24.38,"1,178,294",24.38,24.77,24.28,"2,500","45,300",-1.1
27/11/2024,24.38,"989,535",24.48,24.48,24.18,"20,700","14,317",0.2
26/11/2024,24.48,"1,691,689",23.89,24.68,23.89,"140,100","222,304",-2.0
25/11/2024,24.48,"1,849,839",23.99,24.58,23.99,"90,900","14,700",1.9
22/11/2024,23.89,"1,327,273",24.28,24.58,23.79,"10,100","19,500",-0.2
21/11/2024,24.09,"851,058",23.79,24.09,23.69,"51,000","26,800",0.6
20/11/2024,23.79,"1,960,734",23.59,24.18,23.01,"23,200","102,500",-1.9
19/11/2024,23.59,"1,664,218",24.28,24.48,23.59,"2,036","59,500",-1.4
18/11/2024,24.38,"1,802,996",24.58,24.58,23.89,"62,800","176,768",-2.8
15/11/2024,24.58,"2,194,412",24.97,24.97,24.28,"94,500","19,300",1.9
14/11/2024,25.07,"2,954,966",24.87,25.36,24.77,"117,400","88,900",0.7
13/11/2024,24.87,"3,154,550",25.17,25.17,24.48,"228,078","60,612",4.2
12/11/2024,25.17,"1,743,570",25.46,25.66,24.97,"34,000","128,200",-2.4
11/11/2024,25.46,"3,784,655",24.97,25.86,24.97,"57,400","16,100",1.1
08/11/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  4%,,,,,,,,
08/11/2024,24.97,"3,155,473",24.77,25.27,24.68,"83,600","4,100",2.0
07/11/2024,24.68,"1,630,307",24.97,25.06,24.48,"55,000","38,800",0.4
06/11/2024,24.77,"3,576,250",24.19,25.06,24.19,0,0,0
05/11/2024,24.19,"987,313",24.10,24.39,23.90,"2,500","153,874",-3.8
04/11/2024,24.10,"1,070,651",24.00,24.29,23.61,"74,000","9,500",1.6
