Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,18.20,"139,700",18.05,18.30,18.05,"11,300","25,800",0
20/03/2025,18.15,"819,300",18.55,18.55,18,"21,000","26,100",-0.1
19/03/2025,18.55,"327,700",18.85,18.85,18.55,0,"19,874",-0.4
18/03/2025,18.85,"296,300",18.75,19,18.75,"5,800","59,784",-1.0
17/03/2025,18.70,"380,600",18.70,18.90,18.60,"75,500","3,747",1.3
14/03/2025,18.70,"602,200",19.05,19.05,18.70,"7,700","46,344",-0.7
13/03/2025,19,"413,500",19.35,19.40,19,"81,000","10,000",1.4
12/03/2025,19.20,"356,700",19.30,19.50,19.15,"38,000","10,000",0.5
11/03/2025,19.20,"512,500",19,19.40,18.90,"43,500","51,620",-0.2
10/03/2025,19.05,"838,200",19.25,19.25,18.60,"16,000","116,845",-1.9
07/03/2025,19.20,"537,100",19.50,19.50,19.05,"11,300","48,949",-0.7
06/03/2025,19.40,"336,700",19.70,19.70,19.20,"91,000","56,901",0.7
05/03/2025,19.40,"2,204,300",18.95,19.55,18.60,"6,912,900","811,610",113.2
04/03/2025,18.95,"675,600",19.10,19.30,18.85,"45,650","252,000",-3.9
03/03/2025,19.05,"466,500",18.95,19.30,18.80,"65,400","47,284",0.3
28/02/2025,18.95,"985,900",19.10,19.20,18.75,"62,600","121,700",-1.1
27/02/2025,19.10,"1,801,700",19.75,19.80,19.05,"413,200","459,847",-0.9
26/02/2025,19.75,"554,800",19.80,20.10,19.75,"20,800","21,500",-0.0
25/02/2025,19.80,"1,649,600",20.35,20.35,19.70,"53,070","314,000",-5.2
24/02/2025,20.35,"1,633,800",21.40,21.40,20.25,"61,500","405,201",-7.1
21/02/2025,21.30,"681,200",21.60,21.60,20.95,"76,300","64,700",0.2
20/02/2025,21.30,"2,584,300",20.10,21.30,20,"334,200","83,887",5.1
19/02/2025,19.95,"568,800",19.80,20.20,19.80,"3,300","1,655",0.0
18/02/2025,19.80,"355,300",19.70,20.25,19.70,"5,100","25,700",-0.4
17/02/2025,19.75,"692,800",19.70,20.30,19.70,"44,400","31,900",0.2
14/02/2025,19.70,"476,700",19.75,19.90,19.70,"78,000","16,969",1.2
13/02/2025,19.75,"1,096,100",19.70,20.15,19.70,"592,070","500,095",1.8
12/02/2025,19.70,"423,000",19.80,19.85,19.70,"55,700","10,800",0.9
11/02/2025,19.75,"367,100",19.80,19.90,19.70,"55,600","43,383",0.2
10/02/2025,19.85,"1,533,200",19.65,20.40,19.65,"171,200","413,921",-4.9
07/02/2025,19.70,"473,900",19.80,19.80,19.70,"141,100","40,688",2.0
06/02/2025,19.80,"627,900",19.70,19.85,19.70,"265,500","90,229",3.5
05/02/2025,19.70,"444,600",19.75,19.75,19.70,"179,700","37,250",2.8
04/02/2025,19.75,"700,800",19.70,20.20,19.60,"184,800","16,800",3.3
03/02/2025,19.95,"920,300",20,20,19.55,"438,400","81,521",7.0
24/01/2025,20.10,"1,150,100",19.70,20.45,19.60,"435,700","27,896",8.0
23/01/2025,19.70,"824,300",19.70,19.85,19.65,"543,935","17,861",10.4
22/01/2025,19.70,"917,400",19.75,19.75,19.65,"629,200","48,800",11.4
21/01/2025,19.70,"816,200",19.70,19.95,19.65,"555,581","50,800",10.0
20/01/2025,19.70,"564,400",19.75,20.05,19.65,"127,700","38,350",1.8
17/01/2025,19.70,"1,282,700",19.55,20.25,19.50,"190,700","119,905",1.4
16/01/2025,19.70,"355,100",19.80,19.85,19.60,"119,900","43,000",1.5
15/01/2025,19.75,"560,200",19.55,19.80,19.55,"289,600","40,200",4.9
14/01/2025,19.70,"442,300",19.90,19.95,19.45,"90,300","56,700",0.7
13/01/2025,19.75,"957,600",19.20,19.90,19.05,"303,700","64,000",4.7
10/01/2025,19.20,"1,179,300",18.95,19.90,18.90,"325,500","134,300",3.7
09/01/2025,18.95,"389,200",18.90,19.15,18.90,"195,200","55,600",2.6
08/01/2025,19.10,"515,900",18.75,19.15,18.70,"185,800","17,124",3.2
07/01/2025,18.95,"848,600",19,19.10,18.80,"411,201","35,200",7.1
06/01/2025,18.95,"659,700",19.15,19.15,18.85,"343,700","25,800",6.0
03/01/2025,19.15,"715,800",18.80,19.30,18.80,"302,584","59,600",4.6
02/01/2025,19,"957,100",18.35,19.35,18.25,"345,400","113,700",4.3
31/12/2024,18.35,"398,800",18.45,18.55,18.25,"180,600","9,570",3.1
30/12/2024,18.45,"974,900",18.25,18.75,18.25,"295,001","2,200",5.4
27/12/2024,18.25,"1,598,000",17.75,18.60,17.55,"475,600","40,186",8.0
26/12/2024,17.55,"215,600",17.70,17.80,17.50,"12,062","54,365",-0.7
25/12/2024,17.60,"360,800",17.60,17.85,17.40,"6,100","84,695",-1.4
24/12/2024,17.55,"203,000",17.65,17.65,17.40,200,"27,342",-0.5
23/12/2024,17.50,"322,500",17.20,17.60,17.20,"2,200","38,930",-0.6
20/12/2024,17.25,"234,800",17.25,17.35,17.20,"4,200","10,800",-0.1
19/12/2024,17.25,"437,100",17.50,17.50,17.25,"11,000","51,700",-0.7
18/12/2024,17.65,"330,200",17.55,17.65,17.55,"58,400","156,141",-1.7
17/12/2024,17.65,"147,400",17.70,17.70,17.55,"29,500","3,500",0.5
16/12/2024,17.55,"202,200",17.55,17.75,17.55,"4,904","33,970",-0.5
13/12/2024,17.70,"215,700",17.80,17.80,17.55,"39,200","40,782",-0.0
12/12/2024,17.90,"267,600",17.90,17.90,17.60,0,"61,733",-1.1
11/12/2024,17.90,"371,800",17.80,17.95,17.50,"15,300","81,294",-1.2
10/12/2024,17.85,"284,500",17.80,18,17.80,"13,800","6,800",0.1
09/12/2024,17.85,"393,300",18,18,17.85,"62,900","26,471",0.7
06/12/2024,18,"305,200",18.15,18.15,17.95,"30,060","28,900",0.0
"05/12/2024: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u:  100/15 (Volume + 15%, Ratio=0.15)",,,,,,,,
05/12/2024,18,"540,400",18,18.10,17.70,"31,900","48,630",-0.3
04/12/2024,17.70,"328,600",17.91,17.91,17.70,"9,600","15,810",-0.1
03/12/2024,17.91,"617,600",17.74,18.04,17.57,"77,143","49,615",0.6
02/12/2024,17.74,"462,300",17.87,17.87,17.61,"1,638,254","1,735,361",-2.0
29/11/2024,17.74,"328,900",17.57,17.74,17.48,"30,300","13,829",0.3
28/11/2024,17.57,"110,700",17.57,17.65,17.48,"1,100","1,000",0.0
27/11/2024,17.48,"506,300",17.70,17.70,17.39,"66,500","13,514",1.1
26/11/2024,17.70,"418,100",17.30,17.83,17.30,"64,800","9,331",1.1
25/11/2024,17.30,"254,000",17.39,17.52,17.30,"12,600","3,400",0.2
22/11/2024,17.39,"274,400",17.30,17.61,17.30,"2,500","86,000",-1.7
21/11/2024,17.48,"212,400",17.39,17.65,17.39,"5,900","21,930",-0.3
20/11/2024,17.39,"251,300",17.30,17.70,17.17,"2,600","18,400",-0.3
19/11/2024,17.30,"439,000",17.70,17.70,17.30,"42,900","60,900",-0.4
18/11/2024,17.52,"509,300",17.48,17.65,17.22,"53,400","5,861",1.0
15/11/2024,17.48,"525,000",17.83,18.04,17.43,"27,674","24,400",0.1
14/11/2024,18,"1,078,300",18.78,18.87,17.57,"17,300","128,600",-2.4
13/11/2024,18.83,"644,500",19.04,19.04,18.70,"24,300","114,300",-1.9
12/11/2024,18.96,"519,500",19.13,19.48,18.96,"18,200","80,800",-1.4
11/11/2024,19.17,"948,700",19.61,19.74,19.09,"27,800","84,900",-1.3
08/11/2024,19.48,"871,100",19.57,19.70,19.26,"231,300","21,300",4.7
07/11/2024,19.39,"1,034,300",19.43,20.13,19.30,"134,600","21,500",2.5
06/11/2024,19.22,"456,400",18.96,19.39,18.91,0,0,0
05/11/2024,18.91,"165,400",18.96,19,18.87,"1,800","5,600",-0.1
04/11/2024,18.96,"301,000",18.91,19.04,18.78,"1,000","69,500",-1.5
01/11/2024,18.87,"584,100",19.13,19.17,18.83,"2,000","79,100",-1.7
31/10/2024,19.13,"341,800",19.17,19.26,19,"24,000","20,000",0.1
30/10/2024,19.35,"945,200",18.83,19.52,18.83,"419,700","1,800",9.2
29/10/2024,18.87,"203,600",18.83,18.91,18.74,"46,100","12,800",0.7
28/10/2024,18.78,"122,000",18.78,18.87,18.70,"1,600","1,000",0.0
25/10/2024,18.78,"259,100",18.91,19.13,18.78,"61,000","68,900",-0.2
24/10/2024,19.04,"329,200",19.09,19.09,18.87,"77,000","9,700",1.5
23/10/2024,19.13,"249,000",19.04,19.13,18.83,"5,000","18,100",-0.3
22/10/2024,19.09,"332,400",19.30,19.30,18.87,"70,000","40,300",0.7
21/10/2024,19.30,"713,900",19.22,19.52,18.91,"304,300","16,500",6.4
18/10/2024,19.09,"387,700",18.78,19.17,18.78,"120,000",500,2.6
17/10/2024,18.91,"366,400",18.78,18.96,18.65,"35,100","2,800",0.7
16/10/2024,18.78,"446,400",19,19.09,18.70,"60,000","63,300",-0.1
15/10/2024,19,"663,700",19.35,19.74,18.83,"2,600","63,000",-1.3
14/10/2024,19.39,"660,300",19.78,19.78,19.26,"129,700","83,900",1.0
11/10/2024,19.70,"451,800",19.65,19.83,19.52,"104,600","25,000",1.8
10/10/2024,19.65,"404,400",19.74,19.91,19.65,"119,500","13,000",2.4
09/10/2024,19.74,"1,143,700",19.22,19.74,19.09,"160,700","6,700",3.4
08/10/2024,19.13,"384,400",18.78,19.13,18.61,"90,600","3,000",1.9
07/10/2024,18.78,"240,700",19.04,19.04,18.70,"3,000","5,500",-0.1
04/10/2024,18.87,"296,200",19.13,19.13,18.87,"81,200","44,300",0.8
03/10/2024,19.22,"567,400",19.52,19.52,18.83,"150,000","11,300",3.1
02/10/2024,19.30,"648,600",19.13,19.43,18.96,"210,100","25,400",4.1
01/10/2024,19.09,"637,400",18.78,19.09,18.78,"201,100","69,500",2.9
30/09/2024,18.78,"360,400",18.87,19.09,18.65,"62,000","24,800",0.8
27/09/2024,18.87,"451,800",19,19.17,18.83,"149,000","26,500",2.7
26/09/2024,18.96,"523,900",19.09,19.13,18.74,"16,400","30,000",-0.3
25/09/2024,18.96,"834,400",18.74,19.30,18.74,"145,500","220,400",-1.7
24/09/2024,18.87,"312,600",18.78,18.87,18.61,"3,100","2,200",0.0
