Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,11.10,200,11.10,11.10,11.10,0,0,0
20/03/2025,11.20,0,11.20,11.20,11.20,0,0,0
19/03/2025,11.20,0,11.20,11.20,11.20,0,0,0
18/03/2025,11.20,0,11.20,11.20,11.20,0,0,0
17/03/2025,11.20,0,11.20,11.20,11.20,0,0,0
14/03/2025,11.20,0,11.20,11.20,11.20,0,0,0
13/03/2025,11.20,0,11.20,11.20,11.20,0,0,0
12/03/2025,11.20,100,11.20,11.20,11.20,0,0,0
11/03/2025,11.20,0,11.20,11.20,11.20,0,0,0
10/03/2025,11.20,0,11.20,11.20,11.20,0,0,0
07/03/2025,11.20,800,10.30,11.20,10.20,0,0,0
06/03/2025,10.20,600,10.30,10.30,10.20,0,0,0
05/03/2025,10.60,800,10.60,10.60,10.60,600,0,0.0
04/03/2025,10.60,200,10.60,10.60,10.60,0,0,0
03/03/2025,10.10,0,10.10,10.10,10.10,0,0,0
28/02/2025,10.10,0,10.10,10.10,10.10,0,0,0
27/02/2025,10.10,0,10.10,10.10,10.10,0,0,0
26/02/2025,10.10,0,10.10,10.10,10.10,0,0,0
25/02/2025,10.10,0,10.10,10.10,10.10,0,0,0
24/02/2025,10.10,"1,200",10.30,10.30,10,200,0,0.0
21/02/2025,10.40,100,10.40,10.40,10.40,100,0,0.0
20/02/2025,10.50,700,10.50,10.50,10.50,0,0,0
19/02/2025,10.50,"5,600",10.50,10.60,10.50,500,0,0.0
18/02/2025,10.60,100,10.60,10.60,10.60,100,0,0.0
17/02/2025,10.50,"13,600",10.50,10.50,10.50,900,0,0.0
14/02/2025,10.40,0,10.40,10.40,10.40,0,0,0
13/02/2025,10.40,100,10.40,10.40,10.40,0,0,0
12/02/2025,10.50,0,10.50,10.50,10.50,0,0,0
11/02/2025,10.50,"7,800",10.40,10.50,10.40,0,0,0
10/02/2025,10.50,"6,200",10.50,10.50,10.50,0,0,0
07/02/2025,10.40,0,10.40,10.40,10.40,0,0,0
06/02/2025,10.40,35,10.40,10.40,10.40,0,0,0
05/02/2025,10.40,0,10.40,10.40,10.40,0,0,0
04/02/2025,10.40,0,10.40,10.40,10.40,0,0,0
03/02/2025,10.40,100,10.40,10.40,10.40,0,100,0
24/01/2025,11.40,"3,403",11.40,11.50,11.40,"2,000",0,0.0
23/01/2025,11.20,100,11.20,11.20,11.20,0,0,0
22/01/2025,10.30,0,10.30,10.30,10.30,0,0,0
21/01/2025,10.30,0,10.30,10.30,10.30,0,0,0
20/01/2025,10.30,0,10.30,10.30,10.30,0,0,0
17/01/2025,10.30,0,10.30,10.30,10.30,0,0,0
16/01/2025,10.30,0,10.30,10.30,10.30,0,0,0
15/01/2025,10.30,"4,900",10.40,10.40,10.30,0,0,0
14/01/2025,10.40,"1,100",10.40,10.40,10.40,0,0,0
13/01/2025,10.40,"1,900",10.40,10.40,10.40,0,0,0
10/01/2025,10.40,0,10.40,10.40,10.40,0,0,0
09/01/2025,10.40,"3,100",10.40,10.40,10.40,0,0,0
08/01/2025,10.40,1,10.40,10.40,10.40,0,0,0
07/01/2025,10.40,23,10.40,10.40,10.40,0,0,0
06/01/2025,10.40,4,10.40,10.40,10.40,0,0,0
03/01/2025,10.40,0,10.40,10.40,10.40,0,0,0
02/01/2025,10.40,200,10.40,10.40,10.40,0,0,0
31/12/2024,10.40,5,10.40,10.40,10.40,0,0,0
30/12/2024,10.40,18,10.40,10.40,10.40,0,0,0
27/12/2024,10.40,1,10.40,10.40,10.40,0,0,0
26/12/2024,10.40,"1,000",10.40,10.40,10.40,0,0,0
25/12/2024,11.20,103,11.20,11.20,11.20,0,0,0
24/12/2024,10.40,0,10.40,10.40,10.40,0,0,0
23/12/2024,10.40,0,10.40,10.40,10.40,0,0,0
20/12/2024,10.40,0,10.40,10.40,10.40,0,0,0
19/12/2024,10.40,0,10.40,10.40,10.40,0,0,0
18/12/2024,10.40,0,10.40,10.40,10.40,0,0,0
17/12/2024,10.40,0,10.40,10.40,10.40,0,0,0
16/12/2024,10.40,1,10.40,10.40,10.40,0,0,0
13/12/2024,10.40,"1,316",10.40,10.40,10.40,0,0,0
12/12/2024,10.40,"1,020",10.40,10.40,10.40,0,0,0
11/12/2024,10.80,0,10.80,10.80,10.80,0,0,0
10/12/2024,10.80,0,10.80,10.80,10.80,0,0,0
09/12/2024,10.80,0,10.80,10.80,10.80,0,0,0
06/12/2024,10.80,0,10.80,10.80,10.80,0,0,0
05/12/2024,10.80,0,10.80,10.80,10.80,0,0,0
04/12/2024,10.80,0,10.80,10.80,10.80,0,0,0
03/12/2024,10.80,0,10.80,10.80,10.80,0,0,0
02/12/2024,10.80,0,10.80,10.80,10.80,0,0,0
29/11/2024,10.80,0,10.80,10.80,10.80,0,0,0
28/11/2024,10.80,0,10.80,10.80,10.80,0,0,0
27/11/2024,10.80,0,10.80,10.80,10.80,0,0,0
26/11/2024,10.80,201,10.80,10.80,10.80,0,0,0
25/11/2024,10.20,0,10.20,10.20,10.20,0,0,0
22/11/2024,10.20,500,10.20,10.20,10.20,100,0,0.0
21/11/2024,11,0,11,11,11,0,0,0
20/11/2024,11,100,11,11,11,0,0,0
19/11/2024,11,937,11,11,11,0,0,0
18/11/2024,10.10,0,10.10,10.10,10.10,0,0,0
15/11/2024,10.10,200,10.30,10.30,10.10,0,100,-0.0
14/11/2024,10.10,"1,800",10.20,10.20,10.10,0,0,0
13/11/2024,10.90,0,10.90,10.90,10.90,0,0,0
12/11/2024,10.90,0,10.90,10.90,10.90,0,0,0
11/11/2024,10.90,"3,200",10.20,10.90,10.10,0,0,0
08/11/2024,10.50,0,10.50,10.50,10.50,0,0,0
07/11/2024,10.50,0,10.50,10.50,10.50,0,0,0
06/11/2024,10.50,108,10.50,10.50,10.50,0,0,0
05/11/2024,11.10,0,11.10,11.10,11.10,0,0,0
04/11/2024,11.10,0,11.10,11.10,11.10,0,0,0
01/11/2024,11.10,0,11.10,11.10,11.10,0,0,0
31/10/2024,11.10,0,11.10,11.10,11.10,0,0,0
30/10/2024,11.10,100,11.10,11.10,11.10,0,0,0
