Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,6.50,"14,000",6.40,6.50,6.30,0,0,0
20/03/2025,6.60,"6,900",6.60,6.60,6.40,0,0,0
19/03/2025,6.60,"13,000",6.50,6.60,6.40,0,0,0
18/03/2025,6.40,"61,000",6.60,6.70,6.40,0,0,0
17/03/2025,6.60,"38,700",6.90,6.90,6.40,0,0,0
14/03/2025,6.90,"20,200",6.90,6.90,6.70,0,0,0
13/03/2025,6.90,"28,400",6.80,6.90,6.70,0,0,0
12/03/2025,6.60,"34,200",6.70,6.70,6.50,0,0,0
11/03/2025,6.40,"56,300",6.60,6.60,6.40,0,0,0
10/03/2025,6.60,"24,600",6.90,6.90,6.60,0,0,0
07/03/2025,6.70,"31,700",6.90,6.90,6.70,0,0,0
06/03/2025,6.90,"131,900",7.20,7.70,6.80,0,0,0
05/03/2025,6.90,"191,800",7.70,7.80,6.80,0,0,0
04/03/2025,6.90,"145,700",7.60,7.90,6.90,400,0,0.0
03/03/2025,7.20,"159,900",7.90,7.90,7,100,0,0.0
28/02/2025,7.30,"132,300",7.80,8.20,7.10,0,0,0
27/02/2025,7.50,"191,600",7.80,8.70,7.20,0,0,0
26/02/2025,7.40,"158,900",7.30,8.30,7.30,0,0,0
25/02/2025,7.20,"73,000",7.50,7.50,7.20,100,"10,500",-0.1
24/02/2025,7.60,"62,900",7.90,8.20,7.60,0,"11,100",-0.1
21/02/2025,8,"137,600",8.30,9.50,7.70,0,0,0
20/02/2025,7.90,"162,100",8,9.20,7.80,0,"4,100",-0.0
19/02/2025,8,"195,800",7.90,8.30,7.50,100,0,0.0
18/02/2025,8,"338,400",7.40,8.20,7.40,0,0,0
17/02/2025,7.30,"326,900",7.20,7.50,6.90,"26,100",0,0.2
14/02/2025,7.10,"33,200",7.30,7.30,7,0,0,0
13/02/2025,7.20,"151,502",6.80,7.20,6.80,0,0,0
12/02/2025,6.80,"41,334",7,7,6.70,0,0,0
11/02/2025,7,"61,400",6.80,7.10,6.80,0,0,0
10/02/2025,7.10,"59,000",7.30,7.40,6.90,0,0,0
07/02/2025,7.30,"241,000",7.10,8.10,7,0,0,0
06/02/2025,7.10,"50,700",7.20,7.20,7,0,0,0
05/02/2025,7.20,"49,700",7.30,7.30,7,0,0,0
04/02/2025,7.20,"86,401",7.50,7.60,7,500,0,0.0
24/01/2025,7.50,"28,200",7.80,8,7.40,0,0,0
23/01/2025,7.70,"63,203",7,7.70,6.70,0,0,0
22/01/2025,7.40,"13,500",7.70,7.90,7.30,0,0,0
21/01/2025,8,"78,600",8,8.50,7.50,0,0,0
20/01/2025,7.90,"42,106",8.70,8.70,7.70,0,0,0
17/01/2025,8.70,"82,200",8.60,8.90,8.30,0,0,0
16/01/2025,8.80,"139,134",9,11,8.50,0,0,0
15/01/2025,8.90,"88,652",9,10.40,8.60,0,0,0
14/01/2025,8.60,"78,406",9,9.80,8.60,0,0,0
13/01/2025,8.50,"17,114",8.80,8.90,8.50,0,0,0
10/01/2025,8.70,"46,100",8.80,8.90,8.50,0,0,0
09/01/2025,8.70,"36,100",8.70,8.90,8.30,0,0,0
08/01/2025,8.70,"125,700",8.50,8.90,8.50,0,0,0
07/01/2025,8.60,"37,200",9.10,9.10,8.60,0,0,0
06/01/2025,8.80,"34,400",9.10,9.10,8.50,0,0,0
03/01/2025,8.80,"43,431",8.50,9.10,7.80,0,0,0
02/01/2025,8.90,"4,110",8.80,9,8.50,0,0,0
31/12/2024,9,"23,602",9.10,9.30,8.70,0,0,0
30/12/2024,8.70,"20,900",9,9.10,8.70,0,0,0
27/12/2024,8.70,"54,750",9.30,9.40,8.50,0,0,0
26/12/2024,8.90,"72,905",9.10,9.70,8.90,0,100,-0.0
25/12/2024,9,"52,501",8.60,9.10,8.60,0,0,0
24/12/2024,9,"31,651",9.20,9.20,8.50,0,0,0
23/12/2024,9.20,"53,100",9,9.20,8.60,0,0,0
20/12/2024,9,"46,908",8.80,9,8.70,0,0,0
19/12/2024,8.80,"50,000",8.60,8.80,8.60,0,0,0
18/12/2024,8.80,"40,309",8.90,8.90,8.50,0,0,0
