Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.75,"380,000",12.85,12.85,12.60,"6,600","102,100",0
20/03/2025,12.80,"2,130,000",12.95,13.20,12.75,"69,000","59,200",0.1
19/03/2025,12.90,"584,600",12.75,12.90,12.70,"3,000","56,200",-0.7
18/03/2025,12.75,"724,600",12.75,12.95,12.65,"69,200","7,100",0.8
17/03/2025,12.75,"210,800",12.70,12.85,12.55,"4,300","38,300",-0.4
14/03/2025,12.75,"470,200",12.40,12.80,12.40,"17,400","9,800",0.1
13/03/2025,12.40,"534,200",12.60,12.60,12.40,"2,600","22,800",-0.3
12/03/2025,12.60,"321,500",12.60,12.65,12.50,"5,100","33,300",-0.4
11/03/2025,12.60,"529,700",12.65,12.65,12.55,0,"6,900",-0.1
10/03/2025,12.65,"343,400",12.65,12.85,12.65,0,"26,200",-0.3
07/03/2025,12.65,"379,500",12.70,12.85,12.60,"52,200","98,400",-0.6
06/03/2025,12.70,"276,100",12.65,12.75,12.65,"68,400","15,300",0.7
05/03/2025,12.65,"311,200",12.75,12.75,12.60,0,"25,700",-0.3
04/03/2025,12.70,"456,900",12.65,12.75,12.65,"37,100","25,400",0.2
03/03/2025,12.65,"564,100",12.75,12.80,12.65,0,"71,200",-0.9
28/02/2025,12.75,"631,100",13.15,13.15,12.70,"27,900","101,700",-0.9
27/02/2025,12.85,"507,600",12.90,12.90,12.75,0,"22,700",-0.3
26/02/2025,12.85,"634,900",13.10,13.10,12.85,"54,700","56,400",-0.0
25/02/2025,13,"567,000",13,13.10,12.90,"53,100","19,100",0.4
24/02/2025,12.95,"614,300",12.85,13.25,12.80,0,"64,000",-0.8
21/02/2025,12.85,"537,900",12.95,12.95,12.80,0,"73,157",-0.9
20/02/2025,12.95,"424,600",12.95,13,12.85,"23,300","14,600",0.1
19/02/2025,12.95,"836,100",12.90,13,12.75,"106,700","82,700",0.3
18/02/2025,12.90,"412,200",13,13,12.85,0,"75,600",-1.0
17/02/2025,12.95,"664,000",13.05,13.05,12.75,"57,200","80,000",-0.3
14/02/2025,12.80,"631,000",12.90,12.90,12.70,"2,600","114,300",-1.4
13/02/2025,12.90,"564,200",12.80,12.90,12.65,"27,900","111,700",-1.1
12/02/2025,12.65,"1,504,600",12.75,12.90,12.65,0,"113,300",-1.4
11/02/2025,13,"1,688,900",13.35,13.40,12.80,"18,500","266,400",-3.3
10/02/2025,13.35,"1,167,900",13.55,13.55,13.25,0,"246,200",-3.3
07/02/2025,13.70,"554,200",13.95,14,13.65,0,"193,500",-2.7
06/02/2025,13.90,"1,163,100",13.45,13.90,13.45,"55,900","175,800",-1.6
05/02/2025,13.40,"461,500",13.65,13.65,13.35,0,"88,500",-1.2
04/02/2025,13.50,"794,800",13.35,13.55,13.35,"6,600","67,600",-0.8
03/02/2025,13.30,"1,067,700",13.70,13.75,13.15,0,"232,500",-3.1
24/01/2025,13.75,"450,300",13.70,13.95,13.60,"6,200","42,500",-0.5
23/01/2025,13.65,"808,200",13.65,13.75,13.55,"4,300","33,469",-0.4
22/01/2025,13.65,"972,400",13.75,13.90,13.60,"175,600","35,314",1.9
21/01/2025,13.75,"1,007,100",13.85,14,13.50,"14,300","69,500",-0.8
20/01/2025,13.90,"1,415,300",13.95,14.40,13.75,"31,300","248,600",-3.1
17/01/2025,13.70,"3,204,000",12.85,13.70,12.75,"237,000","67,700",2.3
16/01/2025,12.85,"291,000",13.10,13.10,12.70,0,"48,900",-0.6
15/01/2025,12.85,"573,700",12.75,13.20,12.60,0,"120,500",-1.6
14/01/2025,12.55,"280,300",12.65,12.70,12.55,0,"13,800",-0.2
13/01/2025,12.65,"581,700",12.85,12.85,12.40,"4,500","70,000",-0.8
10/01/2025,12.85,"928,800",13.20,13.30,12.80,"142,100","7,800",1.7
09/01/2025,13.20,"696,300",13.10,13.75,13.05,"6,200","108,000",-1.4
08/01/2025,13.15,"504,300",13.10,13.20,12.90,"12,100","63,100",-0.7
07/01/2025,13.20,"1,665,900",12.70,13.25,12.70,"293,200","53,000",3.1
06/01/2025,12.65,"1,009,200",12.65,12.90,12.60,"320,100","6,500",4.0
03/01/2025,12.65,"600,100",12.70,12.75,12.50,"75,200","74,600",0.0
02/01/2025,12.55,"730,700",12.80,12.90,12.25,"116,400","112,300",0.0
31/12/2024,12.50,"925,500",12.25,12.70,12.25,"35,100","76,900",-0.5
30/12/2024,12.25,"824,500",12.15,12.35,11.90,"130,600","77,400",0.6
27/12/2024,12.25,"4,536,600",13.20,13.20,12.25,"69,100","330,300",-3.3
26/12/2024,13.15,"1,270,000",13.05,13.15,13,"63,500",0,0.8
25/12/2024,13,"1,809,600",12.85,13.10,12.80,"432,700",0,5.6
24/12/2024,12.75,"1,892,200",12.65,13,12.50,"346,600","60,000",3.7
23/12/2024,12.70,"3,483,500",13.30,13.30,12.35,"25,900","443,300",-5.4
20/12/2024,13.25,"926,300",13.15,13.30,12.95,"52,400","40,300",0.2
19/12/2024,13.05,"1,722,100",12.95,13.30,12.85,"259,200","36,600",2.9
18/12/2024,13.10,"1,072,300",13.45,13.45,13.10,"26,200","137,300",-1.5
17/12/2024,13.35,"2,076,900",12.85,13.65,12.85,"48,500","34,800",0.2
16/12/2024,12.90,"1,515,600",12.80,13.15,12.60,"204,045","47,200",2.0
13/12/2024,12.85,"1,952,900",12.75,12.90,12.75,"151,400","10,100",1.8
12/12/2024,12.95,"893,200",12.90,13.20,12.70,"178,400","11,300",2.2
11/12/2024,12.90,"1,378,400",12.70,13.15,12.70,"361,700","3,600",4.6
10/12/2024,12.80,"2,106,400",13,13.15,12.75,"286,200","86,100",2.6
09/12/2024,12.70,"2,982,400",12,12.70,12,"293,800","60,100",2.9
06/12/2024,11.90,"2,736,100",11.35,12.10,11.35,"308,800","326,400",-0.2
05/12/2024,11.35,"1,106,400",11.30,11.40,11.05,"229,782","5,100",2.5
04/12/2024,11.10,"1,818,500",10.95,11.45,10.85,"284,400","1,100",3.2
03/12/2024,10.90,"1,741,100",10.70,11.15,10.65,"225,200",0,2.5
02/12/2024,10.70,"615,800",10.85,10.95,10.70,"2,000",0,0.0
29/11/2024,10.80,"567,600",10.95,10.95,10.75,"5,700",0,0.1
28/11/2024,10.90,"945,300",10.85,11,10.80,"49,100",800,0.5
27/11/2024,10.85,"1,067,300",10.80,11.05,10.75,"22,500","1,143",0.2
26/11/2024,10.85,"813,400",11,11,10.75,"90,600",0,1.0
25/11/2024,10.95,"2,142,400",10.45,10.95,10.45,"183,700",0,2.0
22/11/2024,10.45,"500,100",10.45,10.50,10.35,"173,000",0,1.8
21/11/2024,10.40,"488,000",10.30,10.45,10.30,"37,900",0,0.4
20/11/2024,10.30,"1,229,700",10.25,10.50,10.20,"59,300",0,0.6
19/11/2024,10.20,"728,000",10.15,10.25,10.10,"44,500",0,0.5
18/11/2024,10.15,"977,500",10.25,10.25,10.10,"54,100",0,0.6
15/11/2024,10.15,"1,262,800",10.20,10.35,10.10,"5,700","5,400",0.0
14/11/2024,10.20,"2,099,000",10.30,10.55,10.20,0,"209,500",-2.2
13/11/2024,10.20,"1,111,000",10.15,10.25,10.05,"23,800","134,515",-1.1
12/11/2024,10.15,"920,800",10.20,10.40,10.10,900,"71,200",-0.7
11/11/2024,10.15,"1,402,500",10.50,10.60,10.15,"1,800","1,000",0.0
08/11/2024,10.40,"2,325,800",10.25,10.60,10.15,"348,700","1,900",3.6
07/11/2024,10.15,"648,800",10.20,10.30,10.15,"30,800",0,0.3
06/11/2024,10.20,"575,100",10.30,10.30,10.05,0,0,0
05/11/2024,10.15,"577,300",10.25,10.30,10.15,0,0,0
04/11/2024,10.15,"1,137,200",9.99,10.30,9.90,"42,000","38,300",0.0
01/11/2024,9.90,"406,900",9.81,10,9.81,0,"4,100",-0.0
31/10/2024,10,"327,000",10.05,10.10,9.97,0,"14,900",-0.1
30/10/2024,10.05,"1,027,900",10.15,10.20,9.98,0,"13,700",-0.1
29/10/2024,9.94,"155,200",9.95,9.96,9.85,0,"19,400",-0.2
28/10/2024,9.95,"128,600",9.88,9.99,9.79,"7,300","9,000",-0.0
25/10/2024,9.88,"99,800",9.87,9.88,9.81,0,"4,600",-0.0
24/10/2024,9.87,"189,400",9.82,9.98,9.72,"14,200","2,400",0.1
23/10/2024,9.91,"187,600",9.95,9.95,9.82,"4,600","14,300",-0.1
22/10/2024,9.88,"365,500",9.97,10,9.87,"12,100","15,300",-0.0
21/10/2024,10,"106,400",10,10.10,10,"4,000","1,200",0.0
18/10/2024,10.10,"200,500",10.15,10.15,10,"16,700","2,300",0.1
17/10/2024,10.15,"221,700",10.10,10.15,9.96,200,"32,900",-0.3
16/10/2024,10.10,"173,900",10.25,10.25,9.93,0,"32,500",-0.3
15/10/2024,10.10,"418,700",10.15,10.25,10.05,"5,800","45,000",-0.4
14/10/2024,10,"609,800",9.91,10.25,9.90,"42,200","21,100",0.2
11/10/2024,9.91,"183,500",9.96,9.97,9.91,"4,900",0,0.0
10/10/2024,9.91,"500,600",9.79,9.96,9.79,"103,200",0,1.0
09/10/2024,9.71,"259,900",9.55,9.80,9.54,"20,900",500,0.2
08/10/2024,9.55,"180,700",9.70,9.70,9.48,0,"14,100",-0.1
07/10/2024,9.53,"597,200",9.90,9.90,9.41,0,"33,500",-0.3
04/10/2024,9.78,"235,400",9.90,9.90,9.78,0,"71,500",-0.7
03/10/2024,9.90,"351,100",9.96,9.97,9.81,0,"84,700",-0.8
02/10/2024,9.96,"277,500",9.95,10,9.92,"4,000","38,600",-0.3
01/10/2024,9.98,"290,300",9.94,10,9.87,"1,300","12,600",-0.1
30/09/2024,9.93,"417,000",9.95,9.96,9.84,0,"36,800",-0.4
27/09/2024,9.98,"281,100",9.93,10.25,9.93,"1,000","15,100",-0.1
26/09/2024,9.99,"297,400",9.91,10.05,9.91,"15,100",0,0.2
25/09/2024,9.90,"435,500",9.98,10.05,9.80,"88,400","14,000",0.7
24/09/2024,9.90,"238,000",9.92,9.95,9.78,"96,700","17,200",0.8
23/09/2024,9.82,"393,400",9.85,9.94,9.81,0,"39,800",-0.4
20/09/2024,9.90,"368,800",9.99,10.10,9.85,0,"37,100",-0.4
19/09/2024,9.97,"991,000",10,10.30,9.92,0,"64,100",-0.6
18/09/2024,9.97,"579,000",9.97,10.10,9.82,"2,100","19,300",-0.2
17/09/2024,9.98,"609,800",9.90,10,9.70,"13,000","1,600",0.1
16/09/2024,9.78,"2,054,100",10.20,10.20,9.66,"20,200","37,700",-0.2
13/09/2024,10.20,"372,300",10.20,10.25,10.10,"1,600","14,600",-0.1
12/09/2024,10.20,"362,100",10.20,10.25,10.10,0,"5,400",-0.1
11/09/2024,10.10,"455,000",10,10.20,9.95,0,"13,700",-0.1
10/09/2024,10.05,"3,646,400",10.85,10.85,10.05,"2,700","101,600",-1.0
09/09/2024,10.80,"469,200",10.90,11.10,10.80,0,0,0
06/09/2024,10.90,"840,100",11,11.25,10.90,"1,100","78,700",-0.9
05/09/2024,11.05,"1,742,900",10.90,11.35,10.90,"49,500","36,300",0.1
04/09/2024,10.90,"426,200",10.85,10.90,10.70,"12,100","18,500",-0.1
30/08/2024,10.85,"312,600",10.95,10.95,10.75,0,"75,900",-0.8
29/08/2024,10.95,"658,000",11,11.05,10.70,"3,600","38,800",-0.4
28/08/2024,10.80,"328,000",10.80,10.95,10.70,0,"18,100",-0.2
27/08/2024,10.80,"506,100",10.70,10.85,10.65,"23,600","41,200",-0.2
26/08/2024,10.80,"517,000",11,11,10.65,0,"117,800",-1.3
23/08/2024,10.95,"1,184,800",11,11,10.60,"4,000","709,900",-7.6
22/08/2024,10.80,"1,916,700",10.95,11.35,10.65,"25,100","1,103,700",-11.7
21/08/2024,10.90,"794,200",10.80,10.90,10.65,"147,200","199,300",-0.6
20/08/2024,10.80,"926,200",10.80,10.85,10.65,"29,300","563,700",-5.7
19/08/2024,10.85,"1,816,700",10.40,11,10.40,"197,200","502,800",-3.3
16/08/2024,10.50,"806,400",10.25,10.55,10.25,"83,100","239,300",-1.6
15/08/2024,10.30,"579,600",10.25,10.45,10.10,"67,600","59,600",0.1
14/08/2024,10.10,"1,798,600",10.45,10.45,10,"59,900","1,347,700",-13.0
13/08/2024,10.45,"1,184,200",10.50,10.60,10.10,"17,200","664,600",-6.6
12/08/2024,10.55,"569,100",10.50,10.65,10.40,"22,200","401,400",-4.0
09/08/2024,10.50,"466,200",10.45,10.50,10.20,"21,000","168,200",-1.5
08/08/2024,10.45,"906,600",10.25,10.60,10,"38,600","281,500",-2.5
07/08/2024,10.30,"303,600",10.30,10.30,10.05,"17,500","60,700",-0.4
06/08/2024,10.30,"635,700",10.30,10.30,10,"159,000","256,000",-1.0
05/08/2024,10,"1,244,200",10.10,10.40,9.90,"111,100","265,400",-1.6
02/08/2024,10.40,"1,172,300",10.05,10.40,10,"133,400","547,400",-4.2
01/08/2024,10.10,"1,288,500",10.65,10.65,9.99,"43,500","79,800",-0.4
31/07/2024,10.55,"501,400",10.85,10.85,10.45,0,"110,200",-1.2
30/07/2024,10.85,"1,002,700",10.75,11,10.50,"48,200","27,200",0.2
29/07/2024,10.75,"507,700",10.70,10.90,10.60,"48,200","27,200",0.2
26/07/2024,10.80,"904,600",10.90,11,10.55,"12,800","117,100",-1.1
25/07/2024,10.70,"1,518,800",10.70,10.70,10.50,"26,900","13,300",0.1
24/07/2024,10,"554,200",9.70,10.10,9.62,"81,600","109,900",-0.3
23/07/2024,9.80,"890,600",10.20,10.20,9.71,"20,800","66,300",-0.5
22/07/2024,10.20,"1,584,100",10.40,10.40,9.80,"146,200","20,100",1.3
19/07/2024,10.40,"407,400",10.50,10.50,10.30,"33,200","6,500",0.3
18/07/2024,10.50,"914,500",10.55,10.60,10.15,"216,300","85,800",1.3
17/07/2024,10.45,"2,155,700",11.30,11.30,10.45,"88,800","1,000,000",-9.6
16/07/2024,11.20,"918,800",11.65,11.65,11,"89,700","54,800",0.4
15/07/2024,11.50,"695,100",11.30,11.60,11.30,"150,800","20,700",1.5
12/07/2024,11.35,"1,026,000",11.10,11.35,10.80,"168,000","323,500",-1.7
11/07/2024,11.10,"1,193,300",11.75,11.75,10.95,"39,700","729,800",-7.7
10/07/2024,11.40,"697,400",11.20,11.40,11.10,"117,300","80,600",0.4
09/07/2024,11.15,"640,900",11,11.20,10.90,"108,100","97,700",0.1
08/07/2024,11,"518,000",10.70,11.15,10.70,"24,500","144,500",-1.3
05/07/2024,10.95,"375,700",10.90,11,10.75,"9,600","62,600",-0.6
04/07/2024,11,"572,600",10.75,11.20,10.60,"12,600","90,200",-0.9
03/07/2024,10.80,"961,400",10.35,11,10.25,"252,400","9,400",2.6
02/07/2024,10.35,"586,100",10.65,10.65,10.30,"15,400","75,100",-0.6
