Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,9.20,0,9.20,9.20,9.20,0,0,0
20/03/2025,9.20,"2,700",9.20,9.20,9.10,0,"2,300",-0.0
19/03/2025,9.20,"1,400",9.20,9.20,9.10,0,"1,100",-0.0
18/03/2025,9.20,0,9.20,9.20,9.20,0,0,0
17/03/2025,9.20,900,9.20,9.20,9.20,0,0,0
14/03/2025,9.20,"17,300",10,10,9.10,0,"9,900",-0.1
13/03/2025,9.60,200,9.50,9.60,9.50,0,0,0
12/03/2025,9.90,300,9.90,9.90,9.90,0,0,0
11/03/2025,9.40,100,9.40,9.40,9.40,0,0,0
10/03/2025,9.10,"14,800",9.60,9.60,9,0,0,0
07/03/2025,9.20,100,9.20,9.20,9.20,0,0,0
06/03/2025,9.20,"2,900",9.40,9.40,9.20,0,0,0
05/03/2025,9.40,"34,000",9.40,9.50,9.20,0,"15,800",-0.1
04/03/2025,9.40,200,9.40,9.40,9.40,0,0,0
03/03/2025,9,"10,200",9.30,9.30,9,0,"3,100",-0.0
28/02/2025,9.40,"3,900",9.40,9.40,9.20,0,0,0
27/02/2025,9.30,"2,100",9.30,10.30,9.10,0,0,0
26/02/2025,9.50,"6,100",9.20,9.50,9,0,0,0
25/02/2025,9.70,"28,200",9.80,9.80,9,0,0,0
24/02/2025,9.90,400,9.50,9.90,9.30,0,0,0
21/02/2025,9.50,400,9.60,9.60,9.50,0,0,0
20/02/2025,9.50,"1,100",9.80,9.80,9.50,0,0,0
19/02/2025,9.20,0,9.20,9.20,9.20,0,0,0
18/02/2025,9.20,0,9.20,9.20,9.20,0,0,0
17/02/2025,9.20,"5,200",9.30,9.30,9.20,0,"3,000",-0.0
14/02/2025,9.20,0,9.20,9.20,9.20,0,0,0
13/02/2025,9.20,0,9.20,9.20,9.20,0,0,0
12/02/2025,9.20,0,9.20,9.20,9.20,0,0,0
11/02/2025,9.20,"7,401",9.60,9.60,9.20,0,"7,300",-0.1
10/02/2025,9.60,"5,700",10.40,10.40,9.60,600,"5,600",-0.0
07/02/2025,9.50,"4,610",10.50,10.50,9.50,100,"4,500",-0.0
06/02/2025,9.70,"1,204",9.60,9.70,9.60,0,0,0
05/02/2025,10.50,0,10.50,10.50,10.50,0,0,0
04/02/2025,10.50,0,10.50,10.50,10.50,0,0,0
03/02/2025,10.50,"1,100",10.50,10.50,10.50,0,0,0
24/01/2025,10.50,0,10.50,10.50,10.50,0,0,0
23/01/2025,10.50,0,10.50,10.50,10.50,0,0,0
22/01/2025,10.50,0,10.50,10.50,10.50,0,0,0
21/01/2025,10.50,0,10.50,10.50,10.50,0,0,0
20/01/2025,10.50,0,10.50,10.50,10.50,0,0,0
17/01/2025,10.50,0,10.50,10.50,10.50,0,0,0
16/01/2025,10.50,0,10.50,10.50,10.50,0,0,0
15/01/2025,10.50,0,10.50,10.50,10.50,0,0,0
14/01/2025,10.50,200,10.50,10.50,10.50,100,0,0.0
13/01/2025,9.60,100,9.60,9.60,9.60,0,0,0
10/01/2025,10.20,0,10.20,10.20,10.20,0,0,0
09/01/2025,10.20,0,10.20,10.20,10.20,0,0,0
08/01/2025,10.20,0,10.20,10.20,10.20,0,0,0
07/01/2025,10.20,0,10.20,10.20,10.20,0,0,0
06/01/2025,10.20,0,10.20,10.20,10.20,0,0,0
03/01/2025,10.20,100,10.20,10.20,10.20,0,0,0
02/01/2025,10.40,0,10.40,10.40,10.40,0,0,0
31/12/2024,10.40,"4,800",9.90,10.50,9.90,0,"3,900",-0.0
30/12/2024,10.60,0,10.60,10.60,10.60,0,0,0
27/12/2024,10.60,0,10.60,10.60,10.60,0,0,0
26/12/2024,10.60,1,10.60,10.60,10.60,0,0,0
25/12/2024,10.60,0,10.60,10.60,10.60,0,0,0
24/12/2024,10.60,100,10.60,10.60,10.60,100,0,0.0
23/12/2024,9.70,300,10.60,10.60,9.70,0,0,0
20/12/2024,10.50,"1,900",11,11,9.30,100,0,0.0
19/12/2024,10,233,10,10,10,0,0,0
18/12/2024,10.60,1,10.60,10.60,10.60,0,0,0
17/12/2024,10.60,0,10.60,10.60,10.60,0,0,0
16/12/2024,10.60,100,10.60,10.60,10.60,0,0,0
13/12/2024,10.60,0,10.60,10.60,10.60,0,0,0
12/12/2024,10.60,116,10.60,10.60,10.60,0,0,0
11/12/2024,10.60,0,10.60,10.60,10.60,0,0,0
10/12/2024,10.60,245,9.70,10.60,9.70,0,0,0
09/12/2024,10.60,"1,000",10.60,10.60,10.10,0,0,0
06/12/2024,10.60,300,10.60,10.60,10.60,0,100,-0.0
05/12/2024,10.60,"1,300",10.60,10.60,10,0,0,0
04/12/2024,10.60,600,10.60,10.60,10.60,0,0,0
03/12/2024,10.60,0,10.60,10.60,10.60,0,0,0
02/12/2024,10.60,0,10.60,10.60,10.60,0,0,0
29/11/2024,10.60,0,10.60,10.60,10.60,0,0,0
28/11/2024,10.60,0,10.60,10.60,10.60,0,0,0
27/11/2024,10.60,0,10.60,10.60,10.60,0,0,0
26/11/2024,10.60,"1,001",10.60,10.60,10.60,0,0,0
25/11/2024,10.60,305,10.80,10.80,10.60,100,0,0.0
22/11/2024,10,100,10,10,10,0,0,0
21/11/2024,10.70,106,10.70,10.70,10.70,100,0,0.0
20/11/2024,10,100,10,10,10,0,0,0
19/11/2024,10.70,100,10.70,10.70,10.70,100,0,0.0
18/11/2024,10.20,500,10.80,10.80,10.20,100,0,0.0
15/11/2024,10.10,100,10.10,10.10,10.10,0,0,0
14/11/2024,10.90,0,10.90,10.90,10.90,0,0,0
13/11/2024,10.90,100,10.90,10.90,10.90,100,0,0.0
12/11/2024,10,300,10.80,10.80,9.90,100,0,0.0
11/11/2024,9.90,"1,000",10.60,10.60,9.90,100,0,0.0
08/11/2024,9.70,100,9.70,9.70,9.70,0,0,0
07/11/2024,10.60,"1,100",10.70,10.70,10.60,300,0,0.0
06/11/2024,10.20,100,10.20,10.20,10.20,0,0,0
05/11/2024,9.30,610,10.10,10.10,9.30,100,0,0.0
04/11/2024,9.20,400,11,11,9.20,100,0,0.0
01/11/2024,10,100,10,10,10,0,0,0
31/10/2024,11,400,11.70,11.70,11,100,0,0.0
30/10/2024,10.70,500,10.70,10.70,10.70,0,0,0
29/10/2024,11.50,0,11.50,11.50,11.50,0,0,0
28/10/2024,11.50,100,11.50,11.50,11.50,0,0,0
25/10/2024,10.70,0,10.70,10.70,10.70,0,0,0
24/10/2024,10.70,0,10.70,10.70,10.70,0,0,0
23/10/2024,10.70,30,10.70,10.70,10.70,0,0,0
22/10/2024,10.70,0,10.70,10.70,10.70,0,0,0
21/10/2024,10.70,100,10.70,10.70,10.70,0,0,0
18/10/2024,10.70,0,10.70,10.70,10.70,0,0,0
17/10/2024,10.70,10,10.70,10.70,10.70,0,0,0
16/10/2024,10.70,0,10.70,10.70,10.70,0,0,0
15/10/2024,10.70,0,10.70,10.70,10.70,0,0,0
14/10/2024,10.70,100,10.70,10.70,10.70,0,0,0
11/10/2024,10.70,100,10.70,10.70,10.70,0,0,0
10/10/2024,10.80,0,10.80,10.80,10.80,0,0,0
09/10/2024,10.80,600,10.80,10.80,10.80,0,0,0
08/10/2024,10.80,0,10.80,10.80,10.80,0,0,0
07/10/2024,10.80,0,10.80,10.80,10.80,0,0,0
04/10/2024,10.80,100,10.80,10.80,10.80,100,0,0.0
03/10/2024,9.90,"1,100",10,10,9.90,200,0,0.0
02/10/2024,11,0,11,11,11,0,0,0
01/10/2024,11,"1,100",10.40,11,10.40,0,0,0
30/09/2024,10,800,10,10,10,0,0,0
27/09/2024,10,0,10,10,10,0,0,0
26/09/2024,10,300,10,10,10,0,0,0
25/09/2024,10.30,104,10.30,10.30,10.30,0,0,0
24/09/2024,10.70,0,10.70,10.70,10.70,0,0,0
23/09/2024,10.70,0,10.70,10.70,10.70,0,0,0
20/09/2024,10.70,0,10.70,10.70,10.70,0,0,0
19/09/2024,10.70,0,10.70,10.70,10.70,0,0,0
18/09/2024,10.70,11,10.70,10.70,10.70,0,0,0
17/09/2024,10.70,501,10.70,10.70,10.70,0,0,0
16/09/2024,10.70,0,10.70,10.70,10.70,0,0,0
13/09/2024,10.70,0,10.70,10.70,10.70,0,0,0
12/09/2024,10.70,0,10.70,10.70,10.70,0,0,0
11/09/2024,10.70,100,10.70,10.70,10.70,0,0,0
10/09/2024,10.30,100,10.30,10.30,10.30,100,0,0.0
09/09/2024,9.90,0,9.90,9.90,9.90,0,0,0
06/09/2024,9.90,0,9.90,9.90,9.90,0,0,0
05/09/2024,9.90,0,9.90,9.90,9.90,0,0,0
04/09/2024,9.90,200,9.90,9.90,9.90,0,0,0
30/08/2024,10,200,10,10,10,0,0,0
29/08/2024,10,300,10,10,10,0,0,0
28/08/2024,10,0,10,10,10,0,0,0
27/08/2024,10,4,10,10,10,0,0,0
26/08/2024,10,500,10,10.10,10,0,0,0
23/08/2024,10,"1,200",10,10,10,0,0,0
22/08/2024,10.30,5,10.30,10.30,10.30,0,0,0
21/08/2024,10.30,3,10.30,10.30,10.30,0,0,0
20/08/2024,10.30,105,10.30,10.30,10.30,100,0,0.0
19/08/2024,9.60,105,9.60,9.60,9.60,0,0,0
16/08/2024,10.50,1,10.50,10.50,10.50,0,0,0
15/08/2024,10.50,24,10.50,10.50,10.50,0,0,0
14/08/2024,10.50,101,10.50,10.50,10.50,100,0,0.0
13/08/2024,9.60,207,10,10,9.60,0,0,0
12/08/2024,10,939,9.50,10,9.50,0,0,0
09/08/2024,10.20,105,10.20,10.20,10.20,0,0,0
08/08/2024,10.20,511,9.90,10.20,9.70,0,200,-0.0
07/08/2024,9.60,"1,005",9.50,9.60,9.40,0,500,-0.0
06/08/2024,10.30,303,9.40,10.30,9.40,0,0,0
05/08/2024,10.40,1,10.40,10.40,10.40,0,0,0
02/08/2024,10.40,1,10.40,10.40,10.40,0,0,0
01/08/2024,10.40,0,10.40,10.40,10.40,0,0,0
31/07/2024,10.40,400,10.40,10.40,10.40,0,0,0
30/07/2024,10.30,1,10.30,10.30,10.30,0,0,0
29/07/2024,10.30,300,10.40,10.40,10.20,0,0,0
26/07/2024,10.40,1,10.40,10.40,10.40,0,0,0
25/07/2024,10.40,101,10.40,10.40,10.40,0,0,0
24/07/2024,10.40,1,10.40,10.40,10.40,0,0,0
23/07/2024,10.40,601,10.40,10.40,10.40,0,0,0
22/07/2024,10.40,200,10.40,10.40,10.40,0,0,0
19/07/2024,10.40,5,10.40,10.40,10.40,0,0,0
18/07/2024,10.40,105,10.40,10.40,10.40,0,0,0
17/07/2024,10.70,100,10.70,10.70,10.70,100,0,0.0
16/07/2024,10.40,40,10.40,10.40,10.40,0,0,0
15/07/2024,10.40,"7,011",10.60,10.60,10.40,0,"4,000",-0.0
12/07/2024,10.60,8,10.60,10.60,10.60,0,0,0
11/07/2024,10.60,200,10.70,10.70,10.60,0,0,0
10/07/2024,10.60,300,10.60,10.60,10.60,300,0,0.0
09/07/2024,10.60,200,10.60,10.60,10.60,200,0,0.0
08/07/2024,10.50,2,10.50,10.50,10.50,0,0,0
05/07/2024,10.50,700,10.50,10.50,10.50,0,0,0
04/07/2024,10.50,101,10.50,10.50,10.50,0,0,0
03/07/2024,10.90,904,10.90,10.90,10.90,0,0,0
02/07/2024,10.90,0,10.90,10.90,10.90,0,0,0
01/07/2024,10.90,0,10.90,10.90,10.90,0,0,0
28/06/2024,10.90,706,11,11,10.90,0,0,0
27/06/2024,10.50,520,10.50,10.50,10.50,0,0,0
26/06/2024,10.50,"2,500",10.50,10.50,10.50,0,"1,100",-0.0
25/06/2024,11,10,11,11,11,0,0,0
