Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,2.90,"74,800",2.90,3,2.80,0,0,0
20/03/2025,2.90,"66,600",3,3,2.80,0,0,0
19/03/2025,2.90,"110,200",2.90,3,2.80,0,0,0
18/03/2025,2.90,"339,300",2.80,2.90,2.80,0,0,0
17/03/2025,2.80,"325,200",3,3,2.80,0,0,0
14/03/2025,3,"243,600",3,3.10,3,0,0,0
13/03/2025,3,"64,400",3.10,3.10,3,0,0,0
12/03/2025,3.10,"92,500",3.10,3.20,3,500,0,0.0
11/03/2025,3.10,"201,000",3.10,3.20,3,0,0,0
10/03/2025,3.20,"187,600",3.10,3.20,3.10,0,0,0
07/03/2025,3.10,"103,700",3.10,3.20,3,0,0,0
06/03/2025,3.10,"169,800",3.10,3.20,3,0,0,0
05/03/2025,3,"324,000",3.10,3.20,3,0,0,0
04/03/2025,3.10,"299,700",3.10,3.20,3,0,0,0
03/03/2025,3.10,"194,500",3.20,3.20,3,0,0,0
28/02/2025,3.20,"142,700",3.10,3.20,3.10,0,0,0
27/02/2025,3.10,"137,000",3.10,3.20,3,0,0,0
26/02/2025,3,"234,800",3.20,3.20,3,0,0,0
25/02/2025,3.20,"419,500",3.20,3.20,3,0,0,0
24/02/2025,3.20,"403,900",3.20,3.30,3.10,0,0,0
21/02/2025,3.20,"532,700",3.10,3.20,3.10,0,0,0
20/02/2025,3.10,"412,800",3.10,3.20,3,500,0,0.0
19/02/2025,3.10,"604,200",3,3.20,3,0,0,0
18/02/2025,3,"306,900",2.90,3.10,2.90,0,0,0
17/02/2025,3,"529,000",2.90,3.10,2.90,0,0,0
14/02/2025,3,"260,200",3,3,2.80,0,0,0
13/02/2025,3,"114,500",2.90,3,2.90,0,0,0
12/02/2025,2.90,"220,723",3.10,3.10,2.90,0,0,0
11/02/2025,3.10,"660,294",3.10,3.20,3,0,0,0
10/02/2025,3,"614,235",3,3.10,2.90,0,0,0
07/02/2025,2.90,"508,120",2.90,3,2.90,0,0,0
06/02/2025,2.80,"328,000",2.80,2.90,2.70,0,0,0
05/02/2025,2.80,"115,005",2.90,2.90,2.80,0,0,0
04/02/2025,2.80,"95,658",2.90,2.90,2.80,0,0,0
03/02/2025,2.90,"91,800",2.80,2.90,2.80,0,0,0
24/01/2025,2.80,"212,600",2.80,2.90,2.70,0,0,0
23/01/2025,2.80,"147,303",2.80,2.80,2.70,0,0,0
22/01/2025,2.80,"38,901",2.80,2.80,2.70,0,0,0
21/01/2025,2.70,"222,732",2.90,2.90,2.70,0,0,0
20/01/2025,2.90,"69,606",2.80,2.90,2.70,0,0,0
