Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,8.90,"1,700",8.90,8.90,8.90,0,0,0
20/03/2025,8.90,500,8.80,8.90,8.80,0,0,0
19/03/2025,8.90,"2,400",9.10,9.10,8.90,0,0,0
18/03/2025,8.90,"3,300",9,9,8.90,0,0,0
17/03/2025,8.60,"7,300",9,9.10,8.40,0,10,0
14/03/2025,9.20,"1,100",9,9.20,9,0,0,0
13/03/2025,9.30,"8,100",9,9.30,9,0,0,0
12/03/2025,9.30,300,9,9.30,9,0,0,0
11/03/2025,9.40,"6,800",9,9.40,8.80,0,0,0
10/03/2025,9.40,300,9.50,9.50,9.40,0,0,0
07/03/2025,9.40,100,9.40,9.40,9.40,0,0,0
06/03/2025,9.30,"4,800",9.30,9.40,9.10,0,0,0
05/03/2025,9.20,"4,400",9.20,9.30,9.10,0,0,0
04/03/2025,9.40,"1,400",9,9.40,9,0,0,0
03/03/2025,9.50,"10,800",9.60,9.60,9.40,0,0,0
28/02/2025,9.40,"4,000",9,9.40,9,0,0,0
27/02/2025,9.20,"4,100",9,9.20,8.90,0,0,0
26/02/2025,9,900,9.10,9.10,8.90,0,0,0
25/02/2025,8.90,"1,700",9,9,8.90,0,0,0
24/02/2025,9.20,"6,100",8.80,9.20,8.80,0,0,0
21/02/2025,9,"2,400",9.10,9.10,9,0,0,0
20/02/2025,9,"3,300",9,9.10,9,0,0,0
19/02/2025,9,"6,100",8.80,9,8.80,0,0,0
18/02/2025,8.80,"17,100",9,9.20,8.70,0,0,0
17/02/2025,8.80,"7,400",9.10,9.50,8.70,0,0,0
14/02/2025,9,"7,500",8.60,9,8.60,0,0,0
13/02/2025,8.60,"1,900",8.70,9.30,8.60,0,100,-0.0
12/02/2025,8.60,"13,410",8.60,8.60,8.50,0,0,0
11/02/2025,8.60,"5,400",8.30,8.60,8.30,0,0,0
10/02/2025,8.50,"11,800",8.90,8.90,8.50,0,200,-0.0
07/02/2025,8.90,"14,100",8.90,8.90,8.40,0,0,0
06/02/2025,8.90,"22,100",8.90,8.90,8.40,0,0,0
05/02/2025,8.90,"6,100",8.40,8.90,8.40,0,0,0
04/02/2025,8.70,"3,400",8.80,8.80,8.40,0,0,0
03/02/2025,8.70,"2,800",8.50,8.90,8.40,0,"1,300",0
24/01/2025,9.10,"1,101",9.40,9.40,8.50,0,0,0
23/01/2025,9.10,"5,800",8.80,9.20,8.80,0,200,-0.0
22/01/2025,9,"11,935",9,9.30,8.90,0,300,-0.0
21/01/2025,9.20,"9,000",9,9.20,8.90,300,0,0.0
20/01/2025,9.60,"3,000",9.50,9.60,9.30,0,100,-0.0
17/01/2025,9.60,"7,500",9,9.60,9,"1,900",0,0.0
16/01/2025,8.90,"5,300",9.30,9.30,8.60,0,800,-0.0
15/01/2025,9,"6,900",9.20,9.30,8.50,"1,200",500,0.0
14/01/2025,8.90,"13,200",9,9.10,8.70,0,0,0
13/01/2025,9.30,"7,500",9.50,9.50,9,0,500,-0.0
10/01/2025,9.50,"19,700",9.50,9.90,8.70,0,100,-0.0
09/01/2025,9.50,"4,314",9.90,10,9,0,0,0
08/01/2025,9.80,"4,300",9.70,10,9.50,0,100,-0.0
07/01/2025,9.70,"21,500",9.70,9.80,9,"1,600",0,0.0
06/01/2025,9.80,"34,519",10.70,10.70,9.70,300,0,0.0
03/01/2025,10.70,"14,035",11,11.50,10.70,100,0,0.0
02/01/2025,11.60,"12,415",11.20,12,10.80,0,0,0
31/12/2024,11.70,"6,401",12.30,12.30,11.30,0,200,-0.0
30/12/2024,12.10,"12,800",12,12.70,11.10,0,200,-0.0
27/12/2024,12,"35,402",13.20,13.70,12,0,0,0
26/12/2024,12.50,"16,900",12.70,12.70,11.70,200,0,0.0
25/12/2024,12.20,"39,761",13,13.20,11.70,200,500,-0.0
24/12/2024,13,"52,600",13.30,13.70,12.70,0,0,0
23/12/2024,12.50,"58,200",14.50,14.50,12,0,0,0
20/12/2024,13.30,"52,300",12.40,13.30,12,500,0,0.0
19/12/2024,12.10,"117,280",11,12.90,11,0,500,-0.0
18/12/2024,12.20,"12,008",12.20,12.20,12.20,0,0,0
17/12/2024,13.50,"39,079",14.90,14.90,13.50,0,0,0
16/12/2024,14.90,"53,678",15.80,16.30,13.60,500,400,0.0
13/12/2024,14.90,"254,200",14.90,14.90,14.80,0,0,0
12/12/2024,13.60,"6,078",13.60,13.60,13.60,0,0,0
11/12/2024,12.40,"4,100",12.40,12.40,12.40,0,0,0
10/12/2024,11.30,"5,700",11.30,11.30,11.30,0,0,0
09/12/2024,10.30,"6,000",10.30,10.30,10.30,0,0,0
06/12/2024,9.40,"5,400",9.40,9.40,9.40,0,0,0
05/12/2024,8.60,"9,500",8.40,8.60,8,0,0,0
04/12/2024,7.90,"6,800",7.80,7.90,7.80,0,0,0
03/12/2024,7.80,0,7.80,7.80,7.80,0,0,0
02/12/2024,7.80,0,7.80,7.80,7.80,0,0,0
29/11/2024,7.80,300,7.80,7.80,7.80,0,0,0
28/11/2024,7.80,0,7.80,7.80,7.80,0,0,0
27/11/2024,7.80,0,7.80,7.80,7.80,0,0,0
26/11/2024,7.80,300,7.80,7.80,7.80,0,0,0
25/11/2024,7.80,"2,500",7.70,7.90,7.70,0,0,0
22/11/2024,7.70,0,7.70,7.70,7.70,0,0,0
21/11/2024,7.70,"2,200",7.70,7.70,7.70,0,200,-0.0
20/11/2024,7.70,"4,800",7.50,7.70,7.50,0,0,0
19/11/2024,7.60,100,7.60,7.60,7.60,0,0,0
18/11/2024,7,0,7,7,7,0,0,0
15/11/2024,7,"8,000",7,7,7,0,0,0
14/11/2024,7.70,0,7.70,7.70,7.70,0,0,0
13/11/2024,7.70,0,7.70,7.70,7.70,0,0,0
12/11/2024,7.70,0,7.70,7.70,7.70,0,0,0
11/11/2024,7.70,"10,500",7.20,7.90,6.50,0,0,0
08/11/2024,7.20,200,7.20,7.20,7.20,0,0,0
07/11/2024,8,0,8,8,8,0,0,0
06/11/2024,8,0,8,8,8,0,0,0
05/11/2024,8,0,8,8,8,0,0,0
04/11/2024,8,0,8,8,8,0,0,0
01/11/2024,8,0,8,8,8,0,0,0
31/10/2024,8,100,8,8,8,0,100,-0.0
30/10/2024,8,0,8,8,8,0,0,0
29/10/2024,8,100,8,8,8,0,0,0
28/10/2024,7.40,0,7.40,7.40,7.40,0,0,0
25/10/2024,7.40,"1,000",7.40,7.40,7.40,0,0,0
24/10/2024,7.40,100,7.40,7.40,7.40,0,0,0
23/10/2024,8.20,0,8.20,8.20,8.20,0,0,0
22/10/2024,8.20,0,8.20,8.20,8.20,0,0,0
21/10/2024,8.20,0,8.20,8.20,8.20,0,0,0
