Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,20.10,"56,200",20,20.10,19.85,800,600,0
20/03/2025,20,"76,500",20.25,20.35,19.95,200,"2,300",-0.0
19/03/2025,20,"78,500",19.95,20.20,19.90,"17,500","1,000",0.3
18/03/2025,19.90,"146,600",20.30,20.50,19.85,500,500,-0.0
17/03/2025,20.35,"108,100",20.05,20.60,20.05,"4,200",200,0.1
14/03/2025,20.05,"81,400",20.20,20.20,19.90,"29,000",100,0.6
13/03/2025,20,"206,900",20.40,20.40,20,400,0,0.0
12/03/2025,20.30,"118,800",20.30,20.50,20.10,"29,100",100,0.6
11/03/2025,20.30,"98,200",19.95,20.30,19.95,"1,500","4,100",-0.1
10/03/2025,20.25,"211,000",20.55,20.75,20.20,"4,900","19,500",-0.3
07/03/2025,20.50,"112,400",20.50,20.65,20.35,0,"1,900",-0.0
06/03/2025,20.35,"141,900",20,20.35,19.90,"5,300",300,0.1
05/03/2025,19.90,"56,200",20.35,20.35,19.80,"2,300",800,0.0
04/03/2025,19.95,"103,200",19.95,20.20,19.60,300,900,-0.0
03/03/2025,20.10,"93,200",19.90,20.25,19.70,"2,800",400,0.0
28/02/2025,19.90,"158,600",20.25,20.75,19.90,800,"51,219",-1.0
27/02/2025,20.20,"112,200",20.15,20.20,19.75,0,"1,700",-0.0
26/02/2025,20.15,"114,600",20.10,20.25,19.85,500,"6,100",-0.1
25/02/2025,20.10,"171,400",20,20.20,19.80,0,"6,600",-0.1
24/02/2025,19.90,"115,300",19.50,19.95,19.30,"1,400",800,0.0
21/02/2025,19.50,"40,800",19.55,19.55,19.05,0,"1,800",-0.0
20/02/2025,19.55,"184,600",19.55,19.90,19.55,0,"23,600",-0.5
19/02/2025,19.30,"175,800",18.90,19.50,18.80,"4,200","55,904",-1.0
18/02/2025,18.60,"52,100",18.65,18.80,18.60,0,"6,000",-0.1
17/02/2025,18.65,"115,900",18.90,19,18.50,"1,500","30,000",-0.5
14/02/2025,18.65,"99,100",18.50,18.70,18.50,"1,300","65,900",-1.2
13/02/2025,18.40,"22,000",18.30,18.45,18.20,0,"2,500",-0.0
12/02/2025,18.40,"27,400",18.40,18.50,18.40,0,"7,900",-0.1
11/02/2025,18.40,"33,100",18.35,18.50,18.35,"10,900","11,300",-0.0
10/02/2025,18.35,"84,400",18.45,18.80,18.35,0,"26,800",-0.5
07/02/2025,18.30,"30,100",18.15,18.50,18.10,0,500,-0.0
06/02/2025,18.15,"64,500",18,18.30,18,0,"38,500",-0.7
05/02/2025,18.05,"47,200",18.15,18.15,17.95,"1,200","16,200",-0.3
04/02/2025,18,"69,000",17.70,18.20,17.70,"5,100","31,800",-0.5
03/02/2025,17.60,"48,100",18,18,17.50,0,0,0
24/01/2025,18,"16,800",18,18.10,18,0,0,0
23/01/2025,18,"64,700",17.25,18,17.25,0,"30,000",-0.5
22/01/2025,17.60,"121,300",18.15,18.15,17.60,0,"15,300",-0.3
21/01/2025,18.20,"30,100",18.65,18.90,18.20,0,0,0
20/01/2025,18.65,"9,400",18.40,18.70,18.40,0,0,0
17/01/2025,18.50,"148,700",18.30,18.55,17.75,"8,200",0,0.1
16/01/2025,18.30,"9,800",18.75,18.75,18.25,0,0,0
15/01/2025,18.15,"47,200",18.35,18.35,18.15,0,"23,800",-0.4
14/01/2025,18.35,"37,600",18.45,18.45,18.30,0,"16,100",-0.3
13/01/2025,18.45,"13,500",18.40,18.45,18.35,0,0,0
10/01/2025,18.40,"121,600",18.65,18.70,18.40,"5,000","90,300",-1.6
09/01/2025,18.65,"72,600",18.90,18.90,18.50,0,"51,100",-1.0
08/01/2025,18.90,"10,600",19.30,19.30,18.90,0,0,0
07/01/2025,19,"35,600",19.35,19.35,19,"1,000",0,0.0
06/01/2025,19,"49,800",19,19.20,19,"1,000",100,0.0
03/01/2025,19.10,"22,600",19.25,19.40,19.10,400,"4,300",-0.1
02/01/2025,19.40,"17,500",19.15,19.70,19.15,0,0,0
31/12/2024,19.70,"118,500",19.20,19.70,18.80,0,"12,400",-0.2
30/12/2024,19.30,"180,800",18.90,19.85,18.50,0,"99,363",-1.9
27/12/2024,19.05,"86,800",19.30,19.40,19,0,"28,000",-0.5
26/12/2024,19.45,"41,100",19.45,19.45,19.30,0,0,0
25/12/2024,19.40,"114,600",19.25,19.50,19.20,0,0,0
24/12/2024,19.25,"71,200",19.05,19.25,19,0,0,0
23/12/2024,19.30,"35,200",18.90,19.50,18.90,"1,000",0,0.0
20/12/2024,19.25,"25,000",18.85,19.25,18.80,0,200,-0.0
19/12/2024,19.15,"58,900",19.10,19.20,18.95,"10,000",0,0.2
18/12/2024,19.25,"66,300",19.35,19.40,19.20,"3,100",0,0.1
17/12/2024,19.35,"25,200",19.50,19.60,19.35,0,400,-0.0
16/12/2024,19.50,"56,200",19.55,19.65,19.45,"4,400","1,600",0.1
13/12/2024,19.55,"100,600",19.90,20.10,19.50,"5,000",700,0.1
12/12/2024,19.95,"74,500",19.95,20,19.55,"5,000",0,0.1
11/12/2024,20,"451,500",20.60,20.60,19.10,0,0,0
10/12/2024,20.50,"98,800",20.60,20.65,20.50,0,"50,500",-1.0
09/12/2024,20.65,"57,800",21,21,20.65,0,"25,600",-0.5
06/12/2024,21,"76,700",21.15,21.15,20.80,0,"1,600",-0.0
05/12/2024,21.15,"111,900",20.10,21.50,20,"6,000","50,000",-0.9
04/12/2024,20.10,"41,300",20.35,20.60,20.10,"6,500","7,900",-0.0
03/12/2024,20.30,"17,200",20.40,20.40,20.10,"1,400",700,0.0
02/12/2024,20.20,"53,500",20.50,20.50,20.20,0,"4,400",-0.1
29/11/2024,20.30,"19,500",20.30,20.40,20.30,0,700,-0.0
28/11/2024,20.30,"23,000",20.70,20.70,20.30,0,"1,000",-0.0
27/11/2024,20.30,"11,100",20.10,20.30,20.10,"1,400",0,0.0
26/11/2024,20.30,"16,800",20.30,20.40,20.25,200,500,-0.0
25/11/2024,20.05,"24,100",20.25,20.25,20,100,100,-0
22/11/2024,20,"36,300",20.05,20.30,20,100,200,-0.0
