Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,4.80,"19,000",4.80,4.80,4.80,0,0,0
20/03/2025,5.10,100,5.10,5.10,5.10,0,0,0
19/03/2025,5.10,"2,000",4.70,5.10,4.70,0,0,0
18/03/2025,4.80,"1,400",4.80,4.90,4.80,0,0,0
17/03/2025,4.70,"2,100",4.90,4.90,4.70,0,0,0
14/03/2025,5,"6,700",5.10,5.10,4.90,0,0,0
13/03/2025,4.90,"19,500",4.80,5.10,4.80,0,0,0
12/03/2025,4.90,"3,100",4.90,4.90,4.90,0,0,0
11/03/2025,4.90,"26,700",4.90,5,4.70,0,0,0
10/03/2025,4.90,"12,700",4.90,4.90,4.80,0,0,0
07/03/2025,4.90,400,4.70,4.90,4.70,0,0,0
06/03/2025,5,"26,800",4.80,5.10,4.50,0,0,0
05/03/2025,4.90,"7,300",4.80,4.90,4.70,0,0,0
04/03/2025,4.90,"8,800",5,5,4.80,0,0,0
03/03/2025,5.10,"20,400",5,5.10,4.70,0,0,0
28/02/2025,5,"10,400",4.80,5.10,4.80,0,0,0
27/02/2025,4.80,"8,300",4.90,5,4.70,0,0,0
26/02/2025,4.80,"18,600",4.90,4.90,4.80,0,0,0
25/02/2025,4.90,"29,200",4.70,4.90,4.70,0,0,0
24/02/2025,4.70,"1,300",4.90,4.90,4.70,0,0,0
21/02/2025,4.90,"13,200",4.90,4.90,4.80,0,0,0
20/02/2025,4.90,"4,000",5,5,4.80,0,0,0
19/02/2025,5.10,"95,500",5.20,5.20,4.60,0,0,0
18/02/2025,5.10,"7,100",5.30,5.40,5.10,0,0,0
17/02/2025,5,"11,100",5.30,5.30,5,0,0,0
14/02/2025,5.10,"39,200",5.10,5.20,5,0,0,0
13/02/2025,5.20,"3,700",5.40,5.40,5.20,0,0,0
12/02/2025,5.30,"2,434",5.40,5.40,5.20,0,0,0
11/02/2025,5.30,"24,226",5.20,5.60,5.20,0,0,0
10/02/2025,5.10,"82,713",4.90,5.10,4.90,0,0,0
07/02/2025,4.70,"8,689",4.90,5,4.70,0,0,0
06/02/2025,4.80,"34,250",4.70,4.90,4.70,0,0,0
05/02/2025,4.60,"14,500",4.50,4.70,4.50,0,0,0
04/02/2025,4.60,"1,940",4.60,4.70,4.50,0,0,0
03/02/2025,4.60,"35,300",4.50,4.70,4.50,0,0,0
24/01/2025,4.40,"3,300",4.60,4.60,4.40,0,0,0
23/01/2025,4.50,"3,600",4.50,4.50,4.50,0,0,0
22/01/2025,4.50,"57,900",4.40,4.50,4.40,0,0,0
21/01/2025,4.50,"2,800",4.40,4.50,4.40,0,0,0
20/01/2025,4.50,"15,320",4.60,4.60,4.50,0,0,0
17/01/2025,4.60,"33,800",4.50,4.60,4.50,0,0,0
16/01/2025,4.50,"28,402",4.60,4.70,4.50,0,0,0
15/01/2025,4.70,"26,900",4.50,4.70,4.50,0,0,0
14/01/2025,4.50,"13,600",4.60,4.60,4.40,0,0,0
13/01/2025,4.60,"12,000",4.40,4.60,4.40,0,0,0
10/01/2025,4.40,"13,401",4.50,4.70,4.40,0,0,0
09/01/2025,4.70,"14,700",4.60,4.70,4.50,0,0,0
08/01/2025,4.70,"16,500",4.40,4.70,4.40,0,0,0
07/01/2025,4.50,"5,011",4.50,4.60,4.40,0,0,0
06/01/2025,4.50,"31,901",4.60,4.70,4.50,0,0,0
03/01/2025,4.60,"10,427",4.60,4.60,4.50,0,0,0
02/01/2025,4.70,"11,948",4.60,4.70,4.60,0,0,0
31/12/2024,4.60,"25,500",4.60,4.60,4.50,0,0,0
30/12/2024,4.60,"26,603",4.60,4.70,4.60,0,0,0
27/12/2024,4.70,"22,227",4.70,4.90,4.60,0,0,0
26/12/2024,4.70,"28,771",4.70,4.90,4.60,0,0,0
25/12/2024,4.70,"16,300",4.50,4.70,4.40,0,0,0
24/12/2024,4.70,"5,100",4.50,4.70,4.50,0,0,0
23/12/2024,4.70,"19,314",4.70,4.70,4.60,0,0,0
20/12/2024,4.50,"18,400",4.70,4.80,4.50,0,0,0
19/12/2024,4.80,"6,300",5.10,5.10,4.70,0,0,0
18/12/2024,5,"27,500",4.60,5,4.60,0,0,0
17/12/2024,4.70,"10,513",4.60,4.70,4.40,0,0,0
16/12/2024,4.60,"9,400",4.60,4.70,4.50,0,0,0
13/12/2024,4.60,"13,500",4.90,4.90,4.60,0,0,0
12/12/2024,4.90,"108,316",4.60,4.90,4.50,0,0,0
11/12/2024,4.50,"9,500",4.70,4.70,4.50,0,0,0
10/12/2024,4.70,"5,503",4.70,4.70,4.70,0,0,0
09/12/2024,4.80,"52,600",4.40,4.80,4.30,0,0,0
06/12/2024,4.50,"8,401",4.50,4.60,4.50,0,0,0
05/12/2024,4.40,"20,600",4.40,4.70,4.40,0,0,0
04/12/2024,4.60,"9,220",4.50,4.60,4.40,0,0,0
03/12/2024,4.50,"25,524",4.40,4.40,4.40,0,0,0
02/12/2024,4.40,"7,700",4.60,4.60,4.40,0,0,0
29/11/2024,4.50,"31,200",4.40,4.60,4.40,0,0,0
28/11/2024,4.60,"39,019",4.60,4.60,4.40,0,0,0
27/11/2024,4.50,"20,425",4.40,4.60,4.40,0,0,0
26/11/2024,4.50,"23,703",4.60,4.60,4.50,0,0,0
25/11/2024,4.90,"5,510",4.90,4.90,4.60,0,0,0
22/11/2024,4.70,"99,882",4.30,4.70,4.30,0,0,0
21/11/2024,4.30,"17,006",4.40,4.40,4.30,0,0,0
20/11/2024,4.30,"16,024",4.30,4.40,4.20,0,0,0
19/11/2024,4.30,"10,900",4.30,4.40,4.30,0,0,0
18/11/2024,4.40,"46,694",4.30,4.40,4.20,0,0,0
15/11/2024,4.30,"23,607",4.20,4.30,4.20,0,0,0
14/11/2024,4.30,"37,000",4.60,4.60,4.30,0,0,0
13/11/2024,4.60,"11,406",4.70,4.70,4.30,0,0,0
12/11/2024,4.60,"47,300",4.30,4.60,4.30,0,0,0
11/11/2024,4.30,"52,631",4.30,4.30,4.20,0,0,0
08/11/2024,4.30,"22,236",4.30,4.40,4.20,0,0,0
07/11/2024,4.30,"10,002",4.30,4.40,4.20,0,0,0
06/11/2024,4.40,"15,740",4.30,4.40,4.30,0,0,0
05/11/2024,4.30,"22,600",4.20,4.30,4.20,0,0,0
04/11/2024,4.40,"16,001",4.20,4.40,4.20,0,0,0
01/11/2024,4.40,"27,304",4.20,4.40,4.20,0,0,0
31/10/2024,4.40,"10,509",4.30,4.40,4.20,0,0,0
30/10/2024,4.40,"47,247",4.40,4.40,4.20,0,0,0
29/10/2024,4.30,"7,517",4.40,4.40,4.30,0,0,0
28/10/2024,4.50,"29,826",4.40,4.60,4.40,0,0,0
25/10/2024,4.40,"19,798",4.30,4.40,4.20,0,0,0
24/10/2024,4.40,"38,175",4.50,4.50,4.20,0,0,0
23/10/2024,4.50,"10,700",4.50,4.50,4.40,0,0,0
22/10/2024,4.40,"19,100",4.40,4.50,4.10,0,0,0
21/10/2024,4.30,"39,449",4.30,4.40,4.20,0,0,0
18/10/2024,4.40,"12,400",4.40,4.40,4.20,0,0,0
17/10/2024,4.40,"21,600",4.40,4.40,4.20,0,0,0
16/10/2024,4.40,"16,817",4.50,4.50,4.30,0,0,0
15/10/2024,4.50,"49,693",4.30,4.50,4.30,0,0,0
14/10/2024,4.40,"32,208",4.50,4.50,4.30,0,0,0
11/10/2024,4.40,"39,715",4.50,4.60,4.40,0,0,0
10/10/2024,4.50,"27,010",4.70,4.90,4.50,0,0,0
09/10/2024,4.70,"9,027",4.60,4.70,4.50,0,0,0
08/10/2024,4.70,"49,183",4.60,4.70,4.60,0,0,0
07/10/2024,4.90,"22,221",4.70,4.90,4.50,0,0,0
04/10/2024,4.70,"43,000",4.60,4.70,4.50,0,0,0
03/10/2024,4.80,"174,264",5,5,4.60,0,0,0
02/10/2024,4.90,"62,639",5,5.20,4.80,0,0,0
01/10/2024,5.20,"65,250",5.30,5.50,5.20,0,0,0
30/09/2024,5.30,"97,106",4.90,5.60,4.90,0,0,0
27/09/2024,5.20,"89,192",5.30,5.30,4.90,0,0,0
26/09/2024,5.20,"106,995",5.40,5.60,5,0,0,0
25/09/2024,5.40,"197,095",5.80,6.20,5.30,0,0,0
24/09/2024,5.80,"261,165",5.80,5.80,5.50,0,0,0
23/09/2024,5.30,"385,826",4.80,5.30,4.80,0,0,0
20/09/2024,4.90,"156,066",4.60,5,4.50,0,0,0
19/09/2024,4.60,"68,432",4.70,4.70,4.40,0,0,0
18/09/2024,4.70,"100,405",5.10,5.30,4.50,0,0,0
17/09/2024,4.90,"133,740",4.50,4.90,4.40,0,0,0
16/09/2024,4.50,"130,139",4.10,4.50,4,0,0,0
13/09/2024,4.10,"24,203",4.10,4.10,3.90,0,0,0
12/09/2024,3.90,"26,460",4,4.10,3.90,0,0,0
11/09/2024,3.90,"38,032",4,4,3.90,0,0,0
10/09/2024,4,"50,203",4.10,4.10,3.90,0,0,0
09/09/2024,4,"15,834",4.10,4.10,4,0,0,0
06/09/2024,4,"108,554",4.20,4.20,3.80,0,0,0
05/09/2024,4.20,"95,195",4.40,4.40,4,0,0,0
04/09/2024,4.40,"84,096",4.20,4.40,3.90,0,0,0
30/08/2024,4.30,"22,814",4,4.60,4,0,0,0
29/08/2024,4.40,"12,470",4.30,4.50,4.30,0,0,0
28/08/2024,4.40,"61,617",4.40,4.50,4.30,0,0,0
27/08/2024,4.40,"39,332",4.20,4.40,4.20,0,0,0
26/08/2024,4.10,"29,045",4.20,4.50,4.10,0,0,0
23/08/2024,4.40,"53,628",4.40,4.40,4,0,0,0
22/08/2024,4.40,"85,181",4.60,4.60,4.20,0,0,0
21/08/2024,4.60,"42,735",4.90,5,4.50,0,0,0
20/08/2024,4.80,"25,754",4.70,4.80,4.40,0,0,0
19/08/2024,4.70,"311,565",4.90,4.90,4.50,0,0,0
16/08/2024,4.90,"48,303",5.10,5.30,4.90,0,0,0
15/08/2024,4.90,"227,442",4.20,4.90,4.20,0,0,0
14/08/2024,4.50,"69,064",4.50,4.50,4.50,0,0,0
13/08/2024,4.90,"18,614",4.90,4.90,4.90,0,0,0
12/08/2024,5.40,"16,861",5.40,5.40,5.40,0,0,0
09/08/2024,5.90,"18,241",5.90,5.90,5.90,0,0,0
08/08/2024,6.50,"36,034",6.70,6.70,6.50,0,0,0
07/08/2024,7.20,"21,913",7.20,7.20,6.70,0,0,0
06/08/2024,6.90,"19,600",6.90,6.90,6.30,0,0,0
05/08/2024,6.90,"31,423",6.60,7.20,6.40,0,0,0
02/08/2024,6.60,"50,660",7,7,6.10,0,0,0
01/08/2024,6.60,"73,107",7.30,7.40,6.60,0,0,0
31/07/2024,7.30,"21,035",7.30,7.70,7.20,0,0,0
30/07/2024,7.30,"110,031",8.10,8.30,7.30,0,0,0
29/07/2024,8.10,"139,153",9.10,9.20,8.10,0,0,0
26/07/2024,9,"100,328",9.10,9.40,8.30,0,0,0
25/07/2024,9,"143,424",8.80,9.50,8.80,0,0,0
24/07/2024,8.80,"148,184",9.70,9.80,8.80,0,0,0
23/07/2024,9.70,"79,548",9.90,10.60,9.60,0,0,0
22/07/2024,10.60,"215,571",10.60,10.70,10.60,0,"3,500",-0.0
19/07/2024,11.70,"71,449",11.70,12.90,11.70,0,0,0
18/07/2024,13,"11,453",13.90,13.90,13,0,0,0
17/07/2024,14.40,"176,264",13.90,14.40,13.10,0,0,0
16/07/2024,13.40,"145,068",12.80,14,12,0,0,0
15/07/2024,12.80,"105,475",11.90,12.80,11,0,"1,500",-0.0
12/07/2024,11.80,"106,724",11.80,12.10,11.60,0,0,0
11/07/2024,11.50,"78,097",11.60,11.80,11.10,"2,800",0,0.0
10/07/2024,11,"190,101",11,11.40,10.90,"3,200",0,0.0
09/07/2024,10.60,"64,153",10.20,10.60,10.20,0,0,0
08/07/2024,9.70,"86,302",10.30,11.20,9.70,0,0,0
05/07/2024,10.30,"115,459",10.40,10.50,10.30,0,0,0
04/07/2024,10.50,"39,326",10.30,10.80,10.20,0,0,0
03/07/2024,10.20,"61,420",10,10.90,10,0,0,0
02/07/2024,10.70,"72,449",11.30,11.30,10.70,0,0,0
01/07/2024,11.80,"103,850",10.90,11.80,10.20,0,0,0
28/06/2024,10.90,"35,180",11.60,11.60,10.20,0,0,0
27/06/2024,11.20,"182,456",12.70,12.70,10.60,0,0,0
26/06/2024,11.60,"177,336",10.60,11.60,10.50,0,0,0
25/06/2024,10.60,"228,030",10.60,11,10.60,0,0,0
24/06/2024,11.70,"44,178",13,13,11.70,0,0,0
21/06/2024,13,"113,867",12.60,13.20,12.60,0,0,0
20/06/2024,12.50,"181,435",11.80,12.70,11.80,0,0,0
19/06/2024,11.60,"200,901",10.60,11.60,10.60,0,0,0
18/06/2024,10.60,"149,160",10.40,11.40,10.40,0,0,0
17/06/2024,10.40,"91,843",9.70,10.60,9.50,0,0,0
14/06/2024,9.70,"383,370",8.90,9.70,8.90,0,"4,600",-0.0
13/06/2024,8.90,"149,471",8.60,9.10,8.60,0,0,0
12/06/2024,8.60,"258,967",8.30,8.60,8,0,0,0
11/06/2024,7.90,"182,905",7.40,7.90,7.20,0,0,0
10/06/2024,7.20,"65,826",7.90,8.20,7.20,0,0,0
07/06/2024,7.80,"62,131",8.10,8.80,7.80,0,0,0
06/06/2024,8.10,"172,785",7.40,8.10,7.40,0,0,0
05/06/2024,7.40,"98,521",7.60,7.60,6.90,0,0,0
04/06/2024,7.50,"157,131",7.60,7.70,7.10,0,0,0
03/06/2024,7.30,"468,146",6.70,7.40,6.70,0,0,0
31/05/2024,6.80,"49,000",6.70,7,6.30,0,0,0
30/05/2024,6.70,"116,509",6.80,6.80,6.30,0,0,0
29/05/2024,6.90,"351,580",6.80,6.90,6.50,0,0,0
28/05/2024,6.30,"338,617",5.70,6.30,5.60,0,0,0
27/05/2024,5.80,"163,400",5.80,6.30,5.50,0,0,0
24/05/2024,5.80,"457,502",5.30,5.80,5.30,0,0,0
23/05/2024,5.30,"480,761",5.10,5.30,4.80,0,0,0
22/05/2024,5.30,"89,900",5.40,5.70,5.30,0,0,0
21/05/2024,5.80,"170,400",5.90,6.30,5.40,0,0,0
20/05/2024,5.90,"156,629",6.70,7,5.80,0,0,0
17/05/2024,6.40,"252,211",6.40,6.40,6,0,0,0
16/05/2024,5.90,"132,975",5.50,5.90,5.50,0,0,0
15/05/2024,5.40,"14,700",5.50,5.50,5.40,0,0,0
14/05/2024,5.60,"3,200",5.30,5.60,5.30,0,0,0
13/05/2024,5.50,"63,600",5.60,5.60,5.10,0,0,0
10/05/2024,5.60,"24,703",5.90,6.20,5.60,0,0,0
09/05/2024,6.20,"37,600",7.20,7.20,6.20,0,0,0
08/05/2024,6.80,"56,367",6.50,6.90,6.40,"4,600",0,0.0
07/05/2024,6.30,"169,810",5.70,6.30,5.30,0,0,0
06/05/2024,5.80,"9,746",5.80,5.80,5.60,0,0,0
03/05/2024,5.80,"17,302",5.60,5.80,5.50,0,0,0
02/05/2024,5.80,"5,200",5.60,5.80,5.50,0,0,0
26/04/2024,5.80,"8,502",5.50,5.80,5.50,0,0,0
25/04/2024,5.60,"11,801",5.50,5.80,5.10,0,0,0
24/04/2024,5.60,"209,817",5.40,5.60,5.10,0,0,0
23/04/2024,5.60,"18,800",5.50,5.90,5.10,0,0,0
22/04/2024,5.50,"528,200",5,5.50,5,0,0,0
19/04/2024,5,"35,628",4.80,5,4.80,0,0,0
17/04/2024,4.60,"26,300",4.50,4.90,4.50,0,0,0
16/04/2024,4.50,"55,800",4.30,4.60,4.30,0,0,0
15/04/2024,4.50,"32,100",4.30,4.60,4,0,0,0
12/04/2024,4.40,"81,060",4.30,4.40,4.10,0,0,0
11/04/2024,4.30,"24,300",4.20,4.30,4.20,0,0,0
10/04/2024,4.20,"2,400",4.20,4.20,4.20,0,0,0
09/04/2024,4.10,"8,800",4.10,4.10,4,0,0,0
08/04/2024,4.30,"2,309",4.10,4.30,4.10,0,0,0
05/04/2024,4.10,"10,300",4.10,4.10,4.10,0,0,0
04/04/2024,4.20,"3,800",4.10,4.20,4.10,0,0,0
03/04/2024,4.20,300,4.20,4.20,4.10,0,0,0
02/04/2024,4,"1,600",4,4.30,4,0,0,0
01/04/2024,4.10,"23,400",4,4.10,4,0,0,0
29/03/2024,4.10,6,4.10,4.10,4.10,0,0,0
28/03/2024,4.10,"11,100",4.10,4.10,4.10,0,0,0
27/03/2024,4.10,0,4.10,4.10,4.10,0,0,0
26/03/2024,4.10,"3,555",4,4.10,4,0,0,0
25/03/2024,4,"6,600",4,4.10,4,0,0,0
22/03/2024,4,"18,500",4,4.10,4,0,0,0
21/03/2024,4,"30,900",3.90,4.10,3.90,0,0,0
20/03/2024,4,"1,900",3.90,4,3.90,0,0,0
19/03/2024,3.90,"8,400",3.90,4,3.90,0,0,0
18/03/2024,4,"3,124",3.90,4,3.90,0,0,0
15/03/2024,4.10,"2,400",4,4.10,4,0,0,0
14/03/2024,4.10,"36,200",3.90,4.10,3.90,0,0,0
13/03/2024,4,"1,000",3.90,4,3.80,0,0,0
12/03/2024,4,900,3.90,4,3.90,0,0,0
11/03/2024,4,"1,600",4.10,4.10,4,0,0,0
08/03/2024,4.10,"4,700",4,4.10,3.90,0,0,0
07/03/2024,4.10,"12,400",4,4.10,4,0,0,0
06/03/2024,3.90,"8,410",4.10,4.20,3.90,0,0,0
05/03/2024,4.10,400,4.20,4.20,4.10,0,0,0
04/03/2024,4.20,"113,814",4.10,4.30,4,0,0,0
01/03/2024,4.40,"119,100",4.30,4.70,4,0,0,0
29/02/2024,4.40,"36,103",4.50,4.60,4.40,0,0,0
28/02/2024,4.80,"1,400",4.70,4.80,4.70,0,0,0
27/02/2024,4.70,200,4.70,4.70,4.70,0,0,0
26/02/2024,4.70,"14,631",4.80,5,4.40,0,0,0
23/02/2024,4.80,"2,820",4.90,5,4.50,0,0,0
22/02/2024,4.90,"11,901",4.90,5,4.50,0,0,0
21/02/2024,4.90,"6,600",4.60,4.90,4.60,0,0,0
20/02/2024,4.70,101,4.70,4.70,4.70,0,0,0
19/02/2024,4.50,936,4.50,4.70,4.50,0,0,0
16/02/2024,4.50,600,4.40,4.70,4.40,0,0,0
15/02/2024,4.30,"65,500",4.30,4.70,4.30,0,0,0
07/02/2024,4.70,"1,300",4.70,4.90,4.30,0,0,0
06/02/2024,4.70,"1,700",4.50,4.80,4.50,0,0,0
05/02/2024,4.50,"5,100",4.50,4.50,4.30,0,0,0
02/02/2024,4.50,100,4.50,4.50,4.50,0,0,0
01/02/2024,4.50,"18,500",4.10,4.50,4.10,0,0,0
31/01/2024,4.50,"3,100",4.50,4.90,4.30,0,0,0
30/01/2024,4.50,"2,033",4.40,4.50,4.40,0,0,0
29/01/2024,4.50,"4,300",4.20,4.50,4.20,0,0,0
26/01/2024,4.20,200,4.30,4.30,4.20,0,0,0
25/01/2024,4.50,0,4.50,4.50,4.50,0,0,0
24/01/2024,4.50,33,4.50,4.50,4.50,0,0,0
23/01/2024,4.40,0,4.40,4.40,4.40,0,0,0
22/01/2024,4.40,100,4.50,4.50,4.40,0,0,0
19/01/2024,4.40,"4,600",4.60,4.60,4.30,0,0,0
18/01/2024,4.20,0,4.20,4.20,4.20,0,0,0
17/01/2024,4.20,"5,101",4.30,4.30,4.10,0,0,0
16/01/2024,4.50,"4,700",4.50,4.50,4.50,0,0,0
15/01/2024,4.50,"6,050",4.50,4.50,4,0,0,0
12/01/2024,4.30,"5,700",4.50,4.50,4.10,0,0,0
11/01/2024,4.30,"1,401",4.30,4.30,4.30,0,0,0
10/01/2024,4.30,"21,000",4.30,4.30,4.10,0,0,0
09/01/2024,4.50,400,4.40,4.50,4.40,0,0,0
08/01/2024,4.50,900,4.60,4.70,4.50,0,0,0
05/01/2024,4.60,"11,603",4.50,4.80,4.40,0,0,0
04/01/2024,4.80,"10,700",4.70,4.80,4.30,0,0,0
03/01/2024,4.70,"38,100",4.60,4.70,4.20,0,0,0
02/01/2024,4.60,100,4.60,4.60,4.60,0,0,0
29/12/2023,4.60,"11,000",4.70,4.70,4.10,0,0,0
28/12/2023,4.50,"1,400",4.40,4.50,4.40,0,0,0
