Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,8.60,"69,300",8.50,8.60,8.40,0,0,0
20/03/2025,8.60,"23,900",8.60,8.60,8.50,0,0,0
19/03/2025,8.70,"13,100",8.70,8.70,8.60,0,0,0
18/03/2025,8.80,"53,700",8.80,8.80,8.60,0,0,0
17/03/2025,8.80,"49,100",8.70,9,8.60,0,0,0
14/03/2025,8.80,"13,200",8.70,9,8.70,0,0,0
13/03/2025,8.80,"74,400",9.20,9.20,8.70,0,0,0
12/03/2025,9.10,"45,800",9.20,9.30,9.10,0,0,0
11/03/2025,9.20,"140,400",8.90,9.30,8.80,0,0,0
10/03/2025,9,"121,200",8.40,9,8.40,0,0,0
07/03/2025,8.60,"3,200",8.50,8.60,8.50,0,0,0
06/03/2025,8.50,"14,700",8.50,8.50,8.40,0,0,0
05/03/2025,8.60,"13,600",8.50,8.60,8.50,0,0,0
04/03/2025,8.60,"58,500",8.50,8.60,8.50,0,0,0
03/03/2025,8.60,"25,700",8.50,8.60,8.50,0,0,0
28/02/2025,8.60,"67,900",8.50,8.60,8.50,0,0,0
27/02/2025,8.60,"25,900",8.50,8.60,8.50,0,0,0
26/02/2025,8.50,"13,700",8.50,8.50,8.50,0,0,0
25/02/2025,8.50,"74,000",8.50,8.50,8.50,0,0,0
24/02/2025,8.50,"14,600",8.60,8.60,8.50,0,0,0
21/02/2025,8.60,"6,600",8.60,8.60,8.50,0,0,0
20/02/2025,8.60,"18,400",8.50,8.70,8.50,0,0,0
19/02/2025,8.50,"10,000",8.50,8.50,8.50,0,0,0
18/02/2025,8.40,"48,800",8.40,8.50,8.40,0,0,0
17/02/2025,8.40,"48,800",8.40,8.60,8.40,0,0,0
14/02/2025,8.40,"3,400",8.40,8.50,8.40,0,0,0
13/02/2025,8.40,"1,600",8.50,8.50,8.40,0,0,0
12/02/2025,8.50,"4,500",8.40,8.50,8.30,0,0,0
11/02/2025,8.40,"18,100",8.40,8.40,8.40,0,0,0
10/02/2025,8.40,"3,700",8.40,8.40,8.40,0,0,0
07/02/2025,8.40,"4,000",8.40,8.40,8.40,0,0,0
06/02/2025,8.40,"16,301",8.30,8.40,8.30,0,0,0
05/02/2025,8.50,"17,004",8.40,8.50,8.40,0,0,0
04/02/2025,8.40,"9,300",8.50,8.50,8.40,0,0,0
03/02/2025,8.50,"2,800",8.40,8.50,8.40,0,0,0
24/01/2025,8.40,"2,293",8.40,8.40,8.40,0,0,0
23/01/2025,8.30,"3,372",8.40,8.40,8.30,0,0,0
22/01/2025,8.20,"1,843",8.30,8.30,8.20,0,0,0
21/01/2025,8.40,"5,762",8.30,8.40,8.30,0,0,0
20/01/2025,8.40,"13,250",8.30,8.40,8.30,0,0,0
17/01/2025,8.50,"8,392",8.40,8.50,8.30,0,0,0
16/01/2025,8.40,"6,139",8.30,8.50,8.30,0,0,0
15/01/2025,8.40,"10,823",8.30,8.50,8.30,0,0,0
14/01/2025,8.60,"3,232",8.40,8.60,8.30,0,0,0
13/01/2025,8.40,"15,605",8.40,8.40,8.20,0,0,0
10/01/2025,8.40,"5,603",8.40,8.50,8.40,0,0,0
09/01/2025,8.40,"4,800",8.50,8.50,8.40,0,0,0
08/01/2025,8.50,906,8.40,8.50,8.40,0,0,0
07/01/2025,8.50,"7,300",8.60,8.60,8.50,0,0,0
06/01/2025,8.50,"5,200",8.60,8.60,8.50,0,0,0
03/01/2025,8.50,"1,141",8.40,8.50,8.40,0,0,0
02/01/2025,8.50,"1,800",8.40,8.50,8.40,0,0,0
31/12/2024,8.50,"1,800",8.40,8.50,8.40,0,0,0
30/12/2024,8.50,"14,600",8.40,8.50,8.40,0,0,0
27/12/2024,8.50,"3,853",8.40,8.50,8.40,0,0,0
26/12/2024,8.50,"31,369",8.50,8.50,8.40,0,0,0
25/12/2024,8.50,"42,804",8.50,8.60,8.40,0,0,0
24/12/2024,8.60,"21,596",8.40,8.60,8.30,0,0,0
23/12/2024,8.30,"1,195",8.40,8.40,8.30,0,0,0
20/12/2024,8.70,200,8.60,8.70,8.60,0,0,0
19/12/2024,8.70,"5,600",8.60,8.70,8.50,0,0,0
18/12/2024,8.70,"2,304",8.10,8.70,8.10,0,0,0
17/12/2024,8.80,100,8.80,8.80,8.80,0,0,0
16/12/2024,8.60,"3,235",8.60,8.60,8.50,0,0,0
13/12/2024,8.70,"8,001",8.50,8.70,8.50,0,0,0
12/12/2024,8.60,"29,900",8.40,8.60,8.30,0,0,0
11/12/2024,8.60,"8,600",8.40,8.60,8.30,0,0,0
10/12/2024,8.60,"32,701",8.60,8.60,8,0,0,0
09/12/2024,8.70,"7,400",8.70,8.70,8.60,0,0,0
06/12/2024,8.70,"31,400",8.60,8.70,8.60,0,0,0
05/12/2024,8.50,200,8.50,8.50,8.50,0,0,0
04/12/2024,8.70,"20,711",8.70,8.70,8.50,0,0,0
03/12/2024,8.70,"10,200",8.50,8.70,8.50,0,0,0
02/12/2024,8.70,111,8.70,8.70,8.70,0,0,0
29/11/2024,8.80,"5,001",8.50,8.90,8.40,0,0,0
28/11/2024,8.70,"2,800",8.60,8.70,8.60,0,0,0
27/11/2024,8.70,700,8.60,8.70,8.60,0,0,0
26/11/2024,8.70,"2,300",8.50,8.70,8.40,0,0,0
25/11/2024,8.70,300,8.70,8.70,8.70,0,0,0
