Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,10.80,100,10.80,10.80,10.80,0,0,0
20/03/2025,9.70,0,9.70,9.70,9.70,0,0,0
19/03/2025,9.70,500,9.70,9.70,9.70,0,0,0
18/03/2025,9.90,0,9.90,9.90,9.90,0,0,0
17/03/2025,9.90,0,9.90,9.90,9.90,0,0,0
14/03/2025,9.90,0,9.90,9.90,9.90,0,0,0
13/03/2025,9.90,0,9.90,9.90,9.90,0,0,0
12/03/2025,9.90,0,9.90,9.90,9.90,0,0,0
11/03/2025,9.90,200,9.90,9.90,9.90,0,0,0
10/03/2025,9.90,200,8.80,9.90,8.80,0,0,0
07/03/2025,8.90,"1,300",8.60,8.90,8.60,0,0,0
06/03/2025,9.30,"1,800",9.80,9.80,9.30,0,0,0
05/03/2025,9.90,100,9.90,9.90,9.90,0,0,0
04/03/2025,8.80,"1,200",9.80,11.20,8.70,0,0,0
03/03/2025,9.80,"1,200",9.80,9.80,9.80,0,0,0
28/02/2025,11.50,100,11.50,11.50,11.50,0,0,0
27/02/2025,10.30,"2,800",13,13,10.20,0,0,0
26/02/2025,12.50,200,11.50,12.50,11.50,0,0,0
25/02/2025,11.50,0,11.50,11.50,11.50,0,0,0
24/02/2025,11.50,100,11.50,11.50,11.50,0,0,0
21/02/2025,10.40,200,10.80,10.80,10.40,0,0,0
20/02/2025,10.10,300,10.10,10.10,10.10,0,0,0
19/02/2025,10.20,0,10.20,10.20,10.20,0,0,0
18/02/2025,10.20,0,10.20,10.20,10.20,0,0,0
17/02/2025,10.20,100,10.20,10.20,10.20,0,0,0
14/02/2025,10.10,"1,600",10,10.10,9.40,0,0,0
13/02/2025,10.10,100,10.10,10.10,10.10,0,0,0
12/02/2025,9.40,"1,527",9.40,10.70,9.40,0,0,0
11/02/2025,9.20,"2,900",9.40,9.40,9.10,0,0,0
10/02/2025,9.40,500,9.40,9.40,9.40,0,0,0
07/02/2025,9.40,500,9.40,9.40,9.40,0,0,0
06/02/2025,9.40,733,9.40,9.40,9.40,0,0,0
05/02/2025,9.40,100,9.40,9.40,9.40,0,0,0
04/02/2025,9.40,0,9.40,9.40,9.40,0,0,0
03/02/2025,9.40,0,9.40,9.40,9.40,0,0,0
24/01/2025,9.40,0,9.40,9.40,9.40,0,0,0
23/01/2025,9.40,100,9.40,9.40,9.40,0,0,0
22/01/2025,8.80,400,8.80,8.80,8.80,0,0,0
21/01/2025,8.80,300,8.80,8.80,8.80,0,0,0
20/01/2025,8.80,300,8.80,8.80,8.80,0,0,0
17/01/2025,8.80,0,8.80,8.80,8.80,0,0,0
16/01/2025,8.80,0,8.80,8.80,8.80,0,0,0
15/01/2025,8.80,0,8.80,8.80,8.80,0,0,0
14/01/2025,8.80,0,8.80,8.80,8.80,0,0,0
13/01/2025,8.80,1,8.80,8.80,8.80,0,0,0
10/01/2025,8.80,"5,400",8.80,8.80,8.80,0,0,0
09/01/2025,10.20,0,10.20,10.20,10.20,0,0,0
08/01/2025,10.20,0,10.20,10.20,10.20,0,0,0
07/01/2025,10.20,0,10.20,10.20,10.20,0,0,0
06/01/2025,10.20,0,10.20,10.20,10.20,0,0,0
03/01/2025,10.20,0,10.20,10.20,10.20,0,0,0
02/01/2025,10.20,0,10.20,10.20,10.20,0,0,0
31/12/2024,10.20,200,10.20,10.20,10.20,0,0,0
30/12/2024,9,"1,900",9.20,9.20,9,0,0,0
27/12/2024,10.50,200,10.50,10.50,10.50,0,0,0
26/12/2024,9.30,100,9.30,9.30,9.30,0,0,0
25/12/2024,8.80,800,9.40,9.40,8.80,0,0,0
24/12/2024,8.80,"1,800",9,9,8.80,0,0,0
23/12/2024,9.30,0,9.30,9.30,9.30,0,0,0
20/12/2024,9.30,200,9.30,9.30,9.30,0,0,0
19/12/2024,9.90,300,9.30,9.90,9.30,0,0,0
18/12/2024,9.30,500,9.50,9.50,8.60,0,0,0
17/12/2024,8.50,500,11.20,11.20,8.50,0,0,0
16/12/2024,10,101,10,10,10,0,0,0
13/12/2024,8.70,"6,673",11.60,11.60,8.70,0,0,0
12/12/2024,10.20,800,10.20,10.50,10.20,0,0,0
11/12/2024,12,0,12,12,12,0,0,0
10/12/2024,12,0,12,12,12,0,0,0
09/12/2024,12,0,12,12,12,0,0,0
06/12/2024,12,0,12,12,12,0,0,0
05/12/2024,12,1,12,12,12,0,0,0
04/12/2024,12,0,12,12,12,0,0,0
03/12/2024,12,0,12,12,12,0,0,0
02/12/2024,12,100,12,12,12,0,0,0
29/11/2024,10.80,100,10.80,10.80,10.80,0,0,0
28/11/2024,9.10,700,10.10,10.10,9.10,0,0,0
27/11/2024,10.10,600,13.20,13.20,10.10,0,0,0
26/11/2024,12.30,224,11.20,12.30,11.20,0,0,0
25/11/2024,11.30,0,11.30,11.30,11.30,0,0,0
22/11/2024,11.30,0,11.30,11.30,11.30,0,0,0
21/11/2024,11.30,100,11.30,11.30,11.30,0,0,0
20/11/2024,10,300,10.30,10.30,10,0,0,0
19/11/2024,10.30,0,10.30,10.30,10.30,0,0,0
18/11/2024,10.30,100,10.30,10.30,10.30,0,0,0
15/11/2024,10,100,10,10,10,0,0,0
14/11/2024,9,100,9,9,9,0,0,0
13/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
12/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
11/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
08/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
07/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
06/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
05/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
04/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
01/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
31/10/2024,8.40,0,8.40,8.40,8.40,0,0,0
30/10/2024,8.40,0,8.40,8.40,8.40,0,0,0
29/10/2024,8.40,0,8.40,8.40,8.40,0,0,0
28/10/2024,8.40,0,8.40,8.40,8.40,0,0,0
25/10/2024,8.40,0,8.40,8.40,8.40,0,0,0
24/10/2024,8.40,0,8.40,8.40,8.40,0,0,0
23/10/2024,8.40,0,8.40,8.40,8.40,0,0,0
22/10/2024,9.10,1,8.40,8.40,8.40,0,0,0
21/10/2024,8.40,0,8.40,8.40,8.40,0,0,0
18/10/2024,8.40,0,8.40,8.40,8.40,0,0,0
17/10/2024,8.40,0,8.40,8.40,8.40,0,0,0
16/10/2024,8.40,0,8.40,8.40,8.40,0,0,0
