Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,18,"22,500",18.10,18.10,17.90,0,0,0
20/03/2025,18.30,"22,500",18.40,18.40,18,0,0,0
19/03/2025,18.30,"11,900",18.40,18.40,18.20,0,0,0
18/03/2025,18.40,"15,700",18.50,18.70,18.40,0,0,0
17/03/2025,18.50,"21,500",18.90,18.90,18.40,0,0,0
14/03/2025,18.80,"21,000",19,19,18.80,0,0,0
13/03/2025,19,"6,300",19,19.20,19,0,0,0
12/03/2025,19,"15,300",19.20,19.20,19,0,0,0
11/03/2025,19.30,"5,000",19,19.30,19,0,0,0
10/03/2025,19,"15,700",19.40,19.40,19,0,0,0
07/03/2025,19.30,"10,400",19.40,19.40,19.30,0,0,0
06/03/2025,19.30,"14,800",19.40,19.50,19.30,0,0,0
05/03/2025,19.20,"5,600",20,20,19.20,0,0,0
04/03/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  14.4%,,,,,,,,
04/03/2025,19.50,"1,100",20.30,20.30,19.50,0,0,0
03/03/2025,18.96,"13,100",19.05,19.05,18.87,0,0,0
28/02/2025,18.68,"22,900",18.96,19.05,18.68,0,0,0
27/02/2025,19.05,"3,000",19.05,19.05,18.96,0,0,0
26/02/2025,18.87,800,18.87,18.87,18.87,0,0,0
25/02/2025,18.68,"38,900",18.59,19.52,18.59,0,0,0
24/02/2025,18.40,"11,700",18.59,18.59,18.40,0,0,0
21/02/2025,18.59,"10,600",19.42,19.42,18.59,0,0,0
20/02/2025,18.59,"4,700",20.82,20.82,18.59,0,0,0
19/02/2025,18.59,"15,600",18.59,18.59,18.59,0,0,0
18/02/2025,18.59,"2,700",18.87,18.87,18.59,0,0,0
17/02/2025,19.42,600,18.59,21.10,18.59,0,0,0
14/02/2025,19.05,400,19.05,19.05,19.05,0,0,0
13/02/2025,19.15,"1,000",19.15,19.15,19.15,0,0,0
12/02/2025,19.15,"4,800",20.45,20.45,19.15,0,0,0
11/02/2025,19.70,"3,502",19.61,19.70,19.42,0,0,0
10/02/2025,19.05,100,19.05,19.05,19.05,0,0,0
07/02/2025,19.05,100,19.05,19.05,19.05,0,0,0
06/02/2025,19.52,"1,900",18.68,19.52,18.59,0,0,0
05/02/2025,19.52,"1,300",19.80,19.80,19.42,0,0,0
04/02/2025,19.42,"1,000",20.17,20.17,19.42,0,0,0
03/02/2025,19.15,100,19.15,19.15,19.15,0,0,0
24/01/2025,18.59,"1,700",18.59,18.59,18.59,0,0,0
23/01/2025,18.59,"2,400",20.35,20.35,18.59,0,0,0
22/01/2025,18.59,"4,400",18.59,18.59,18.59,0,0,0
21/01/2025,18.59,"2,000",20.35,20.35,18.59,0,0,0
20/01/2025,18.59,"7,562",18.59,18.59,18.59,0,0,0
17/01/2025,19.15,"6,100",18.59,19.15,18.59,0,0,0
16/01/2025,18.68,"11,000",18.68,18.68,18.59,0,0,0
15/01/2025,18.59,"5,000",18.59,18.59,18.59,0,0,0
14/01/2025,18.59,"1,009",18.59,18.59,18.59,0,0,0
13/01/2025,18.96,200,18.96,18.96,18.96,0,0,0
10/01/2025,19.24,"1,301",23.51,23.51,18.87,0,0,0
09/01/2025,19.42,801,25.28,25.28,18.87,0,0,0
08/01/2025,19.42,12,22.12,22.12,22.12,0,0,0
07/01/2025,19.42,300,23.51,23.51,19.42,0,0,0
06/01/2025,20.54,8,20.54,20.54,20.54,0,0,0
03/01/2025,20.54,0,20.54,20.54,20.54,0,0,0
02/01/2025,20.54,200,20.54,20.54,20.54,0,0,0
31/12/2024,18.59,"2,400",18.59,20.54,18.59,0,0,0
30/12/2024,18.59,200,19.15,19.15,18.59,0,0,0
27/12/2024,21.19,900,18.59,21.19,18.59,0,0,0
26/12/2024,18.59,921,22.12,22.12,18.59,0,0,0
25/12/2024,19.42,100,19.42,19.42,19.42,0,0,0
24/12/2024,18.96,300,18.96,19.42,18.96,0,0,0
23/12/2024,22.12,2,22.12,22.12,22.12,0,0,0
20/12/2024,22.12,12,22.12,22.12,22.12,0,0,0
19/12/2024,22.12,11,22.12,22.12,22.12,0,0,0
18/12/2024,22.12,212,22.12,22.12,22.12,0,0,0
17/12/2024,18.59,305,22.21,22.21,18.59,0,0,0
16/12/2024,19.98,211,19.98,19.98,19.98,0,0,0
13/12/2024,17.01,"2,200",18.59,18.59,16.82,0,0,0
12/12/2024,18.96,0,18.96,18.96,18.96,0,0,0
11/12/2024,18.59,200,19.33,19.33,18.59,0,0,0
10/12/2024,21.56,100,21.56,21.56,21.56,0,0,0
09/12/2024,19.05,246,18.59,19.05,18.59,0,0,0
06/12/2024,22.03,300,22.21,22.21,18.59,0,0,0
05/12/2024,21.47,100,21.47,21.47,21.47,0,0,0
04/12/2024,18.77,100,18.77,18.77,18.77,0,0,0
03/12/2024,18.77,"1,550",18.59,18.77,17.47,0,0,0
02/12/2024,18.77,100,18.77,18.77,18.77,0,0,0
29/11/2024,17.38,0,17.38,17.38,17.38,0,0,0
28/11/2024,16.82,800,18.40,18.40,16.82,0,0,0
27/11/2024,17.66,0,17.66,17.66,17.66,0,0,0
26/11/2024,17.66,0,17.66,17.66,17.66,0,0,0
25/11/2024,17.66,"1,700",17.66,17.66,17.57,0,0,0
22/11/2024,17.94,0,17.94,17.94,17.94,0,0,0
21/11/2024,17.94,0,17.94,17.94,17.94,0,0,0
20/11/2024,17.94,800,17.94,17.94,17.94,0,0,0
