Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,10.70,"3,518,400",10.30,10.80,10.30,0,0,0
20/03/2025,10.40,"1,275,800",10.20,10.40,10.20,0,0,0
19/03/2025,10.10,"1,004,100",10.10,10.30,10.10,0,0,0
18/03/2025,10.10,"985,500",10.20,10.40,10,0,0,0
17/03/2025,10.30,"1,217,000",10,10.40,10,0,0,0
14/03/2025,10,"593,200",9.90,10.10,9.90,100,0,0.0
13/03/2025,10,"1,796,400",10.10,10.10,9.80,0,0,0
12/03/2025,10.10,"1,053,300",10.40,10.40,10.10,0,0,0
11/03/2025,10.30,"960,800",10.40,10.40,10.10,0,0,0
10/03/2025,10.40,"541,500",10.50,10.70,10.30,0,0,0
07/03/2025,10.40,"620,300",10.40,10.50,10.30,0,0,0
06/03/2025,10.50,"774,300",10.20,10.50,10.10,0,0,0
05/03/2025,10.20,"691,800",10.20,10.50,10.10,0,0,0
04/03/2025,10.30,"1,139,700",10.20,10.30,10,0,0,0
03/03/2025,10.20,"1,401,800",10.40,10.40,10.10,0,0,0
28/02/2025,10.40,"1,148,800",10.60,10.70,10.30,0,0,0
27/02/2025,10.60,"1,299,900",10.60,10.70,10.50,0,0,0
26/02/2025,10.60,"654,600",10.50,10.60,10.40,0,0,0
25/02/2025,10.60,"1,859,900",10.70,10.80,10.40,0,0,0
24/02/2025,10.60,"1,897,300",10.90,10.90,10.50,0,0,0
21/02/2025,10.90,"1,035,100",10.80,11,10.70,0,0,0
20/02/2025,10.90,"4,695,000",10.10,10.90,10,0,0,0
19/02/2025,10.20,"916,800",10.20,10.30,10.10,0,0,0
18/02/2025,10.20,"1,921,700",10.30,10.60,9.90,0,0,0
17/02/2025,10.30,"2,283,400",9.70,10.60,9.70,0,"5,000",-0.1
14/02/2025,9.80,"2,204,900",9.40,9.80,9.30,0,0,0
13/02/2025,9.40,"147,900",9.30,9.40,9.20,0,0,0
12/02/2025,9.30,"194,607",9.40,9.40,9.30,0,0,0
11/02/2025,9.40,"250,338",9.40,9.50,9.30,"50,000",0,0.5
10/02/2025,9.40,"544,164",9.40,9.50,9.30,"118,000",0,1.1
07/02/2025,9.40,"464,282",9.40,9.50,9.30,"102,000",0,1.0
06/02/2025,9.40,"411,281",9.40,9.50,9.30,"79,500",0,0.7
05/02/2025,9.30,"235,875",9.30,9.40,9.30,"80,000",0,0.7
04/02/2025,9.30,"376,683",9.20,9.40,9.20,0,"6,400",-0.1
03/02/2025,9.20,"64,300",9.10,9.20,9.10,0,0,0
24/01/2025,9.10,"224,472",9,9.20,9,0,0,0
23/01/2025,9,"55,703",9.10,9.10,9,0,"15,900",-0.1
22/01/2025,9,"91,274",9,9.10,8.90,0,"10,700",-0.1
21/01/2025,9,"121,778",9,9.10,8.90,0,0,0
20/01/2025,9,"86,313",9,9,8.90,0,0,0
17/01/2025,9,"138,763",9,9,8.90,0,0,0
16/01/2025,9,"57,784",9,9.10,9,0,0,0
15/01/2025,9.10,"84,924",9,9.10,9,0,0,0
14/01/2025,9.10,"113,173",8.90,9.10,8.80,0,0,0
13/01/2025,8.90,"608,810",9,9,8.80,0,0,0
