Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,59.10,"278,700",57.90,59.30,57.90,"26,300","1,000",1.5
20/03/2025,57.90,"74,000",58.40,58.90,57.80,0,0,0
19/03/2025,58,"146,600",58.50,58.80,58,"3,700",200,0.2
18/03/2025,58,"109,200",58,58.70,57.80,"2,500",0,0.1
17/03/2025,58.10,"86,800",58.40,58.70,58,100,0,0
14/03/2025,58.40,"244,700",58.40,59,57.90,"1,200",200,0.1
13/03/2025,59.30,"194,300",59.60,59.60,58.40,100,"3,200",-0.2
12/03/2025,59.60,"262,000",59.70,59.80,58,400,"17,200",-1.0
11/03/2025,59.90,"214,800",58,59.90,57.70,100,300,-0.0
10/03/2025,58.60,"424,700",58.90,59,57.50,"3,700","11,700",-0.5
07/03/2025,58.60,"211,000",58.70,59.20,58.40,"17,300","3,800",0.8
06/03/2025,58.60,"113,300",59,59,58,0,"6,500",-0.4
05/03/2025,58.50,"116,600",59.20,59.20,58.50,"3,300",0,0.2
04/03/2025,58.50,"202,100",59.50,59.50,58.50,"10,900","1,500",0.6
03/03/2025,59.50,"188,600",58.90,59.70,58.40,"9,000","5,800",0.2
28/02/2025,58.70,"128,600",59,59,58.50,"2,400","21,600",-1.1
27/02/2025,59,"81,900",59.50,59.50,58.80,0,0,0
26/02/2025,59,"94,300",59.10,59.50,59,0,"1,500",-0.1
25/02/2025,59.10,"142,300",59.80,59.90,58.60,"4,500","11,600",-0.4
24/02/2025,59.90,"93,400",59.30,59.90,58.60,0,"2,200",-0.1
21/02/2025,59.30,"195,200",59.60,60.40,58.50,"8,300",0,0.5
20/02/2025,59.60,"235,300",59,60.30,58.60,"19,000","12,800",0.4
19/02/2025,58.60,"200,300",57.60,59.40,57.50,"2,201","3,600",-0.1
18/02/2025,57.60,"102,300",58,58,57.50,"6,000",0,0.3
17/02/2025,57.80,"78,000",58.20,58.20,57.60,"10,100",0,0.6
14/02/2025,58.10,"78,300",58,58.30,57.60,"12,200",0,0.7
13/02/2025,57.60,"60,900",57.90,57.90,57.50,0,0,0
12/02/2025,57.90,"58,599",57.50,58.20,57.50,200,"5,600",-0.3
11/02/2025,57.50,"163,268",57,58.80,56.80,"5,700","4,000",0.1
10/02/2025,57.70,"252,560",59.50,59.80,57.60,0,"3,400",-0.2
07/02/2025,59.50,"107,448",60,60.20,59.40,0,"10,708",-0.6
06/02/2025,59.60,"240,782",60.10,60.80,59,"1,000",500,0.0
05/02/2025,60,"63,517",60.40,60.70,60,"3,100","18,200",-0.9
04/02/2025,60.40,"110,065",59.30,61,59.20,"1,700","17,357",-0.9
03/02/2025,59.70,"42,600",60,60,59.10,"2,000",300,0
24/01/2025,59.80,"61,084",59.90,60,59.60,100,100,0
23/01/2025,59.80,"66,903",59.10,59.80,59,100,"8,900",-0.5
22/01/2025,59,"82,599",59.90,60,59,0,900,-0.1
21/01/2025,59.90,"93,346",60.50,60.50,59.50,0,"9,100",-0.5
20/01/2025,60,"58,051",60.10,60.80,59.90,0,"19,200",-1.2
17/01/2025,60.10,"99,497",60.10,61,60,0,"31,100",-1.9
16/01/2025,60,"140,076",60,60.30,59.80,"2,400","38,400",-2.2
15/01/2025,59.90,"51,244",59.90,60.40,59.60,0,"8,700",-0.5
14/01/2025,59.50,"54,021",60,60.50,59.40,0,"7,000",-0.4
13/01/2025,59.30,"65,629",59.50,60,59,"2,400",0,0.1
10/01/2025,59.50,"188,141",60.50,61.10,59.30,0,"8,000",-0.5
09/01/2025,60.80,"87,109",61.60,61.60,60.80,0,"20,700",-1.3
08/01/2025,61.20,"52,201",61,61.50,61,0,"1,200",-0.1
07/01/2025,61,"145,172",61.10,61.40,60.70,0,0,0
06/01/2025,60.80,"264,118",62.50,62.60,60.80,100,"7,120",-0.4
03/01/2025,62.50,"152,770",63.40,63.60,62.50,0,600,-0.0
02/01/2025,63.40,"107,469",63.70,64.30,63.10,0,"37,400",-2.4
31/12/2024,63.50,"158,166",63,64,62.70,0,"7,700",-0.5
30/12/2024,63,"113,337",63.50,63.80,63,700,0,0.0
27/12/2024,63.40,"200,602",64.60,64.60,63.40,0,"21,900",-1.4
26/12/2024,64.60,"324,950",64,65.20,63.60,"19,300","6,600",0.8
25/12/2024,63.90,"227,803",64,64.40,63.40,0,"1,300",-0.1
24/12/2024,63.80,"431,851",62,64.40,61.80,"22,000","10,300",0.7
23/12/2024,61.90,"96,738",61.70,62.50,61.70,"6,200",600,0.3
20/12/2024,61.70,"203,456",62,62.50,61.20,"2,500",0,0.2
19/12/2024,61.80,"186,926",62.80,62.80,61.30,400,"1,000",-0.0
18/12/2024,62.40,"287,498",63,63,61.80,0,800,-0.0
17/12/2024,61.90,"129,356",61.50,62.20,61.50,0,"2,700",-0.2
16/12/2024,61.50,"180,044",62.20,62.30,61.40,0,600,-0.0
13/12/2024,62.20,"163,186",62.80,62.90,62.20,0,0,0
12/12/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  20%,,,,,,,,
12/12/2024,62.80,"165,171",63,64.60,62.80,500,"10,700",-0.6
11/12/2024,62.80,"215,788",62.99,63.28,62.61,0,"11,700",-0.8
10/12/2024,62.99,"295,815",63.19,63.77,62.51,"3,000","4,400",-0.1
09/12/2024,63.19,"590,012",64.84,64.93,63.09,"8,800","9,500",-0.1
06/12/2024,64.74,"290,065",65.71,66.29,64.74,"16,300","3,100",0.9
05/12/2024,65.03,"312,919",64.54,65.51,64.45,"13,200","5,600",0.5
04/12/2024,64.74,"286,321",64.35,65.61,64.06,"9,500","12,200",-0.2
03/12/2024,64.16,"248,958",63.96,65.32,63.96,"5,900","9,600",-0.2
02/12/2024,64.06,"144,828",63.87,64.06,63.38,0,"8,900",-0.6
29/11/2024,63.67,"244,769",62.32,64.25,62.02,"11,100","7,062",0.3
28/11/2024,62.32,"118,253",63.19,63.28,62.32,0,"10,500",-0.7
