Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,3.40,"18,300",3.40,3.40,3.40,0,0,0
20/03/2025,3.40,"27,100",3.40,3.40,3.40,0,0,0
19/03/2025,3.40,"10,800",3.40,3.40,3.40,0,0,0
18/03/2025,3.30,"6,300",3.30,3.30,3.30,0,0,0
17/03/2025,3.30,"8,700",3.30,3.30,3.30,0,0,0
14/03/2025,3.30,"28,500",3.30,3.30,3.30,0,0,0
13/03/2025,3.40,200,3.30,3.40,3.30,0,0,0
12/03/2025,3.40,400,3.40,3.40,3.40,0,0,0
11/03/2025,3.50,"9,000",3.30,3.50,3.30,0,0,0
10/03/2025,3.30,"7,400",3.30,3.30,3.30,0,0,0
07/03/2025,3.30,"4,500",3.30,3.30,3.30,0,0,0
06/03/2025,3.30,"5,200",3.30,3.30,3.30,0,0,0
05/03/2025,3.30,"2,000",3.40,3.40,3.30,0,0,0
04/03/2025,3.40,"16,300",3.40,3.40,3.40,0,0,0
03/03/2025,3.30,"24,400",3.30,3.30,3.30,0,0,0
28/02/2025,3.30,"12,000",3.30,3.30,3.30,0,0,0
27/02/2025,3.30,"28,600",3.30,3.40,3.20,0,0,0
26/02/2025,3.40,400,3.40,3.40,3.30,0,0,0
25/02/2025,3.40,"12,300",3.40,3.40,3.20,0,0,0
24/02/2025,3.30,"38,100",3.40,3.40,3.30,0,0,0
21/02/2025,3.60,"23,300",3.70,3.80,3.40,0,0,0
20/02/2025,3.50,"86,400",3.30,3.60,3.30,0,0,0
19/02/2025,3.30,"21,300",3.40,3.40,3.30,0,0,0
18/02/2025,3.40,"23,600",3.30,3.50,3.30,0,0,0
17/02/2025,3.30,"21,300",3.30,3.30,3.20,0,0,0
14/02/2025,3.30,"41,300",3.30,3.30,3.20,0,0,0
13/02/2025,3.30,"7,800",3.40,3.40,3.20,0,0,0
12/02/2025,3.40,300,3.40,3.40,3.40,0,0,0
11/02/2025,3.40,"2,100",3.50,3.50,3.40,0,0,0
10/02/2025,3.50,"7,700",3.30,3.50,3.30,0,0,0
07/02/2025,3.30,"1,600",3.30,3.30,3.30,0,0,0
06/02/2025,3.30,"9,800",3.30,3.30,3.20,0,0,0
05/02/2025,3.30,"5,800",3.20,3.40,3.20,0,0,0
04/02/2025,3.40,"5,700",3.30,3.40,3.20,0,0,0
03/02/2025,3.40,"26,500",3.30,3.40,3.30,0,0,0
24/01/2025,3.40,"11,610",3.40,3.50,3.40,0,0,0
23/01/2025,3.40,"32,700",3.50,3.50,3.30,0,0,0
22/01/2025,3.50,"40,300",3.50,3.70,3.40,0,0,0
21/01/2025,3.50,"66,100",3.50,3.70,3.50,0,0,0
20/01/2025,3.40,"84,408",3.80,3.90,3.40,0,0,0
17/01/2025,3.60,"38,523",3.40,3.60,3.40,0,0,0
16/01/2025,3.30,"62,500",3.40,3.40,3.30,0,0,0
15/01/2025,3.60,"15,708",3.70,4.20,3.60,0,0,0
14/01/2025,4,"56,210",4.10,4.10,3.80,0,0,0
13/01/2025,3.80,"142,000",3.60,3.80,3.60,0,0,0
10/01/2025,3.50,"11,800",3.50,3.50,3.50,0,0,0
09/01/2025,3.50,"38,600",3.40,3.50,3.40,0,0,0
08/01/2025,3.50,"4,300",3.40,3.50,3.40,0,0,0
07/01/2025,3.50,"3,200",3.40,3.50,3.40,0,0,0
06/01/2025,3.40,"11,700",3.50,3.50,3.20,0,0,0
03/01/2025,3.50,"4,100",3.40,3.50,3.40,0,0,0
02/01/2025,3.40,100,3.40,3.40,3.40,0,0,0
31/12/2024,3.40,"5,102",3.30,3.40,3.30,0,0,0
30/12/2024,3.30,"6,000",3.30,3.30,3.30,0,0,0
27/12/2024,3.40,"7,900",3.30,3.40,3.30,0,0,0
26/12/2024,3.30,"31,400",3.30,3.40,3.30,0,0,0
25/12/2024,3.30,"5,500",3.20,3.30,3.10,0,0,0
24/12/2024,3.30,300,3.20,3.30,3.20,0,0,0
23/12/2024,3.30,"3,200",3.20,3.30,3.20,0,0,0
20/12/2024,3.20,"12,000",3,3.20,3,0,0,0
19/12/2024,3.20,"30,600",3.10,3.20,3.10,0,0,0
18/12/2024,3.20,"4,600",3,3.20,3,0,0,0
17/12/2024,3.20,"21,200",3.10,3.20,3.10,0,0,0
16/12/2024,3.10,900,3,3.10,3,0,0,0
13/12/2024,3,"1,500",3.10,3.20,3,0,0,0
12/12/2024,3.20,"1,200",3,3.20,3,0,0,0
11/12/2024,3.20,0,3.20,3.20,3.20,0,0,0
10/12/2024,3.20,0,3.20,3.20,3.20,0,0,0
09/12/2024,3.20,"4,500",3,3.20,3,0,0,0
06/12/2024,3.20,500,3,3.20,3,0,0,0
05/12/2024,3.20,0,3.20,3.20,3.20,0,0,0
04/12/2024,3.20,"2,200",3.10,3.20,3.10,0,0,0
03/12/2024,3.10,"12,800",3.10,3.20,3.10,0,0,0
