Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,29.20,"194,000",28.80,29.80,27,"23,100","13,600",0.3
20/03/2025,29.30,"580,700",29.30,29.70,28.70,"15,300","11,600",0.1
19/03/2025,29.30,"607,600",29.90,29.90,29,"6,000","5,000",0.0
18/03/2025,29.60,"560,700",30.10,30.70,29.50,"22,000","18,000",0.1
17/03/2025,30,"580,700",29.20,30.40,29.20,"35,900","9,700",0
14/03/2025,29.30,"1,242,600",30.40,30.60,29.10,"5,000","18,800",-0.4
13/03/2025,30.40,"1,042,100",31,31.70,30.40,"20,200",0,0.6
12/03/2025,31,"564,300",31.20,31.80,31,"2,900","13,600",-0.3
11/03/2025,31.20,"807,400",31.30,31.60,29.70,"35,300","23,500",0.3
10/03/2025,31.50,"674,800",31.80,32,31.40,0,"24,000",-0.8
07/03/2025,31.80,"1,026,000",32,32.20,31.30,0,"48,100",-1.5
06/03/2025,31.90,"901,600",30.80,31.90,30.80,"45,400","18,200",0.9
05/03/2025,30.80,"506,900",31.60,31.70,30.80,0,0,0
04/03/2025,31.40,"1,105,100",30.80,31.70,30.50,"72,100","14,800",1.8
03/03/2025,31,"1,163,400",31.90,31.90,30.80,"18,200","2,100",0.5
28/02/2025,31.80,"754,500",32.20,32.20,31.50,0,"49,090",-1.6
27/02/2025,32.20,"2,754,000",30.80,32.90,30,"14,800","19,600",-0.2
26/02/2025,30.40,"636,200",30.50,31,30,0,400,-0.0
25/02/2025,30.50,"567,100",30.60,30.80,30,"16,300","12,900",0.1
24/02/2025,30.50,"1,556,400",29.30,31.50,29.20,"19,200","121,500",-3.2
21/02/2025,28.70,"778,500",29,29.20,28.50,"35,500","23,173",0.3
20/02/2025,29.10,"654,800",29.20,29.60,29,"12,700","76,400",-1.9
19/02/2025,29.30,"1,145,000",28.20,29.40,28.20,"33,800","53,701",-0.6
18/02/2025,28.20,"717,400",27.50,28.70,27.50,0,"60,305",-1.7
17/02/2025,27.60,"434,200",27.80,28.10,27.60,"20,000","14,000",0.2
14/02/2025,27.80,"534,400",27.60,28.40,27.60,"36,400","21,400",0.4
13/02/2025,27.60,"376,900",27.30,27.90,27.10,"36,800","38,300",-0.0
12/02/2025,27.30,"413,947",27.80,28,27.10,"18,000","30,800",-0.4
11/02/2025,27.90,"741,472",26.80,28,26.30,"64,200","22,800",1.1
10/02/2025,27.10,"1,035,859",28.50,28.50,27.10,"106,200",0,3.0
07/02/2025,28.30,"782,547",29.50,29.50,28.30,"14,300","41,400",-0.8
06/02/2025,29,"758,820",28.40,29.50,28.30,"42,600","11,100",0.9
05/02/2025,28.40,"722,050",28.80,29.20,28,"28,000","44,010",-0.5
04/02/2025,28.60,"738,701",24.80,29.20,24.80,500,"80,400",-2.2
03/02/2025,27.50,"1,611,900",25.40,27.50,25.40,"52,300","60,300",0
24/01/2025,25,"323,066",25,25.50,24.90,"31,400",0,0.8
23/01/2025,24.90,"240,700",24.70,25.30,24.70,"20,800","3,000",0.4
22/01/2025,24.70,"295,474",24.70,25.30,24.70,"11,600","15,900",-0.1
21/01/2025,25.20,"270,752",25.70,25.70,25,"12,500","26,400",-0.4
20/01/2025,25.70,"224,852",26.20,26.20,25.50,"10,100","15,100",-0.1
17/01/2025,25.80,"306,075",25.70,26.10,25.70,"36,100","4,100",0.8
16/01/2025,25.80,"359,749",23.20,26.20,23.20,0,"119,600",-3.1
15/01/2025,25.70,"622,335",22.80,26.30,22.80,"51,000","94,800",-1.1
14/01/2025,25,"277,800",24.30,25.60,24.30,"31,800","94,000",-1.6
13/01/2025,25.40,"577,246",24,25.70,24,"77,200","12,900",1.6
10/01/2025,25,"633,253",26.50,26.80,25,"30,800","85,900",-1.5
09/01/2025,26.50,"399,387",27,27.10,26.50,"8,400","118,400",-2.9
08/01/2025,27.50,"567,389",25.90,27.50,24.30,"71,300",0,1.9
07/01/2025,26.70,"833,581",28.20,28.80,26.70,200,"10,200",-0.3
06/01/2025,28.20,"806,219",30.10,30.20,28,"32,400","75,600",-1.3
03/01/2025,30.10,"498,588",30.70,30.80,29.80,100,"26,308",-0.8
02/01/2025,31,"352,563",30.90,31,30.60,"10,200","67,100",-1.7
31/12/2024,31.30,"428,315",28,31.30,28,0,"9,058",-0.3
30/12/2024,31.10,"655,628",28.70,31.50,28.70,0,"25,910",-0.8
27/12/2024,31.30,"259,269",31.60,31.70,31.30,0,"12,600",-0.4
26/12/2024,31.70,"305,673",32.20,32.20,31.60,"1,700","15,200",-0.4
25/12/2024,32.20,"884,530",31.60,32.70,31.40,"57,100","49,700",0.2
24/12/2024,31.60,"352,131",31.70,31.70,30.80,"2,400","16,800",-0.5
23/12/2024,31.80,"252,878",31.80,31.90,31.40,0,"50,600",-1.6
20/12/2024,31.80,"308,065",31.50,31.90,31.20,"68,500",0,2.2
19/12/2024,31.60,"546,685",31.80,32.10,30.60,"20,900","7,700",0.4
18/12/2024,31.90,"264,315",31,31.90,31,0,100,-0.0
17/12/2024,31.10,"401,909",31.60,31.90,31.10,0,"72,100",-2.3
16/12/2024,31.40,"276,608",31.80,32,31.30,0,"5,600",-0.2
13/12/2024,31.80,"491,047",32.60,32.90,31.60,0,"63,300",-2.0
12/12/2024,32.30,"394,212",32.40,32.80,32.20,100,"15,600",-0.5
11/12/2024,32.80,"618,325",33,33.10,32.30,800,"37,800",-1.2
10/12/2024,33,"739,656",33.30,33.50,32.80,"52,400","21,900",1.0
09/12/2024,33,"861,100",32.80,33.30,32.60,"44,200","74,100",-1.0
06/12/2024,32.40,"580,399",32.80,33.10,32.40,"11,400","56,700",-1.5
05/12/2024,32.70,"1,301,302",31.60,32.70,30.90,"42,300","21,300",0.7
04/12/2024,31.50,"426,148",31.50,31.80,31.20,"128,200","9,900",3.7
03/12/2024,31.40,"517,089",32,32,31.40,"5,200","50,500",-1.4
02/12/2024,31.80,"398,233",32.40,32.60,31.80,"7,100","2,300",0.2
29/11/2024,32.30,"386,039",32.10,32.50,31.80,0,"18,500",-0.6
28/11/2024,32.40,"504,528",32.20,32.60,32,0,"2,300",-0.1
27/11/2024,32.10,"258,900",32.30,32.30,32,"2,000",300,0.1
26/11/2024,32.50,"855,376",31.70,32.70,31.70,"159,300","4,100",5.0
25/11/2024,31.70,"247,582",32,32,31.50,0,"106,200",-3.4
22/11/2024,32,"537,970",31.60,32.10,31.40,"169,800","23,300",4.7
21/11/2024,31.50,"171,758",31.50,31.50,31.20,0,"23,200",-0.7
20/11/2024,31.30,"890,236",30.70,32,30.20,"17,600","33,200",-0.5
19/11/2024,30.70,"360,438",28.60,31.50,28.60,50,"35,500",-1.1
18/11/2024,31.30,"676,787",31,32,30.70,"70,200","123,400",-1.7
15/11/2024,31,"1,154,033",32.10,32.30,30.40,"23,240","36,000",-0.4
14/11/2024,32.10,"953,563",34.40,34.80,31.90,"24,800","133,500",-3.7
13/11/2024,34.20,"699,322",34,34.20,33.20,"78,400","8,800",2.4
12/11/2024,34.20,"470,872",34.30,35.20,34.20,"36,000","2,800",1.2
11/11/2024,34.30,"747,622",33,34.50,31,"30,300","45,300",-0.5
08/11/2024,34,"829,294",34.40,34.80,33.80,"8,600","36,600",-1.0
07/11/2024,34.60,"342,818",34.60,35,34.40,"13,000","5,400",0.3
06/11/2024,34.50,"640,620",30.30,34.50,30.30,0,0,0
05/11/2024,33.60,"439,776",33.30,33.80,33.30,"81,000","1,700",2.7
04/11/2024,33.60,"582,148",33.80,33.80,32.80,"35,900","23,800",0.4
01/11/2024,33.80,"884,848",34.50,34.50,33.20,0,"71,100",-2.4
31/10/2024,34.50,"348,231",34.90,35,34.50,"1,700",0,0.1
30/10/2024,34.90,"460,980",35,35.10,34.40,"33,300",0,1.2
29/10/2024,35,"468,256",34.50,35.10,33.50,"39,800","36,300",0.1
28/10/2024,34.90,"433,429",34.40,35.60,34.40,"3,800","56,600",-1.8
25/10/2024,34.40,"426,302",34.60,34.80,34.30,100,"65,500",-2.3
24/10/2024,34.50,"754,894",37,38.10,34.10,"39,500","4,500",1.2
23/10/2024,35.30,"693,708",34.60,35.30,33.90,"51,600","13,100",1.3
22/10/2024,34.60,"1,710,466",36.80,36.90,33.20,"82,900","32,600",1.7
21/10/2024,35.50,"964,153",37.60,37.60,35.50,"8,800","17,900",-0.4
18/10/2024,37.60,"686,102",38.20,38.70,37.60,"13,100","48,800",-1.4
17/10/2024,38.10,"807,784",38.10,38.40,37.20,"21,600","1,100",0.8
16/10/2024,38,"534,182",37.70,38,37.50,"6,500","5,900",0.0
15/10/2024,37.70,"647,468",38.10,38.40,37.50,"39,500","1,300",1.4
14/10/2024,38,"500,721",38.10,38.50,37.60,"1,100","52,200",-1.9
11/10/2024,38.10,"582,283",37.60,38.20,37.20,"5,900","36,392",-1.2
10/10/2024,37.60,"663,283",38.20,38.50,37.60,0,0,0
09/10/2024,38.20,"586,770",38.50,38.50,38,"10,000","92,100",-3.1
08/10/2024,38.20,"1,186,145",37.40,38.80,37,"33,700","19,300",0.6
07/10/2024,37.40,"333,827",37.30,37.70,37.10,0,"24,200",-0.9
04/10/2024,37.30,"730,107",37,37.70,36.90,"144,200","70,200",2.7
03/10/2024,37,"1,450,548",38.20,38.40,37,"9,300","68,700",-2.2
02/10/2024,38.20,"616,153",38.60,38.60,38,"23,000","36,100",-0.5
01/10/2024,38.50,"1,470,326",39,40.10,38,"13,400","22,282",-0.4
30/09/2024,39.10,"1,068,266",38.40,39.50,38.40,"29,800","127,000",-3.8
27/09/2024,38.40,"1,323,506",38,38.90,37.80,"123,500","59,700",2.5
26/09/2024,38,"724,811",38.20,38.50,37.60,"133,200","2,000",5.0
25/09/2024,38,"1,733,936",36.60,38.60,36.60,"128,200","7,330",4.6
24/09/2024,36.50,"355,354",36.40,36.70,36.20,"9,600",0,0.3
23/09/2024,36.40,"388,979",35.70,36.80,33.60,"12,000","1,200",0.4
20/09/2024,36.90,"795,240",36.90,37.30,36.80,"7,300","35,035",-1.0
19/09/2024,36.70,"1,524,296",35.80,37.20,35.80,100,"30,403",-1.1
18/09/2024,35.80,"534,794",35.50,35.90,35.10,"21,200",0,0.8
17/09/2024,35.40,"580,303",34.50,35.40,34,"10,300","40,100",-1.0
16/09/2024,34.60,"479,076",35.50,35.70,34.60,"10,000","4,300",0.2
13/09/2024,35.50,"317,846",35.80,35.90,35.40,"20,000",0,0.7
12/09/2024,35.80,"345,978",35.80,35.90,35.10,"10,000","15,100",-0.2
11/09/2024,35.40,"692,753",35.50,36.10,34.30,"4,400","9,500",-0.2
10/09/2024,35.50,"476,531",36.50,36.50,35.10,"20,000","5,700",0.5
09/09/2024,36,"772,994",35.20,36.80,34.90,0,0,0
06/09/2024,35.20,"809,590",35.80,35.80,34.90,"10,000",0,0.4
05/09/2024,35.80,"694,542",36.20,36.70,35.50,"20,500",0,0.7
04/09/2024,36.20,"646,050",36.60,36.60,35.90,0,"9,000",-0.3
30/08/2024,36.60,"586,461",36.60,37,36.40,"20,000","15,300",0.2
29/08/2024,36.70,"350,440",37.20,37.20,36.70,0,200,-0.0
28/08/2024,37.20,"1,061,940",37.20,37.40,36.10,"9,000","48,700",-1.5
27/08/2024,36.90,"814,146",37.50,37.70,36.70,"15,200","1,200",0.5
26/08/2024,37.40,"1,159,255",37.40,39,37.20,100,"41,500",-1.6
23/08/2024,37.40,"1,517,159",35.40,37.50,35.40,"57,600","9,200",1.8
22/08/2024,35.90,"524,794",36.50,36.50,35.70,0,"50,500",-1.8
21/08/2024,36.20,"954,756",36,36.80,35.60,"18,800","54,400",-1.3
20/08/2024,36,"1,188,895",35.60,36.40,35.20,"18,800","7,700",0.4
19/08/2024,35.50,"1,198,680",35,36.70,34.90,"99,000","19,100",2.8
16/08/2024,34.90,"1,631,651",32.50,35.20,32,"77,500","32,800",1.5
15/08/2024,32.10,"990,672",33.30,33.30,31.80,"7,100","118,000",-3.6
14/08/2024,33.30,"543,051",34,34.30,33.20,"10,300","3,500",0.2
13/08/2024,34,"825,649",34,34.20,33.10,"9,900","25,400",-0.5
12/08/2024,33.90,"1,220,706",32.70,33.90,32,"113,500","5,200",3.6
09/08/2024,32.60,"988,801",32,32.70,31.80,"3,500","13,400",-0.3
08/08/2024,32,"931,231",32.80,32.90,31.10,"73,600","94,000",-0.7
07/08/2024,32.80,"767,789",32.30,32.90,31.70,"68,400","86,610",-0.6
06/08/2024,32.20,"1,114,819",30.90,32.60,30.50,"40,900","131,300",-2.9
05/08/2024,31,"1,438,452",33.50,33.50,30.90,"48,700","57,800",-0.3
02/08/2024,33.90,"1,250,176",32,34.10,30.70,"140,800","23,400",3.7
01/08/2024,32,"1,731,541",34,35.10,31.50,"137,500","29,500",3.5
31/07/2024,34.40,"2,027,038",36.60,36.80,33.90,"47,100","64,200",-0.7
30/07/2024,36.60,"1,243,304",37.40,37.40,35.80,"21,300","97,500",-2.8
29/07/2024,37.40,"1,626,401",35.20,37.50,35.20,"39,300","151,300",-4.1
26/07/2024,34.80,"796,229",34.30,35,34.20,0,0,0
25/07/2024,34.30,"478,924",34.60,34.60,33.80,600,"50,600",-1.7
24/07/2024,34.60,"1,570,607",33.10,35.50,32,"152,420","80,900",2.2
"23/07/2024: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u:  100/5 (Volume + 5%, Ratio=0.05)",,,,,,,,
23/07/2024,33.30,"1,015,393",35.70,35.90,33.20,"5,920","156,000",-5.2
22/07/2024,34.19,"2,143,520",36.86,36.86,33.43,"176,340","138,700",1.4
19/07/2024,36.86,"862,019",38,38.57,36.48,"11,400","21,600",-0.4
18/07/2024,38,"1,329,648",36.38,38,36.19,"122,500","151,600",-1.1
17/07/2024,36.38,"2,476,182",40,40.19,36,"98,800","163,400",-2.7
16/07/2024,40,"1,137,798",40.76,41.43,39.14,"12,500","158,300",-6.2
15/07/2024,40.67,"599,743",40.19,40.76,39.81,"16,100","48,800",-1.4
12/07/2024,40.19,"1,328,568",39.90,41.05,38.67,"20,900","131,200",-4.6
11/07/2024,39.81,"797,418",41.90,43.33,39.62,"64,400","32,600",1.3
10/07/2024,40.76,"2,812,306",37.81,41.05,37.62,"152,500","80,941",2.9
09/07/2024,37.33,"1,091,526",37.24,37.81,36.95,"93,900","5,500",3.5
08/07/2024,37.05,"2,034,346",34.86,37.81,34.86,"221,800","59,000",6.1
05/07/2024,34.76,"692,517",34.38,34.76,33.90,"47,900","13,200",1.2
04/07/2024,34.38,"645,689",34.76,35.52,33.81,150,"109,600",-3.9
03/07/2024,34.38,"611,436",34.76,34.95,34.10,"18,000","57,400",-1.6
02/07/2024,34.67,"706,387",33.62,34.67,33.43,"20,000","16,900",0.1
