Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,30,0,30,30,30,0,0,0
20/03/2025,30,200,30,30,30,0,0,0
19/03/2025,30,100,30,30,30,0,0,0
18/03/2025,29.90,0,29.90,29.90,29.90,0,0,0
17/03/2025,29.90,0,29.90,29.90,29.90,0,0,0
14/03/2025,29.90,300,30,30,29.90,0,0,0
13/03/2025,29,0,29,29,29,0,0,0
12/03/2025,29,200,29,29,29,0,0,0
11/03/2025,28.90,"7,700",28.90,28.90,28.90,0,0,0
10/03/2025,29,500,29,29,29,0,0,0
07/03/2025,29,"4,000",29,29,29,0,0,0
06/03/2025,28.90,"6,500",29,29,28.90,0,0,0
05/03/2025,30.90,"13,800",29,30.90,28.90,0,0,0
04/03/2025,30.20,"1,500",30.50,30.50,30,0,0,0
03/03/2025,31.60,0,31.60,31.60,31.60,0,0,0
28/02/2025,31.50,"7,800",32,32,31.50,0,0,0
27/02/2025,28.80,"8,000",28.80,28.80,28.60,0,0,0
26/02/2025,30,0,30,30,30,0,0,0
25/02/2025,30,0,30,30,30,0,0,0
24/02/2025,30,300,30,30,30,0,0,0
21/02/2025,30,0,30,30,30,0,0,0
20/02/2025,30,0,30,30,30,0,0,0
19/02/2025,30,100,30,30,30,0,0,0
18/02/2025,30,0,30,30,30,0,0,0
17/02/2025,30,100,30,30,30,0,0,0
14/02/2025,30,"1,100",29.10,30,29.10,0,0,0
13/02/2025,29.20,200,29,29.20,29,0,0,0
12/02/2025,29.10,400,29,29.10,29,0,0,0
11/02/2025,29.10,500,29,29.10,29,0,0,0
10/02/2025,29,"3,100",29,29,29,0,0,0
07/02/2025,29.50,400,29.20,29.50,28.90,0,0,0
06/02/2025,29.50,200,28.90,29.50,28.90,0,0,0
05/02/2025,28.90,100,28.90,28.90,28.90,0,0,0
04/02/2025,28.80,0,28.80,28.80,28.80,0,0,0
03/02/2025,28.80,300,28.80,28.80,28.80,0,0,0
24/01/2025,33.50,300,30,33.50,30,0,0,0
23/01/2025,29.40,0,29.40,29.40,29.40,0,0,0
22/01/2025,29.40,100,29.40,29.40,29.40,0,0,0
21/01/2025,29.10,"1,100",29.50,29.50,29.10,0,0,0
20/01/2025,30.70,0,30.70,30.70,30.70,0,0,0
17/01/2025,30.90,400,30,30.90,30,0,0,0
16/01/2025,29.40,0,29.40,29.40,29.40,0,0,0
