Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,3.10,"378,600",3.20,3.20,3,0,0,0
20/03/2025,3.10,"55,400",3.20,3.20,3.10,0,0,0
19/03/2025,3.10,"36,800",3.10,3.20,3.10,0,0,0
18/03/2025,3.20,"72,400",3.10,3.20,3.10,0,0,0
17/03/2025,3.10,"144,500",3.20,3.20,3.10,0,0,0
14/03/2025,3.20,"104,100",3.10,3.20,3.10,0,0,0
13/03/2025,3.20,"73,600",3.20,3.20,3.10,0,0,0
12/03/2025,3.20,"133,000",3.20,3.20,3.10,0,0,0
11/03/2025,3.20,"106,800",3.20,3.20,3.10,0,0,0
10/03/2025,3.20,"293,200",3.20,3.30,3.20,0,0,0
07/03/2025,3.20,"150,100",3.20,3.30,3.20,0,0,0
06/03/2025,3.20,"1,111,700",3.30,3.30,3.20,0,0,0
05/03/2025,3.20,"187,700",3.30,3.40,3.20,0,0,0
04/03/2025,3.30,"146,600",3.40,3.40,3.20,0,0,0
03/03/2025,3.40,"111,500",3.30,3.40,3.20,0,0,0
28/02/2025,3.30,"186,400",3.30,3.40,3.20,0,0,0
27/02/2025,3.30,"305,300",3.40,3.40,3.30,0,0,0
26/02/2025,3.40,"1,363,100",3.40,3.50,3.30,0,0,0
25/02/2025,3.40,"355,300",3.40,3.50,3.30,0,0,0
24/02/2025,3.30,"693,200",3.50,3.60,3.30,0,0,0
21/02/2025,3.50,"1,267,300",3.20,3.50,3.10,0,0,0
20/02/2025,3.20,"483,800",3.20,3.30,3.10,0,0,0
19/02/2025,3.20,"575,600",3.20,3.30,3.10,0,0,0
18/02/2025,3.20,"183,300",3.20,3.20,3.10,0,0,0
17/02/2025,3.10,"193,400",3.10,3.20,3.10,0,0,0
14/02/2025,3.10,"170,800",3.10,3.20,3,0,0,0
13/02/2025,3.10,"105,200",3.20,3.20,3.10,0,0,0
12/02/2025,3.10,"263,196",3.20,3.20,3,0,0,0
11/02/2025,3.20,"697,929",3.10,3.30,3.10,0,0,0
10/02/2025,3.10,"624,280",3,3.20,3,0,0,0
07/02/2025,3,"297,204",3,3.10,3,0,0,0
06/02/2025,3,"246,045",2.90,3.10,2.90,0,0,0
05/02/2025,2.90,"97,325",2.90,3,2.90,0,0,0
04/02/2025,2.90,"52,597",3,3,2.90,0,0,0
03/02/2025,3,"44,700",2.90,3,2.90,0,0,0
24/01/2025,2.90,"176,374",2.90,3,2.90,0,0,0
23/01/2025,2.90,"48,425",3,3,2.90,0,0,0
22/01/2025,2.90,"42,301",3,3,2.90,0,0,0
21/01/2025,3,"19,525",3,3,2.90,0,0,0
20/01/2025,3,"54,353",3,3,2.90,0,0,0
17/01/2025,3,"53,264",3,3,2.90,0,0,0
16/01/2025,3,"340,614",3,3,2.90,0,0,0
15/01/2025,2.90,"283,025",2.90,3,2.90,0,0,0
14/01/2025,3,"166,555",2.90,3.10,2.90,0,0,0
13/01/2025,3,"249,729",3.10,3.10,2.90,0,0,0
10/01/2025,3.10,"95,507",3,3.20,3,0,0,0
09/01/2025,3.10,"314,042",3.20,3.20,3,0,0,0
08/01/2025,3.20,"560,938",3.10,3.20,3.10,0,0,0
07/01/2025,3.10,"452,141",3.10,3.20,3,0,0,0
06/01/2025,3.10,"733,450",3,3.20,2.90,0,0,0
03/01/2025,3,"427,972",2.90,3.10,2.90,0,0,0
02/01/2025,3,"49,844",2.90,3,2.90,0,0,0
31/12/2024,3,"555,121",2.90,3,2.90,0,0,0
30/12/2024,3,"38,190",3,3,2.90,0,0,0
27/12/2024,3,"344,673",3,3.10,2.90,0,0,0
26/12/2024,3,"118,871",3.10,3.10,3,0,0,0
25/12/2024,3.10,"177,786",3,3.10,3,0,0,0
24/12/2024,3,"252,111",3,3.10,3,0,0,0
23/12/2024,3,"208,460",3,3.10,2.90,0,0,0
20/12/2024,2.90,"75,236",3,3,2.90,0,0,0
19/12/2024,2.90,"73,520",3,3,2.90,0,0,0
18/12/2024,3,"68,105",3,3,2.90,0,0,0
17/12/2024,3,"66,610",3,3,2.90,0,0,0
16/12/2024,3,"216,779",3.10,3.10,2.90,0,0,0
13/12/2024,3,"54,995",3.10,3.10,3,0,0,0
12/12/2024,3,"67,532",3.10,3.10,3,0,0,0
11/12/2024,3,"10,817",3,3.10,3,0,0,0
10/12/2024,3,"189,727",3.10,3.10,3,0,0,0
09/12/2024,3,"310,173",3,3.10,3,0,0,0
06/12/2024,3,"161,758",3,3.20,3,0,0,0
05/12/2024,3.10,"92,762",3,3.20,3,0,0,0
04/12/2024,3.10,"548,312",3,3.10,2.90,0,0,0
03/12/2024,3,"28,990",3,3,2.90,0,0,0
02/12/2024,3,"201,841",3,3,2.90,0,0,0
29/11/2024,3,"22,882",2.90,3,2.90,0,0,0
28/11/2024,2.90,"37,582",2.90,3,2.90,0,0,0
27/11/2024,2.90,"99,321",3,3,2.90,0,0,0
26/11/2024,3,"97,965",3,3,2.90,0,0,0
25/11/2024,2.90,"49,299",2.90,3,2.90,0,0,0
22/11/2024,3,"29,782",2.90,3,2.90,0,0,0
21/11/2024,2.90,"17,468",3,3,2.90,0,0,0
20/11/2024,3,"33,585",2.90,3,2.90,0,0,0
19/11/2024,2.90,"41,662",2.90,3,2.90,0,0,0
18/11/2024,3,"25,186",3,3,2.90,0,0,0
15/11/2024,3,"80,821",2.90,3,2.90,0,0,0
14/11/2024,2.90,"77,894",3.10,3.10,2.90,0,0,0
13/11/2024,3.10,"353,174",3.10,3.10,2.90,0,0,0
12/11/2024,3.10,"202,871",3.10,3.10,2.90,0,0,0
11/11/2024,3,"354,653",3,3.10,2.90,0,0,0
08/11/2024,3,"336,441",3.10,3.10,3,0,0,0
07/11/2024,3.10,"125,108",3.10,3.20,3,0,0,0
06/11/2024,3.20,"210,393",3,3.20,3,0,0,0
05/11/2024,3.10,"76,084",3.10,3.10,3,0,0,0
04/11/2024,3.10,"63,872",3.10,3.10,3,0,0,0
01/11/2024,3.10,"68,713",3.10,3.20,3,0,0,0
31/10/2024,3.10,"50,865",3,3.20,3,0,0,0
30/10/2024,3.20,"62,979",3.10,3.20,3,0,0,0
29/10/2024,3.10,"294,663",3.10,3.20,3.10,0,0,0
28/10/2024,3.10,"277,200",3.20,3.20,3,0,0,0
25/10/2024,3.10,"249,675",3.20,3.20,3.10,0,0,0
24/10/2024,3.10,"116,024",3,3.20,3,0,0,0
23/10/2024,3,"148,891",3.10,3.20,3,0,0,0
22/10/2024,3.10,"316,722",3.20,3.20,3,0,0,0
21/10/2024,3.20,"45,941",3.20,3.20,3.10,0,0,0
18/10/2024,3.20,"196,652",3.20,3.30,3.20,0,0,0
17/10/2024,3.20,"269,177",3.30,3.30,3.10,0,0,0
16/10/2024,3.20,"213,034",3.10,3.30,3.10,0,0,0
15/10/2024,3.10,"122,844",3.10,3.20,3.10,0,0,0
14/10/2024,3.10,"131,837",3.20,3.30,3.10,0,0,0
11/10/2024,3.20,"155,309",3.30,3.30,3.20,0,0,0
10/10/2024,3.30,"92,838",3.30,3.40,3.20,0,0,0
09/10/2024,3.30,"198,518",3.20,3.50,3.20,0,0,0
08/10/2024,3.20,"108,622",3.20,3.30,3.20,0,0,0
07/10/2024,3.20,"82,907",3.20,3.30,3.20,0,0,0
04/10/2024,3.20,"103,333",3.20,3.30,3.20,0,0,0
03/10/2024,3.30,"92,146",3.20,3.40,3.20,0,0,0
02/10/2024,3.30,"65,401",3.40,3.40,3.20,0,0,0
01/10/2024,3.40,"17,174",3.40,3.40,3.30,0,0,0
30/09/2024,3.30,"228,344",3.40,3.50,3.20,0,0,0
27/09/2024,3.40,"190,431",3.40,3.50,3.30,0,0,0
26/09/2024,3.40,"276,471",3.50,3.50,3.30,0,0,0
25/09/2024,3.50,"397,596",3.40,3.50,3.40,0,0,0
24/09/2024,3.40,"468,617",3.50,3.50,3.30,0,0,0
23/09/2024,3.40,"408,983",3.30,3.50,3.30,0,0,0
20/09/2024,3.30,"414,558",3.40,3.60,3.30,0,0,0
19/09/2024,3.40,"598,515",3.40,3.60,3.40,0,0,0
18/09/2024,3.40,"1,139,033",3.70,3.80,3.40,0,0,0
17/09/2024,3.70,"1,989,006",3.70,3.70,3.40,0,0,0
16/09/2024,3.40,"2,369,692",3.10,3.40,3.10,0,0,0
13/09/2024,3.10,"123,462",3.20,3.20,3.10,0,0,0
