Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,11.10,"113,300",11.30,11.30,11,"1,000",0,0.0
20/03/2025,11.30,"18,800",11.20,11.40,11.20,0,0,0
19/03/2025,11.40,"17,200",11.40,11.40,11.20,0,0,0
18/03/2025,11.30,"9,500",11.30,11.50,11.30,0,0,0
17/03/2025,11.20,"17,400",11.20,11.40,11.20,0,0,0
14/03/2025,11.20,"28,700",11.40,11.40,11.10,0,0,0
13/03/2025,11.30,"31,600",11.50,11.60,11.30,0,0,0
12/03/2025,11.40,"21,800",11.40,11.60,11.30,0,0,0
11/03/2025,11.40,"22,100",11.40,11.40,11.30,0,0,0
10/03/2025,11.40,"63,200",11.40,11.70,11.20,0,0,0
07/03/2025,11.40,"59,100",11.50,11.50,11.30,0,0,0
06/03/2025,11.60,"26,600",11.50,11.70,11.40,0,0,0
05/03/2025,11.60,"123,800",12,12,11.30,0,0,0
04/03/2025,12,"176,200",12.30,12.40,11.50,0,0,0
03/03/2025,12.40,"20,000",12.50,12.70,12.20,0,0,0
28/02/2025,12.30,"84,700",12.40,12.50,12.20,0,"2,400",-0.0
27/02/2025,12.60,"31,300",12.40,12.90,12.30,0,0,0
26/02/2025,12.70,"121,300",12.40,13.60,12.30,0,100,-0.0
25/02/2025,12.30,"39,500",12.50,12.50,12.20,0,0,0
24/02/2025,12.60,"167,000",12.30,12.90,12.10,0,100,-0.0
21/02/2025,12.20,"72,100",12.30,12.30,12,0,0,0
20/02/2025,12.30,"70,600",12.40,12.50,12,0,0,0
19/02/2025,12.30,"96,100",12.10,12.40,12,0,0,0
18/02/2025,12,"74,400",11.90,12,11.80,0,0,0
17/02/2025,12,"38,000",11.90,12.30,11.90,0,0,0
14/02/2025,11.90,"103,400",12.50,12.70,11.80,"1,000",0,0.0
13/02/2025,12.50,"85,500",11.80,12.60,11.70,0,200,-0.0
12/02/2025,11.90,"45,410",11.80,12.10,11.70,0,0,0
11/02/2025,11.90,"42,701",11.60,11.90,11.50,0,0,0
10/02/2025,11.70,"195,650",12.20,12.20,11.40,0,0,0
07/02/2025,12.20,"67,700",12.40,12.70,12,0,0,0
06/02/2025,12.40,"87,268",12.60,12.90,12.20,300,0,0.0
05/02/2025,12.40,"136,929",12.30,12.40,11.80,400,0,0.0
04/02/2025,11.90,"113,082",11.40,12,11.20,300,0,0.0
03/02/2025,11.10,"93,200",11.30,11.30,10.80,200,"4,900",0
24/01/2025,11.20,"94,005",11.50,11.70,11.20,0,0,0
23/01/2025,11.50,"117,193",11.50,12,11.10,0,"2,000",-0.0
22/01/2025,11.60,"159,543",11.80,12,11.40,100,0,0.0
21/01/2025,11.80,"510,409",14,14.20,11.80,100,0,0.0
20/01/2025,14,"104,757",13.60,14.30,12.90,0,0,0
17/01/2025,13.30,"257,925",13.50,14.50,13,0,0,0
16/01/2025,13,"209,801",11.90,13.20,11.80,0,0,0
15/01/2025,11.90,"127,457",11.90,12.30,11.70,0,"1,000",-0.0
14/01/2025,11.80,"390,909",13.10,13.40,11.40,0,0,0
13/01/2025,13.10,"274,499",12.70,14.60,11.90,"3,000",0,0.0
10/01/2025,12.50,"181,923",12.80,13.60,12.30,0,0,0
09/01/2025,12.30,"711,923",11.10,12.30,11,0,0,0
08/01/2025,11.10,"122,351",10.40,11.20,10.20,0,0,0
07/01/2025,10.20,"32,610",10.50,10.70,10.20,0,0,0
06/01/2025,10.50,"89,311",10.30,10.90,10.30,"1,000",0,0.0
03/01/2025,10.30,"21,700",10.30,10.30,10.10,0,0,0
02/01/2025,10.20,"20,000",10.20,10.20,10.10,0,0,0
31/12/2024,10.20,"51,700",10.10,10.60,10,0,0,0
30/12/2024,10.10,"30,900",10.30,10.30,10.10,0,0,0
27/12/2024,10.20,"36,100",10.40,10.40,10.10,0,0,0
26/12/2024,10.40,"70,200",10.50,10.60,10.20,0,0,0
25/12/2024,10.50,"112,800",10.20,10.80,10.10,0,0,0
24/12/2024,10.30,"149,930",11,11,10,0,0,0
23/12/2024,10.80,"107,716",10.60,11.40,10.60,0,0,0
20/12/2024,10.60,"187,402",9.50,10.80,9.50,0,0,0
19/12/2024,9.40,"15,715",9.40,9.40,9.30,0,0,0
18/12/2024,9.50,"6,300",9.40,9.50,9.40,0,0,0
17/12/2024,9.50,"8,000",9.40,9.50,9.40,0,"2,000",-0.0
16/12/2024,9.50,"64,500",9.50,9.50,9.30,0,0,0
13/12/2024,9.40,"52,911",9.40,9.50,9.40,0,0,0
12/12/2024,9.50,"26,700",9.50,9.70,9.40,0,0,0
11/12/2024,9.50,"33,000",9.50,9.60,9.40,0,0,0
10/12/2024,9.50,"45,104",9.60,9.60,9.50,0,0,0
09/12/2024,9.60,"9,500",9.60,9.70,9.50,0,0,0
06/12/2024,9.70,"46,500",9.60,9.70,9.50,0,0,0
05/12/2024,9.70,"59,100",9.70,10,9.50,0,0,0
04/12/2024,9.70,"17,705",10.10,10.20,9.70,0,0,0
03/12/2024,10,"52,201",9.90,10,9.90,0,0,0
02/12/2024,9.80,"49,900",9.90,10,9.70,0,0,0
29/11/2024,9.90,"41,800",10.10,10.10,9.90,"2,000",0,0.0
28/11/2024,10.20,"116,250",9.60,10.40,9.60,0,0,0
27/11/2024,9.50,"26,600",9.50,9.60,9.50,0,0,0
26/11/2024,9.50,"23,240",9.50,9.50,9.30,0,0,0
25/11/2024,9.50,"39,610",9.40,9.70,9.40,0,0,0
22/11/2024,9.30,"34,960",9.30,9.40,9.20,0,0,0
21/11/2024,9.40,"32,500",9.50,9.50,9.30,0,0,0
20/11/2024,9.40,"30,200",9.40,9.60,9.10,0,0,0
19/11/2024,9.70,"35,700",9.80,9.80,9.50,0,0,0
18/11/2024,9.90,"25,530",9.80,9.90,9.60,0,0,0
15/11/2024,9.70,"35,270",9.90,10,9.70,"2,000",0,0.0
14/11/2024,9.90,"31,402",10.20,10.30,9.90,0,0,0
13/11/2024,10.40,"97,537",9.30,10.80,9.30,"1,000",0,0.0
12/11/2024,10.10,"126,723",10.80,11.30,10,0,0,0
11/11/2024,10.20,"118,866",9,10.20,9,0,0,0
08/11/2024,9.20,"74,422",8.50,9.20,8.50,0,0,0
07/11/2024,8.50,"21,000",8.50,8.60,8.50,0,0,0
06/11/2024,8.50,"10,201",8.60,8.60,8.50,0,0,0
05/11/2024,8.60,"39,800",8.80,8.80,8.40,0,0,0
04/11/2024,8.30,"23,410",8.50,8.50,8.30,0,0,0
01/11/2024,8.50,"27,404",8.70,8.70,8.50,0,0,0
31/10/2024,8.70,"32,112",8.80,8.80,8.60,0,0,0
30/10/2024,8.70,"15,200",8.90,8.90,8.60,0,0,0
29/10/2024,8.80,"48,100",8.60,8.90,8.50,0,0,0
28/10/2024,8.50,"28,700",8.70,8.70,8.50,0,0,0
25/10/2024,8.60,"28,600",8.80,8.80,8.60,0,0,0
24/10/2024,8.70,"86,348",8.90,9.10,8.50,0,0,0
23/10/2024,8.90,"10,705",9.50,9.50,8.70,0,0,0
22/10/2024,9.20,"290,668",8.40,9.20,8.40,0,0,0
21/10/2024,8,"13,505",8.10,8.10,8,0,0,0
18/10/2024,8.10,"16,500",8.10,8.10,8,0,0,0
17/10/2024,8.40,"9,000",8.10,8.40,8,0,0,0
16/10/2024,8.20,"2,210",8.50,8.50,8.20,0,0,0
15/10/2024,8.20,"17,550",8.20,8.20,8.10,0,0,0
14/10/2024,8.30,"9,400",8.20,8.40,8.20,0,0,0
11/10/2024,8.50,400,8.30,8.50,8.30,0,0,0
10/10/2024,8.40,"15,551",8.20,8.70,8.10,0,0,0
09/10/2024,8.30,"24,300",8.30,8.30,8.20,0,0,0
08/10/2024,8.30,"4,700",8.30,8.30,8.30,0,0,0
07/10/2024,8.20,"10,900",8.30,8.40,8.20,0,0,0
04/10/2024,8.30,"5,300",8.30,8.30,8.20,0,0,0
03/10/2024,8.40,"3,526",8.60,8.60,8.30,0,0,0
02/10/2024,8.50,"6,600",8.40,8.50,8.30,0,0,0
01/10/2024,8.40,"11,924",8.30,8.70,8.30,0,0,0
30/09/2024,8.30,"10,200",8.40,8.50,8.20,0,0,0
27/09/2024,8.60,"3,700",8.80,8.80,8.40,0,0,0
26/09/2024,8.40,"4,715",8.80,8.80,8.40,0,0,0
25/09/2024,8.80,"35,404",8.50,9.10,8.50,0,0,0
24/09/2024,8.30,"3,900",8.30,8.30,8.30,0,0,0
23/09/2024,8.40,"17,600",8.60,8.60,8.10,0,0,0
20/09/2024,8.40,"20,400",8.50,8.60,8.30,0,0,0
19/09/2024,8.40,"16,120",8.50,8.60,8.40,0,0,0
18/09/2024,8.50,900,8.30,8.50,8.30,0,0,0
17/09/2024,8.50,"3,602",8.50,8.50,8.50,0,0,0
16/09/2024,8.50,"1,208",8.50,8.50,8.50,0,0,0
13/09/2024,8.40,"18,000",8.50,8.50,8.30,0,0,0
12/09/2024,8.50,"13,321",8.70,8.70,8.50,0,0,0
11/09/2024,8.40,"19,800",8.60,8.60,8.30,0,0,0
10/09/2024,8.80,"15,500",9,9.10,8.60,0,0,0
09/09/2024,8.80,"7,710",8.90,8.90,8.70,0,0,0
06/09/2024,8.90,"4,404",9,9,8.90,0,0,0
05/09/2024,9.10,110,9.10,9.10,9.10,0,0,0
04/09/2024,9.10,"11,002",9.10,9.30,8.90,0,0,0
30/08/2024,9.10,"18,910",8.90,9.10,8.90,0,0,0
29/08/2024,8.90,"14,608",9.10,9.10,8.90,0,0,0
28/08/2024,9,"8,001",9.10,9.20,9,0,0,0
27/08/2024,9.10,"7,518",9.10,9.10,9,0,0,0
26/08/2024,9.10,"16,732",9.20,9.30,9.10,0,0,0
23/08/2024,9.30,"23,305",9.20,9.30,9.20,0,0,0
22/08/2024,9.30,"12,643",9.20,9.30,9.20,0,0,0
21/08/2024,9.30,"30,200",9.20,9.30,9,0,0,0
20/08/2024,9.30,"39,600",9.20,9.30,9.20,0,0,0
19/08/2024,9.20,"27,200",9.40,9.50,9.20,0,0,0
16/08/2024,9.30,"29,725",9.10,9.30,9,0,0,0
15/08/2024,9.10,"11,301",9.30,9.30,9,0,0,0
14/08/2024,9.40,"20,137",9,9.70,9,0,0,0
13/08/2024,9.10,"19,600",9.20,9.20,9,0,0,0
12/08/2024,9.20,"14,502",9.30,9.50,9.10,0,0,0
09/08/2024,9.40,"22,500",9.10,9.40,9.10,0,0,0
08/08/2024,9.20,"43,680",9,9.20,9,0,0,0
07/08/2024,9,"18,907",8.90,9.20,8.90,0,0,0
06/08/2024,9.20,"50,521",9.20,9.50,8.90,0,0,0
05/08/2024,9.20,"18,404",9.50,9.50,8.90,0,0,0
02/08/2024,9.60,"56,802",9.50,9.90,9.20,0,0,0
01/08/2024,9.50,"38,701",9.70,9.80,9.40,0,0,0
31/07/2024,9.70,"34,411",9.90,9.90,9.60,0,0,0
30/07/2024,9.90,"16,020",10.20,10.30,9.70,0,0,0
29/07/2024,10.20,"48,862",10.20,10.60,9.90,0,0,0
26/07/2024,10,"36,200",9.80,10.10,9.80,0,0,0
25/07/2024,9.70,"52,511",10.10,10.10,9.50,0,0,0
24/07/2024,10,"48,032",10.10,10.50,9.80,0,0,0
23/07/2024,10,"59,572",9.60,10.60,9.60,0,0,0
22/07/2024,9.80,"199,110",10.80,10.90,9,0,0,0
19/07/2024,10.40,"66,201",9.50,10.40,9.50,0,0,0
18/07/2024,9.20,"86,008",9.20,9.50,8.90,0,0,0
17/07/2024,9.40,"137,400",10,10.10,9.10,0,0,0
16/07/2024,9.80,"120,007",10.50,10.50,9.80,0,0,0
15/07/2024,10.60,"52,337",10.80,10.80,10.40,0,0,0
12/07/2024,10.80,"82,822",10.90,11.30,10.60,0,0,0
11/07/2024,10.70,"25,404",10.90,11,10.50,0,0,0
10/07/2024,10.90,"91,210",11.90,11.90,10.50,0,0,0
09/07/2024,11.20,"71,221",11.20,12,10.60,200,0,0.0
08/07/2024,11,"100,143",11.90,12,10.50,0,0,0
05/07/2024,11.90,"78,323",12.70,12.70,11.30,0,0,0
04/07/2024,12.60,"197,219",12,12.90,11.70,0,0,0
03/07/2024,11.60,"233,017",9.80,11.60,9.80,0,0,0
02/07/2024,10.40,"41,207",10.40,10.90,9.80,0,0,0
01/07/2024,10.60,"44,509",11.20,11.20,10.10,0,0,0
28/06/2024,11.20,"68,641",11.90,11.90,10.90,0,0,0
27/06/2024,11.90,"130,601",12,12.70,11,0,0,0
26/06/2024,12,"237,102",10.50,12,10.50,0,0,0
25/06/2024,10.40,"199,873",12,12.40,9.90,0,0,0
24/06/2024,11.50,"430,432",11.50,11.50,11,0,0,0
21/06/2024,10,"167,207",9.90,10,9.80,0,0,0
20/06/2024,8.70,"103,563",8.20,8.70,8.20,0,0,0
19/06/2024,7.70,"106,100",6.90,7.70,6.90,0,0,0
18/06/2024,6.90,"87,900",6.90,6.90,6.50,0,"10,000",-0.1
17/06/2024,6.90,"48,000",7,7.10,6.80,0,0,0
14/06/2024,6.90,"71,105",7.30,7.40,6.90,0,0,0
13/06/2024,7.40,"46,600",7.40,7.50,7,0,0,0
12/06/2024,7.40,"63,710",9,9,7.20,0,0,0
11/06/2024,8.30,"75,110",7.40,8.30,7.40,0,0,0
10/06/2024,7.40,"111,702",6.70,7.40,6.50,0,0,0
07/06/2024,6.50,"2,200",6.50,6.60,6.40,0,0,0
06/06/2024,6.50,"9,200",6.60,6.60,6.40,0,0,0
05/06/2024,6.40,"15,336",6.60,6.90,6.40,0,0,0
04/06/2024,6.60,"26,144",6.10,6.60,6.10,0,0,0
03/06/2024,6.10,"15,800",5.90,6.10,5.90,0,0,0
31/05/2024,5.80,"22,503",5.90,5.90,5.80,0,0,0
30/05/2024,5.90,"12,800",5.90,6,5.90,0,0,0
29/05/2024,5.90,"32,600",6,6,5.90,0,0,0
28/05/2024,6,"8,825",6,6,6,0,0,0
27/05/2024,6,"3,210",5.90,6,5.90,0,0,0
24/05/2024,5.90,"20,700",5.90,5.90,5.90,0,0,0
23/05/2024,6,"12,701",5.90,6,5.90,0,0,0
22/05/2024,5.80,"68,956",5.90,5.90,5.80,0,0,0
21/05/2024,5.90,"34,056",6.10,6.10,5.90,0,0,0
20/05/2024,6.10,"69,931",5.90,6.20,5.90,0,0,0
17/05/2024,5.90,"59,210",5.60,5.90,5.60,0,0,0
16/05/2024,5.60,"16,200",5.60,5.60,5.50,0,0,0
15/05/2024,5.50,"11,013",5.60,5.70,5.50,0,0,0
14/05/2024,5.60,"7,200",5.50,5.60,5.50,0,0,0
13/05/2024,5.50,"24,700",5.50,5.60,5.50,0,0,0
10/05/2024,5.50,"9,500",5.50,5.60,5.50,0,0,0
09/05/2024,5.50,"3,800",5.50,5.50,5.50,0,0,0
08/05/2024,5.40,"17,701",5.40,5.50,5.40,0,0,0
07/05/2024,5.40,"14,407",5.60,5.60,5.40,0,0,0
