Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.50,0,12.50,12.50,12.50,0,0,0
20/03/2025,12,200,13,13,12,0,0,0
19/03/2025,12,0,12,12,12,0,0,0
18/03/2025,12,100,12,12,12,0,0,0
17/03/2025,12,100,12,12,12,0,0,0
14/03/2025,12,100,12,12,12,0,0,0
13/03/2025,12,100,12,12,12,0,0,0
12/03/2025,12,100,12,12,12,0,0,0
11/03/2025,10.90,"2,800",10.90,10.90,10.90,0,0,0
10/03/2025,11.70,"2,900",10.50,11.70,10.50,0,0,0
07/03/2025,11.60,"2,500",12.80,12.80,11.20,0,0,0
06/03/2025,11.10,400,11,11.40,11,0,0,0
05/03/2025,12.80,"1,100",14,14,12.80,0,0,0
04/03/2025,15,0,15,15,15,0,0,0
03/03/2025,15,0,15,15,15,0,0,0
28/02/2025,14.60,"1,100",15,15,14.60,0,0,0
27/02/2025,14.60,100,14.60,14.60,14.60,0,0,0
26/02/2025,14.60,0,14.60,14.60,14.60,0,0,0
25/02/2025,14.60,0,14.60,14.60,14.60,0,0,0
24/02/2025,14.60,100,14.60,14.60,14.60,0,0,0
21/02/2025,14.60,"1,000",14.60,14.60,14.60,0,0,0
20/02/2025,17.10,0,17.10,17.10,17.10,0,0,0
19/02/2025,17.10,0,17.10,17.10,17.10,0,0,0
18/02/2025,17.10,0,17.10,17.10,17.10,0,0,0
17/02/2025,17.10,0,17.10,17.10,17.10,0,0,0
14/02/2025,17.10,0,17.10,17.10,17.10,0,0,0
13/02/2025,17.10,0,17.10,17.10,17.10,0,0,0
12/02/2025,17,50,17.10,17.10,17.10,0,0,0
11/02/2025,17,"1,600",17.10,17.10,17,0,0,0
10/02/2025,17,201,22.70,22.70,17,0,0,0
"07/02/2025: Quyá»n mua cá» phiáº¿u:  100/95  GiÃ¡:  10 (Volume + 95%, Ratio=0.95)",,,,,,,,
07/02/2025,19.90,111,19.90,19.90,19.90,0,0,0
06/02/2025,18.21,"3,300",15.75,18.21,15.68,0,0,0
05/02/2025,15.75,"2,000",16.10,16.10,15.75,0,0,0
04/02/2025,15.68,500,15.68,15.68,15.68,0,0,0
03/02/2025,15.61,"1,100",15.68,15.68,15.61,0,0,0
24/01/2025,13.65,"2,500",13.65,13.65,13.65,0,0,0
23/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
22/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
21/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
20/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
17/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
16/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
15/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
14/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
13/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
10/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
09/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
08/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
07/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
06/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
03/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
02/01/2025,11.90,0,11.90,11.90,11.90,0,0,0
31/12/2024,11.90,0,11.90,11.90,11.90,0,0,0
30/12/2024,11.90,0,11.90,11.90,11.90,0,0,0
27/12/2024,11.90,0,11.90,11.90,11.90,0,0,0
26/12/2024,11.90,0,11.90,11.90,11.90,0,0,0
25/12/2024,11.90,0,11.90,11.90,11.90,0,0,0
24/12/2024,11.90,0,11.90,11.90,11.90,0,0,0
23/12/2024,11.90,"1,000",11.90,11.90,11.90,0,0,0
20/12/2024,12.60,0,12.60,12.60,12.60,0,0,0
19/12/2024,12.60,0,12.60,12.60,12.60,0,0,0
18/12/2024,12.60,0,12.60,12.60,12.60,0,0,0
17/12/2024,12.60,0,12.60,12.60,12.60,0,0,0
16/12/2024,12.60,0,12.60,12.60,12.60,0,0,0
