Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,3,"137,500",3.03,3.06,2.99,0,201,0
20/03/2025,3.03,"88,100",3.07,3.07,3.03,0,"1,600",-0.0
19/03/2025,3.07,"369,800",2.98,3.08,2.98,"2,000","10,000",-0.0
18/03/2025,2.98,"123,700",2.94,3,2.94,"1,000",600,0.0
17/03/2025,2.94,"48,900",2.92,2.98,2.92,0,0,0
14/03/2025,2.92,"139,600",2.95,2.95,2.90,200,"31,800",-0.1
13/03/2025,2.95,"44,900",2.96,2.96,2.91,0,0,0
12/03/2025,2.97,"74,000",2.95,2.97,2.94,300,"10,000",-0.0
11/03/2025,2.95,"61,100",2.97,2.97,2.94,"1,600","10,000",-0.0
10/03/2025,2.99,"59,000",2.98,3.03,2.97,0,0,0
07/03/2025,2.97,"119,300",2.95,2.99,2.92,100,0,0.0
06/03/2025,2.91,"129,600",2.91,2.91,2.88,200,"20,000",-0.1
05/03/2025,2.91,"109,400",2.88,2.93,2.85,100,"35,000",-0.1
04/03/2025,2.89,"395,200",2.93,2.94,2.87,500,"50,000",-0.1
03/03/2025,2.93,"269,100",2.99,3.02,2.91,300,"30,000",-0.1
28/02/2025,2.99,"126,800",2.99,3.03,2.96,"2,000","55,000",-0.2
27/02/2025,2.97,"431,200",3,3,2.79,"10,400",0,0.0
26/02/2025,3,"500,000",3.01,3.02,2.96,400,"15,000",-0.0
25/02/2025,3.01,"1,111,500",3.11,3.12,2.99,200,"329,200",-1.0
24/02/2025,3.11,"301,200",3.15,3.15,3.08,0,"168,700",-0.5
21/02/2025,3.14,"284,000",3.09,3.15,3.04,400,"191,100",-0.6
20/02/2025,3.08,"699,200",3.19,3.23,3.05,600,"226,900",-0.7
19/02/2025,3.18,"414,400",3.27,3.27,3.17,"5,100","149,800",-0.5
18/02/2025,3.25,"490,300",3.24,3.35,3.24,"34,800","164,600",-0.4
17/02/2025,3.29,"190,900",3.30,3.33,3.20,"1,000","2,700",-0.0
14/02/2025,3.30,"79,100",3.34,3.35,3.30,200,"1,000",-0.0
13/02/2025,3.33,"48,000",3.38,3.40,3.33,"12,700",0,0.0
12/02/2025,3.34,"161,700",3.31,3.38,3.31,"19,600",0,0.1
11/02/2025,3.31,"439,700",3.31,3.45,3.27,"17,900","4,300",0.0
10/02/2025,3.46,"109,000",3.49,3.52,3.46,"8,300",200,0.0
07/02/2025,3.49,"45,000",3.50,3.52,3.47,"5,000",0,0.0
06/02/2025,3.50,"67,700",3.51,3.51,3.48,"4,300",0,0.0
05/02/2025,3.50,"21,400",3.48,3.51,3.47,0,0,0
04/02/2025,3.48,"27,200",3.48,3.52,3.48,"4,200",0,0.0
03/02/2025,3.43,"10,000",3.43,3.54,3.43,"1,300","1,000",0.0
