Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
20/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
19/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
18/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
17/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
14/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
13/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
12/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
11/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
10/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
07/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
06/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
05/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
04/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
03/03/2025,34.50,0,34.50,34.50,34.50,0,0,0
28/02/2025,34.50,0,34.50,34.50,34.50,0,0,0
27/02/2025,34.50,0,34.50,34.50,34.50,0,0,0
26/02/2025,34.50,0,34.50,34.50,34.50,0,0,0
25/02/2025,34.50,0,34.50,34.50,34.50,0,0,0
24/02/2025,34.50,500,34.50,34.50,34.50,0,0,0
21/02/2025,33.60,100,33.60,33.60,33.60,0,0,0
20/02/2025,30.60,100,30.60,30.60,30.60,0,0,0
19/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
18/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
17/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
14/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
13/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
12/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
11/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
10/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
07/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
06/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
05/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
04/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
03/02/2025,27.90,0,27.90,27.90,27.90,0,0,0
24/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
23/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
22/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
21/01/2025,27.90,2,27.90,27.90,27.90,0,0,0
20/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
17/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
16/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
15/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
14/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
13/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
10/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
09/01/2025,27.90,3,27.90,27.90,27.90,0,0,0
08/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
07/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
06/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
03/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
02/01/2025,27.90,0,27.90,27.90,27.90,0,0,0
31/12/2024,27.90,100,27.90,27.90,27.90,0,0,0
30/12/2024,28.90,0,28.90,28.90,28.90,0,0,0
27/12/2024,28.90,100,28.90,28.90,28.90,0,0,0
26/12/2024,31.40,0,31.40,31.40,31.40,0,0,0
25/12/2024,31.40,100,31.40,31.40,31.40,0,0,0
24/12/2024,34.60,101,34.60,34.60,34.60,0,0,0
23/12/2024,38.30,0,38.30,38.30,38.30,0,0,0
20/12/2024,38.30,100,38.30,38.30,38.30,0,0,0
19/12/2024,42.50,105,42.50,42.50,42.50,100,0,0.0
18/12/2024,38.70,0,38.70,38.70,38.70,0,0,0
17/12/2024,38.70,500,38.70,38.70,38.70,0,0,0
16/12/2024,38.60,303,31.70,38.60,31.70,100,200,-0.0
13/12/2024,35.20,0,35.20,35.20,35.20,0,0,0
12/12/2024,35.20,0,35.20,35.20,35.20,0,0,0
11/12/2024,35.20,0,35.20,35.20,35.20,0,0,0
10/12/2024,35.20,0,35.20,35.20,35.20,0,0,0
09/12/2024,35.20,500,35.20,35.20,35.20,0,0,0
06/12/2024,32,100,32,32,32,0,0,0
05/12/2024,31.10,"2,100",37.80,37.80,31.10,"2,000",0,0.1
04/12/2024,34.40,500,34.40,34.40,34.40,0,0,0
03/12/2024,31.30,"1,101",37.90,37.90,31.30,0,0,0
02/12/2024,34.50,"1,000",34.50,34.50,34.50,"1,000",0,0.0
29/11/2024,31.40,0,31.40,31.40,31.40,0,0,0
28/11/2024,31.40,0,31.40,31.40,31.40,0,0,0
27/11/2024,31.40,0,31.40,31.40,31.40,0,0,0
26/11/2024,31.40,0,31.40,31.40,31.40,0,0,0
25/11/2024,31.40,0,31.40,31.40,31.40,0,0,0
22/11/2024,31.40,"1,200",31.40,31.40,26.10,0,0,0
21/11/2024,28.60,0,28.60,28.60,28.60,0,0,0
20/11/2024,28.60,0,28.60,28.60,28.60,0,0,0
19/11/2024,28.60,0,28.60,28.60,28.60,0,0,0
18/11/2024,28.60,0,28.60,28.60,28.60,0,0,0
15/11/2024,28.60,0,28.60,28.60,28.60,0,0,0
14/11/2024,28.60,0,28.60,28.60,28.60,0,0,0
13/11/2024,28.60,0,28.60,28.60,28.60,0,0,0
12/11/2024,28.60,0,28.60,28.60,28.60,0,0,0
11/11/2024,28.60,600,30.50,34.50,28.60,0,0,0
08/11/2024,31.40,0,31.40,31.40,31.40,0,0,0
07/11/2024,31.40,0,31.40,31.40,31.40,0,0,0
06/11/2024,31.40,0,31.40,31.40,31.40,0,0,0
05/11/2024,31.40,0,31.40,31.40,31.40,0,0,0
04/11/2024,31.40,0,31.40,31.40,31.40,0,0,0
01/11/2024,31.40,0,31.40,31.40,31.40,0,0,0
31/10/2024,31.40,0,31.40,31.40,31.40,0,0,0
30/10/2024,31.40,0,31.40,31.40,31.40,0,0,0
29/10/2024,31.40,0,31.40,31.40,31.40,0,0,0
28/10/2024,31.40,0,31.40,31.40,31.40,0,0,0
25/10/2024,31.40,0,31.40,31.40,31.40,0,0,0
24/10/2024,31.40,0,31.40,31.40,31.40,0,0,0
23/10/2024,31.40,0,31.40,31.40,31.40,0,0,0
22/10/2024,31.40,0,31.40,31.40,31.40,0,0,0
21/10/2024,31.40,100,31.40,31.40,31.40,0,0,0
18/10/2024,34.30,0,34.30,34.30,34.30,0,0,0
17/10/2024,34.30,0,34.30,34.30,34.30,0,0,0
16/10/2024,34.30,901,34.20,37.90,34.20,0,700,-0.0
15/10/2024,37.90,0,37.90,37.90,37.90,0,0,0
14/10/2024,37.90,0,37.90,37.90,37.90,0,0,0
11/10/2024,37.90,0,37.90,37.90,37.90,0,0,0
10/10/2024,37.90,1,37.90,37.90,37.90,0,0,0
09/10/2024,37.90,100,37.90,37.90,37.90,0,0,0
08/10/2024,42,0,42,42,42,0,0,0
07/10/2024,42,0,42,42,42,0,0,0
04/10/2024,42,0,42,42,42,0,0,0
03/10/2024,42,0,42,42,42,0,0,0
02/10/2024,42,101,42,42,42,0,0,0
01/10/2024,38.20,0,38.20,38.20,38.20,0,0,0
30/09/2024,38.20,0,38.20,38.20,38.20,0,0,0
27/09/2024,38.20,0,38.20,38.20,38.20,0,0,0
26/09/2024,38.20,105,38.20,38.20,38.20,0,0,0
25/09/2024,34.80,0,34.80,34.80,34.80,0,0,0
24/09/2024,34.80,100,34.80,34.80,34.80,0,0,0
23/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
20/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
19/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
18/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
17/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
16/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
13/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
12/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
11/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
10/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
09/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
06/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
05/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
04/09/2024,31.70,0,31.70,31.70,31.70,0,0,0
30/08/2024,31.70,0,31.70,31.70,31.70,0,0,0
29/08/2024,31.70,0,31.70,31.70,31.70,0,0,0
28/08/2024,31.70,100,31.70,31.70,31.70,0,0,0
27/08/2024,35.10,0,35.10,35.10,35.10,0,0,0
26/08/2024,35.10,0,35.10,35.10,35.10,0,0,0
23/08/2024,35.10,0,35.10,35.10,35.10,0,0,0
22/08/2024,35.10,0,35.10,35.10,35.10,0,0,0
21/08/2024,35.10,0,35.10,35.10,35.10,0,0,0
20/08/2024,35.10,0,35.10,35.10,35.10,0,0,0
19/08/2024,35.10,0,35.10,35.10,35.10,0,0,0
16/08/2024,35.10,21,35.10,35.10,35.10,0,0,0
15/08/2024,35.10,0,35.10,35.10,35.10,0,0,0
14/08/2024,35.10,"1,229",35.10,42.50,35.10,0,0,0
13/08/2024,38.70,400,38.70,38.70,35.30,100,0,0.0
12/08/2024,35.20,800,35.50,35.50,35.20,0,0,0
09/08/2024,39.10,100,39.10,39.10,39.10,0,0,0
08/08/2024,43.20,0,43.20,43.20,43.20,0,0,0
07/08/2024,43.20,100,43.20,43.20,43.20,0,0,0
06/08/2024,47.90,0,47.90,47.90,47.90,0,0,0
05/08/2024,47.90,0,47.90,47.90,47.90,0,0,0
02/08/2024,47.90,0,47.90,47.90,47.90,0,0,0
01/08/2024,47.90,0,47.90,47.90,47.90,0,0,0
31/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
30/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
29/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
26/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
25/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
24/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
23/07/2024,47.90,1,47.90,47.90,47.90,0,0,0
22/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
19/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
18/07/2024,47.90,2,47.90,47.90,47.90,0,0,0
17/07/2024,47.90,1,47.90,47.90,47.90,0,0,0
16/07/2024,47.90,50,47.90,47.90,47.90,0,0,0
15/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
12/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
11/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
10/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
09/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
08/07/2024,47.90,0,47.90,47.90,47.90,0,0,0
05/07/2024,47.90,"1,100",44,47.90,44,"1,000","1,000",0
04/07/2024,44.50,0,44.50,44.50,44.50,0,0,0
03/07/2024,44.50,0,44.50,44.50,44.50,0,0,0
02/07/2024,44.50,0,44.50,44.50,44.50,0,0,0
01/07/2024,44.50,0,44.50,44.50,44.50,0,0,0
28/06/2024,44.50,0,44.50,44.50,44.50,0,0,0
27/06/2024,44.50,"2,000",44.50,44.50,44.50,"2,000","2,000",0
26/06/2024,44.50,950,44.50,44.50,44.50,0,0,0
25/06/2024,40.50,50,40.50,40.50,40.50,0,0,0
24/06/2024,40.50,0,40.50,40.50,40.50,0,0,0
21/06/2024,40.50,0,40.50,40.50,40.50,0,0,0
20/06/2024,40.50,0,40.50,40.50,40.50,0,0,0
19/06/2024,40.50,0,40.50,40.50,40.50,0,0,0
18/06/2024,40.50,0,40.50,40.50,40.50,0,0,0
17/06/2024,40.50,300,40.50,40.50,40.50,0,0,0
14/06/2024,40,0,40,40,40,0,0,0
13/06/2024,40,100,40,40,40,0,0,0
12/06/2024,44.20,100,44.20,44.20,44.20,0,0,0
11/06/2024,49,0,49,49,49,0,0,0
10/06/2024,49,0,49,49,49,0,0,0
07/06/2024,49,100,49,49,49,0,0,0
06/06/2024,49.20,0,49.20,49.20,49.20,0,0,0
05/06/2024,49.20,0,49.20,49.20,49.20,0,0,0
04/06/2024,49.20,"3,700",49.20,49.40,44.50,0,0,0
03/06/2024,49.40,"8,200",49.40,49.40,44.60,0,0,0
31/05/2024,49.50,0,49.50,49.50,49.50,0,0,0
30/05/2024,49.50,0,49.50,49.50,49.50,0,0,0
29/05/2024,49.50,0,49.50,49.50,49.50,0,0,0
28/05/2024,49.50,0,49.50,49.50,49.50,0,0,0
27/05/2024,49.50,100,49.50,49.50,49.50,0,0,0
24/05/2024,45,0,45,45,45,0,0,0
23/05/2024,45,0,45,45,45,0,0,0
22/05/2024,45,100,45,45,45,0,0,0
21/05/2024,45,0,45,45,45,0,0,0
20/05/2024,45,0,45,45,45,0,0,0
17/05/2024,45,200,45,45,45,0,0,0
16/05/2024,50,0,50,50,50,0,0,0
15/05/2024,50,0,50,50,50,0,0,0
14/05/2024,50,30,50,50,50,0,0,0
13/05/2024,50,200,50,50,50,0,0,0
10/05/2024,50,0,50,50,50,0,0,0
09/05/2024,50,0,50,50,50,0,0,0
08/05/2024,50,0,50,50,50,0,0,0
07/05/2024,50,0,50,50,50,0,0,0
06/05/2024,50,100,50,50,50,0,0,0
03/05/2024,50.70,0,50.70,50.70,50.70,0,0,0
02/05/2024,50.70,10,50.70,50.70,50.70,0,0,0
26/04/2024,50.70,0,50.70,50.70,50.70,0,0,0
25/04/2024,50.70,800,45.90,50.70,45.90,0,0,0
24/04/2024,50.90,0,50.90,50.90,50.90,0,0,0
23/04/2024,50.90,116,50.90,50.90,50.90,0,0,0
22/04/2024,46.90,0,46.90,46.90,46.90,0,0,0
19/04/2024,46.90,0,46.90,46.90,46.90,0,0,0
17/04/2024,46.90,"1,100",50,50,46.90,0,0,0
