Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,358,200,357,358,357,0,0,0
20/03/2025,358.50,500,360.50,360.50,358.50,0,0,0
19/03/2025,360,800,355,360,355,0,0,0
18/03/2025,355,"1,500",356.60,356.60,355,0,0,0
17/03/2025,359,700,359,360,359,0,0,0
14/03/2025,359,"1,800",360,360,358.50,0,0,0
13/03/2025,360,0,360,360,360,0,0,0
12/03/2025,359,"1,000",360.30,360.30,359,0,0,0
11/03/2025,362,"1,600",359,362,358,0,0,0
10/03/2025,360.10,"1,500",360,363,359.90,0,0,0
07/03/2025,360.10,"1,400",360.10,360.10,360,0,0,0
06/03/2025,359.10,"1,300",359.10,360,359,0,0,0
05/03/2025,359.10,"1,900",359,359.10,359,0,0,0
04/03/2025,360,"2,400",359,360,356.50,0,0,0
03/03/2025,360,300,358,360,358,0,0,0
28/02/2025,358,"2,300",360,360,358,0,0,0
27/02/2025,359.50,"3,400",357,360,357,0,0,0
26/02/2025,359,900,359,359,357,0,0,0
25/02/2025,359,"3,300",360,360,358.30,0,0,0
24/02/2025,358.20,"2,000",361,361,358,0,0,0
21/02/2025,361,"2,800",375,375,360,0,0,0
20/02/2025,360,"1,300",360,360,359,0,0,0
19/02/2025,357,500,357,357,357,0,0,0
18/02/2025,360,400,357,360,357,0,0,0
17/02/2025,358.90,"2,200",358,358.90,355.30,0,0,0
14/02/2025,358,500,359.50,359.50,358,0,0,0
13/02/2025,358,"3,400",360,360,357,0,0,0
12/02/2025,359,"4,401",361,363,358,0,0,0
11/02/2025,360,"2,488",360,360,360,0,0,0
10/02/2025,360,"3,175",357.10,360,356,0,0,0
07/02/2025,357,"2,639",360,360,357,0,0,0
06/02/2025,362,376,362,362,362,0,0,0
05/02/2025,362,"2,487",362.70,365,362,0,0,0
04/02/2025,364.50,"1,561",353,365,353,0,0,0
03/02/2025,365,"1,100",365,365,355.10,0,0,0
24/01/2025,365,"4,214",364,365,360,0,0,0
23/01/2025,365,"2,564",360,373,360,0,0,0
22/01/2025,365,"1,628",360,365,360,0,0,0
21/01/2025,362,983,363.30,363.30,362,0,0,0
20/01/2025,364.40,"1,523",364.50,365,362.50,0,0,0
17/01/2025,365,"1,223",362,365,362,0,0,0
16/01/2025,365,493,364,365,362,0,0,0
15/01/2025,365,"1,145",365,365,364,0,0,0
14/01/2025,360.80,491,360.80,360.90,360.70,0,0,0
13/01/2025,360.60,850,358,361,358,0,0,0
10/01/2025,362.50,"1,513",364,365.50,362.50,0,0,0
09/01/2025,365,737,367.30,369,365,0,0,0
08/01/2025,360,325,362.50,363,360,0,0,0
07/01/2025,362,"1,372",362.50,362.50,362,0,0,0
