Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,24,"2,100",23.70,24.20,23.70,0,0,0
20/03/2025,23.70,"1,000",23.80,23.80,23.70,0,0,0
19/03/2025,23.80,"1,800",23.80,23.80,23.80,0,0,0
18/03/2025,23.80,500,23.90,23.90,23.80,0,0,0
17/03/2025,23.80,"11,600",24,24.60,23.80,0,0,0
14/03/2025,24.50,"4,900",24.50,25,24,0,0,0
13/03/2025,25,"1,300",25.50,25.50,24,0,0,0
12/03/2025,24,"2,200",25.90,25.90,24,0,0,0
11/03/2025,24.90,"1,200",23.90,25,23.90,0,0,0
10/03/2025,25.80,"11,100",26,26.80,23.60,0,0,0
07/03/2025,26.20,"3,100",24.50,26.60,24.50,0,0,0
06/03/2025,24.50,"10,400",24.40,26.80,24,0,0,0
05/03/2025,24.40,0,24.40,24.40,24.40,0,0,0
04/03/2025,24.40,300,24.90,24.90,24.40,0,0,0
03/03/2025,24.50,"1,000",25,25,23.60,0,0,0
28/02/2025,23.70,300,23.70,23.70,23.70,0,0,0
27/02/2025,23.90,"2,300",23.90,23.90,23.90,0,0,0
26/02/2025,23.90,900,23.60,23.90,23.60,0,0,0
25/02/2025,23.50,"3,500",23.50,23.60,23.50,0,0,0
24/02/2025,23.70,"2,000",23.60,23.70,23.60,0,0,0
21/02/2025,23.70,0,23.70,23.70,23.70,0,0,0
20/02/2025,23.70,"1,800",23.80,23.80,23.70,0,0,0
19/02/2025,24,"1,000",23.80,24,23.70,0,0,0
18/02/2025,23.80,"6,600",23.90,23.90,23.70,0,0,0
17/02/2025,23.90,"5,800",23.90,24,23.90,0,0,0
14/02/2025,23.90,"2,000",24.50,24.50,23.90,0,0,0
13/02/2025,23.90,"9,900",23.80,24,23.70,0,0,0
12/02/2025,23.90,"6,310",23.90,24,23.20,0,0,0
11/02/2025,24,"1,100",24.60,24.60,24,0,0,0
10/02/2025,23.50,"2,200",24,24,23.50,0,0,0
07/02/2025,24,"3,210",25,25,23.30,0,0,0
06/02/2025,24,"2,601",24.90,24.90,23.30,0,0,0
05/02/2025,23.20,521,23.90,23.90,23.20,0,0,0
04/02/2025,23.30,710,23.30,23.50,23.30,0,0,0
03/02/2025,23.40,600,23.40,23.40,23,0,0,0
24/01/2025,22.90,"1,800",24.90,24.90,22.90,0,0,0
23/01/2025,22.90,"2,202",23.40,23.40,22.80,0,0,0
22/01/2025,22.90,"5,300",23,23.50,22.80,0,0,0
21/01/2025,23.30,20,23.30,23.30,23.30,0,0,0
20/01/2025,23.30,"4,711",23.20,24.20,22.70,0,0,0
17/01/2025,23,"10,811",23,23.10,22.60,0,0,0
16/01/2025,23,"7,300",22.90,23.30,22.60,0,0,0
15/01/2025,22.80,"2,030",22.80,22.80,22.70,0,0,0
14/01/2025,22.70,"11,501",22.70,22.70,22.70,0,0,0
13/01/2025,22.70,"5,588",22.80,22.80,22.50,0,0,0
10/01/2025,22.50,"3,100",22.80,23,22.50,0,0,0
09/01/2025,22.40,"1,700",22.60,22.60,22.40,0,0,0
08/01/2025,22.40,"3,621",22.60,22.60,22.40,0,0,0
07/01/2025,22.60,"2,624",22.80,22.80,22.40,0,0,0
06/01/2025,22.80,"2,220",22.70,22.90,22.50,0,0,0
03/01/2025,22.60,"6,301",22.90,22.90,22.50,0,0,0
02/01/2025,22.90,"1,100",22.90,23,22.90,0,0,0
31/12/2024,23,"1,400",22.80,23,22.60,0,0,0
30/12/2024,23.10,"2,610",22.80,23.10,22.80,0,0,0
27/12/2024,23.20,100,23.20,23.20,23.20,0,0,0
26/12/2024,23.20,"1,537",23.90,23.90,22.60,0,0,0
25/12/2024,22.60,"7,000",22.70,23.10,22.60,0,0,0
24/12/2024,22.70,"3,600",22.90,23,22.70,0,0,0
23/12/2024,23.10,859,23,23.10,22.90,0,0,0
20/12/2024,23.10,"4,215",22.90,23.10,22.70,0,0,0
19/12/2024,23,3,23,23,23,0,0,0
18/12/2024,23,"4,534",22.70,23.20,22,0,0,0
17/12/2024,23,"1,200",22.70,23,22.60,0,0,0
16/12/2024,23.30,0,23.30,23.30,23.30,0,0,0
13/12/2024,23.30,100,23.30,23.30,23.30,0,0,0
12/12/2024,22.70,"4,600",23.20,23.20,22.70,0,0,0
11/12/2024,22.90,"2,204",23,23,22.90,0,0,0
10/12/2024,23.20,"12,447",22.90,23.40,22.90,0,0,0
09/12/2024,23,100,23,23,23,0,0,0
06/12/2024,22.70,400,22.80,23.30,22.70,0,0,0
05/12/2024,23.30,"8,110",22.20,23.30,22.10,0,0,0
04/12/2024,22.10,"2,100",22.30,22.50,22.10,0,0,0
03/12/2024,22.90,"2,700",22.70,23.10,22.60,0,0,0
02/12/2024,22.30,"6,111",22.70,23.20,22.30,0,0,0
29/11/2024,22.80,"5,534",23,23,22.80,0,0,0
28/11/2024,23,"5,803",23.20,23.60,23,0,0,0
27/11/2024,22.80,"2,215",22.90,23,22.80,0,0,0
26/11/2024,23.30,420,23.30,23.30,23.30,0,0,0
25/11/2024,23.40,7,23.40,23.40,23.40,0,0,0
22/11/2024,23.40,6,23.40,23.40,23.40,0,0,0
21/11/2024,23.40,607,23.70,24,23.40,0,0,0
20/11/2024,23.40,"1,615",23,23.40,23,0,0,0
19/11/2024,23,"1,100",23,23,22.90,0,0,0
18/11/2024,23.30,832,23.50,24,23,0,0,0
15/11/2024,23.40,300,23.40,23.40,23.40,0,0,0
14/11/2024,23.40,"5,217",23.40,23.90,23.10,0,0,0
13/11/2024,23.40,"1,813",24.30,24.30,23.30,0,0,0
12/11/2024,23.30,"3,902",23.40,24.90,23.30,0,0,0
11/11/2024,23.30,"11,126",23.20,23.70,23.20,0,0,0
08/11/2024,23.10,"1,400",23.10,23.10,23.10,0,0,0
07/11/2024,23.10,"9,544",23.30,23.30,23,0,0,0
06/11/2024,23.30,"2,310",23.30,23.30,23.30,0,0,0
05/11/2024,23.30,300,23.40,23.50,23.30,0,0,0
04/11/2024,23,900,22.90,23,22.90,0,0,0
01/11/2024,23,"5,250",23.10,23.10,22.50,0,0,0
31/10/2024,23.50,"1,370",23.60,23.90,23.40,0,0,0
30/10/2024,23.60,"5,830",23.20,23.60,23,0,0,0
29/10/2024,23.80,"10,300",23.70,24,23,0,0,0
28/10/2024,23.70,0,23.70,23.70,23.70,0,0,0
25/10/2024,23.70,"20,600",23.40,23.70,21.70,0,0,0
24/10/2024,23.80,"2,100",23.70,23.80,23.30,0,0,0
23/10/2024,24,"2,600",24,24,24,0,0,0
22/10/2024,24.20,500,24.20,24.20,24,0,0,0
21/10/2024,24.20,"2,600",24,24.20,24,0,0,0
18/10/2024,24.10,"1,726",24.10,24.20,24.10,0,0,0
17/10/2024,24.20,"14,316",23.80,24.80,23.50,0,0,0
16/10/2024,23.70,320,23.70,23.70,23.70,0,0,0
15/10/2024,23.10,"4,510",25,25,23.10,0,0,0
14/10/2024,23.10,"2,203",24,24,23.10,0,0,0
11/10/2024,24,500,24,24,24,0,0,0
10/10/2024,24,"2,400",24.10,24.10,24,0,0,0
09/10/2024,24.20,"1,100",24.50,24.50,24.20,0,0,0
08/10/2024,24.60,600,23.70,24.60,23.70,0,0,0
07/10/2024,24.30,"6,401",24.80,25,24.30,0,0,0
04/10/2024,24.60,"12,342",23.70,24.90,23.70,0,0,0
03/10/2024,23.70,"2,001",23.70,23.70,23.70,0,0,0
02/10/2024,23.80,"11,203",23.90,23.90,23.80,0,0,0
01/10/2024,23.90,"2,810",24.80,24.80,23.90,0,0,0
30/09/2024,24.10,"10,000",24.90,24.90,23.80,0,0,0
27/09/2024,24.50,"6,600",23.60,24.50,23.50,0,0,0
26/09/2024,24.50,271,24,24.50,24,0,0,0
25/09/2024,24,118,24,24,24,0,0,0
24/09/2024,24,"3,401",24,24,23.70,0,0,0
23/09/2024,23.60,"3,442",23.70,23.80,23.10,0,0,0
20/09/2024,23.60,"5,528",23.50,23.70,23,0,0,0
19/09/2024,23.50,600,23.80,25.50,23.50,0,0,0
18/09/2024,23.50,900,23.60,25,23.50,0,0,0
17/09/2024,23.60,"4,313",23.20,23.60,22.50,0,0,0
16/09/2024,23.70,"1,101",23.70,23.70,23.70,0,0,0
13/09/2024,23.50,"5,436",23.50,23.80,23.40,0,0,0
12/09/2024,23.50,"2,233",23.50,23.50,23.20,0,0,0
11/09/2024,23.50,"6,100",23.40,23.50,23.40,0,0,0
10/09/2024,23.60,"7,100",23.50,23.60,23.40,0,0,0
09/09/2024,23.40,416,23.50,23.50,23.40,0,0,0
06/09/2024,23.30,505,23.60,23.60,23.30,0,0,0
05/09/2024,23.30,"4,450",23.30,24,23.30,0,0,0
04/09/2024,23.30,"2,269",23.40,23.50,23,0,0,0
30/08/2024,23,"4,401",23.40,23.50,23,0,0,0
29/08/2024,23.30,"1,556",23,23.40,23,0,0,0
28/08/2024,23.20,"12,073",23.60,23.60,23.20,0,0,0
27/08/2024,23.40,"6,001",23.60,23.60,23.10,0,0,0
26/08/2024,23.40,"1,129",23.30,23.60,23.30,0,0,0
23/08/2024,23.30,"10,811",23.50,23.90,23.20,0,0,0
22/08/2024,23.10,"1,300",23,23.40,23,0,0,0
21/08/2024,23.30,"5,406",23.70,23.90,23.20,0,0,0
20/08/2024,23.80,"13,102",24,24.50,23.20,0,0,0
19/08/2024,23.60,"18,006",22.90,24,22.90,0,0,0
16/08/2024,23.10,"4,101",22.40,23.40,22.40,0,0,0
15/08/2024,22.90,"6,007",22.90,23.20,22.20,0,0,0
14/08/2024,22.90,"4,721",22.80,23.20,22.70,0,0,0
13/08/2024,22.70,"4,308",23.50,23.60,22.60,0,0,0
12/08/2024,23.50,"1,654",24.40,24.40,23.40,0,0,0
09/08/2024,23.50,"13,100",21.70,23.50,21.70,0,0,0
08/08/2024,22.20,"3,816",22.80,23,22.20,0,0,0
07/08/2024,22.80,"3,210",22.40,23.90,21.80,0,0,0
06/08/2024,22,"8,713",21.80,22,21.50,0,0,0
05/08/2024,21.80,"11,421",22.70,22.80,21.80,0,0,0
02/08/2024,22.70,"7,861",22.80,22.90,22.20,0,0,0
01/08/2024,22.60,"17,015",22.80,22.90,22.40,0,0,0
31/07/2024,22.80,"1,900",22.40,22.90,22.40,0,0,0
30/07/2024,22.80,"4,400",22.60,23,22.60,0,0,0
29/07/2024,22.70,"5,803",22.80,23,22.50,0,0,0
26/07/2024,22.90,"6,256",23.20,23.20,22.90,0,0,0
25/07/2024,23,"9,000",23.10,23.10,22.90,0,0,0
24/07/2024,23,"5,031",22.80,23.10,22.80,0,0,0
23/07/2024,22.70,"19,801",23.40,23.40,22.70,0,0,0
22/07/2024,23.40,"3,506",23.20,23.50,23.20,0,0,0
19/07/2024,23.20,"42,702",23.80,25,23.20,0,0,0
18/07/2024,23.80,"31,521",23.50,24.10,23.40,0,0,0
17/07/2024,24.10,"35,701",25.50,25.50,24,0,0,0
16/07/2024,25.50,"5,600",25.30,25.90,25.30,0,0,0
15/07/2024,25.70,"13,056",26.20,26.20,25.30,0,0,0
12/07/2024,25.50,"38,776",26.30,26.30,24.80,0,0,0
11/07/2024,26.30,"22,145",27.30,27.30,26.30,0,0,0
10/07/2024,27.30,"16,165",28.90,28.90,26.60,0,0,0
09/07/2024,27.50,"43,822",28.10,28.10,27.50,0,0,0
08/07/2024,28,"73,270",26.80,29,26.20,0,0,0
