Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,34.30,"6,600",34.30,34.30,33.50,0,0,0
20/03/2025,34.60,"8,600",34.50,34.70,34,0,0,0
19/03/2025,34.70,"4,000",34.50,34.70,34,0,0,0
18/03/2025,34.50,"7,000",34.30,34.50,34.30,0,0,0
17/03/2025,34.50,"7,600",34.70,34.70,33.50,0,0,0
14/03/2025,34.50,"5,300",34.50,34.70,34.50,0,0,0
13/03/2025,34.50,500,34.50,34.50,34.50,0,0,0
12/03/2025,34.50,"10,600",34.80,34.80,34.50,0,0,0
11/03/2025,34.80,"6,500",34.80,34.80,34.40,0,0,0
10/03/2025,34.50,"6,100",34.70,34.90,34.50,0,0,0
07/03/2025,34.70,"7,300",34.90,34.90,34.70,0,0,0
06/03/2025,35,"9,900",34.80,35,34.80,0,0,0
05/03/2025,34.40,"7,300",34.70,34.90,34.40,0,0,0
04/03/2025,34.50,"6,100",34.80,34.80,34.50,0,0,0
03/03/2025,34.70,"4,300",35.10,35.10,34.70,0,0,0
28/02/2025,35,"6,900",35.10,35.10,34.50,0,0,0
27/02/2025,34.50,"6,000",35,35.30,34.50,0,0,0
26/02/2025,34.70,"4,900",35.10,35.10,34.50,0,0,0
25/02/2025,34.60,"7,700",35.10,35.50,34.60,0,0,0
24/02/2025,34.60,"11,300",35.40,35.40,34.60,0,0,0
21/02/2025,35.50,"8,300",35.30,35.50,35.30,0,0,0
20/02/2025,35.20,"9,500",35.20,35.40,35.20,0,0,0
19/02/2025,34,"14,500",35.10,35.50,34,0,0,0
18/02/2025,34.80,"7,900",35.40,35.40,34.80,0,0,0
17/02/2025,35.50,"3,600",35.30,35.50,35.30,0,0,0
14/02/2025,35.30,"6,000",35.40,35.40,35.30,0,0,0
13/02/2025,35.40,"4,500",35.50,35.50,35.40,0,0,0
12/02/2025,35.40,"6,915",35,35.50,35,0,0,0
11/02/2025,35,"3,305",35.30,35.40,35,0,0,0
10/02/2025,35.40,"7,201",35.50,35.50,35,0,0,0
07/02/2025,35.50,"5,201",35.30,35.50,35.30,0,0,0
06/02/2025,35,"4,910",35.50,35.50,35,0,0,0
05/02/2025,35.50,"6,000",35.10,35.50,35.10,0,0,0
04/02/2025,35.20,"10,801",35,35.30,34.50,0,0,0
03/02/2025,35,"2,900",34.80,35,34.80,0,0,0
24/01/2025,34.80,"3,400",34.90,34.90,34.80,0,0,0
23/01/2025,35,"4,301",34.80,35,34.80,0,0,0
22/01/2025,34.80,"2,900",34.80,34.80,34.80,0,0,0
21/01/2025,34.30,"5,200",35,35,34.30,0,0,0
20/01/2025,35.10,"1,100",35,35.50,35,0,0,0
17/01/2025,35.50,"5,503",34.50,35.50,34.50,0,0,0
16/01/2025,34.40,"5,801",34.40,34.50,34.40,0,0,0
15/01/2025,34.40,"4,300",34.50,34.50,34.40,0,0,0
14/01/2025,34.50,900,34.50,34.50,34.50,0,0,0
13/01/2025,34.80,"1,000",34.20,34.80,34.20,0,0,0
10/01/2025,34.10,"1,101",34.40,34.40,34.10,0,0,0
09/01/2025,34.10,900,34.90,34.90,34.10,0,0,0
08/01/2025,34.90,300,34.90,34.90,34.90,0,0,0
07/01/2025,34.90,"1,100",34.90,34.90,34.90,0,0,0
06/01/2025,34.90,"117,800",35.40,35.40,34.90,0,0,0
03/01/2025,35.40,401,35.40,35.40,35.40,0,0,0
02/01/2025,35.50,637,35.20,35.50,35.20,0,0,0
31/12/2024,35.50,513,35.10,35.50,35.10,0,0,0
30/12/2024,35.30,"3,007",35,35.30,35,0,0,0
27/12/2024,35.30,400,35.30,35.30,35.30,0,0,0
26/12/2024,33.50,"2,805",35.40,35.40,33.50,0,0,0
25/12/2024,35.70,"6,623",35.70,35.80,34.70,0,0,0
24/12/2024,35.80,"4,400",35.40,36,35.40,0,0,0
