Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,22.10,"7,200",22.60,22.60,22,0,0,0
20/03/2025,22.50,"16,100",22.60,22.70,22.10,0,0,0
19/03/2025,22.50,"55,500",23,23,22.20,0,0,0
18/03/2025,22.20,"33,300",22,22.40,21.60,0,0,0
17/03/2025,22.50,"20,800",23,23,22,0,0,0
14/03/2025,22.50,"39,600",22.50,23,22,0,0,0
13/03/2025,22.40,"66,000",24.80,24.80,22.20,0,0,0
12/03/2025,22.90,"202,700",23.90,27,22.10,0,0,0
11/03/2025,22.40,"281,300",24.90,24.90,21.80,0,0,0
10/03/2025,21.80,"10,100",21.80,22,21.50,0,0,0
07/03/2025,21.60,"16,000",21.70,21.90,21.50,0,0,0
06/03/2025,21.70,"19,700",21.10,21.70,21,0,0,0
05/03/2025,21.40,"13,900",21.50,21.90,21.30,0,0,0
04/03/2025,21.60,"24,500",21.90,21.90,21.30,0,0,0
03/03/2025,21.90,"20,700",21.30,21.90,21.10,0,0,0
28/02/2025,21.40,"26,700",21.90,21.90,21.10,0,0,0
27/02/2025,21.70,"28,900",21.80,21.80,21.30,0,0,0
26/02/2025,21.70,"11,800",21.70,22,21.50,0,0,0
25/02/2025,21.80,"17,300",22.10,22.10,21.50,0,0,0
24/02/2025,21.80,"8,100",21.90,21.90,21.40,0,0,0
21/02/2025,21.70,"33,300",21.90,21.90,21,0,0,0
20/02/2025,21.90,"71,400",22,22.20,21.50,0,0,0
19/02/2025,22,"35,700",22.30,22.50,21.80,0,0,0
18/02/2025,22.30,"157,800",21.50,22.40,21.20,0,0,0
17/02/2025,21.30,"35,300",21.30,21.70,21,0,0,0
14/02/2025,20.90,"44,700",20.90,21.40,20.80,0,0,0
13/02/2025,20.90,"56,700",21.50,21.50,20.70,0,0,0
12/02/2025,21.40,"27,603",22,22,21.20,0,0,0
11/02/2025,21.80,"77,116",21,22.10,20.90,0,0,0
10/02/2025,21,"49,908",20.40,21.50,20.40,0,0,0
07/02/2025,20.40,"25,153",20.40,20.50,19.80,0,0,0
06/02/2025,20.40,"15,334",21,21,20.20,0,0,0
05/02/2025,20.50,"18,046",20.50,20.60,20.20,0,0,0
04/02/2025,20.50,"20,700",20.40,20.60,20.30,0,0,0
03/02/2025,20.60,"31,800",20.50,21,20,0,0,0
24/01/2025,20.70,"6,602",20.70,20.80,20.30,0,0,0
23/01/2025,20.70,"4,200",20.60,20.80,20.50,0,0,0
22/01/2025,20.60,"4,700",20.80,20.80,20.30,0,0,0
21/01/2025,20.70,"17,400",20.30,21,20.20,0,0,0
20/01/2025,20.30,"10,305",20.50,21,20,0,0,0
17/01/2025,20.30,"17,700",20.50,20.90,19.90,0,0,0
16/01/2025,20.50,"6,615",21,21,19.80,0,0,0
15/01/2025,20.30,"6,808",20.40,20.40,20,0,0,0
14/01/2025,20.50,"2,200",19.80,21,19.80,0,0,0
13/01/2025,20.50,"4,003",20.70,21.50,19.80,0,0,0
10/01/2025,20.50,"12,900",19.90,22.50,19.90,0,0,0
09/01/2025,20,"9,700",19.80,20.10,19.80,0,0,0
08/01/2025,20.10,"14,420",19.80,20.10,19.70,0,0,0
07/01/2025,20.20,"17,289",20.40,20.40,19.80,0,0,0
06/01/2025,20,"17,400",20.80,20.80,19.90,0,0,0
03/01/2025,20.80,"11,510",20.80,20.80,20.30,0,0,0
